,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,1346,1228,957.39,936.51,918.12,480.77,542.47,400.93,-,1306,1830,2181,2732,5070,1421,1421,-,-,-
1,Trading Asset Securities,-,702.31,1304,1101,1001,1553,1962,2412,3022,-,5317,5319,5715,5738,4306,-,-,-,-,-
2,Cash & Short-Term Investments,2048,2048,2533,2059,1937,2471,2443,2954,3423,-,6623,7149,7896,8470,9376,1421,1421,-,-,2507
3,Cash Growth,5.72%,-17.13%,3.67%,-30.31%,-43.40%,-,-63.11%,-58.68%,-56.66%,-,-29.36%,403.05%,455.85%,-,-,-43.30%,-,-,-,-
4,Accounts Receivable,-,625.54,368.74,379.38,361.2,230.68,226.43,411.76,559.36,-,559.07,551.72,821.02,658.97,763.82,289.77,272.17,-,-,-
5,Other Receivables,-,3.14,18.48,12.92,35.94,14.69,20.74,31.88,26.74,-,86.42,210.05,174.89,59.61,192.59,41.75,304.89,-,-,-
6,Receivables,-,628.68,387.22,392.3,397.13,245.37,247.17,443.64,586.1,-,645.49,761.78,995.91,718.58,956.41,331.52,577.06,-,-,-
7,Inventory,-,944.97,821.6,810.9,861.05,1109,1473,1463,1489,-,1499,1128,1003,958.15,695.36,736.81,765.77,-,-,-
8,Other Current Assets,-,40.02,35.47,32.54,50,72.87,63.53,15.27,43.28,-,79.97,111.86,150.68,228.52,87.01,327.12,87.4,-,-,-
9,Total Current Assets,-,3662,3777,3294,3245,3898,4227,4876,5540,-,8847,9151,10045,10375,11114,2817,2851,-,-,-
10,"Property, Plant & Equipment",-,23347,23660,23872,24120,24192,24344,24381,24178,-,22418,21463,21292,21019,21015,21075,21060,-,-,-
11,Other Intangible Assets,-,1017,981.72,827.41,806.94,791.76,826.48,846.82,898.56,-,847.86,816.78,826.25,806,793.8,758.56,736.22,-,-,-
12,Long-Term Deferred Charges,-,80.8,145.7,294.01,263.99,189.42,123.42,79.99,77.61,-,135.45,181.41,151.89,117.08,116.16,145.2,119.76,-,-,-
13,Other Long-Term Assets,-,0.59,0.21,0.31,3.88,57.23,58.07,82.59,198.9,-,536.58,906.22,823.75,396.76,1.46,1.57,3.85,-,-,-
14,Total Assets,-,28107,28565,28288,28441,29129,29579,30266,30893,-,32785,32518,33140,32714,33041,24797,24771,-,-,-
15,Accounts Payable,-,1180,1234,1146,1094,887.98,787.13,951.61,1369,-,1538,1356,1649,1280,1167,607.3,876.53,-,-,-
16,Accrued Expenses,-,61.94,89.02,47.48,101.57,70.68,77.62,40.96,114.75,-,78.01,44.79,94.98,51.14,66.91,27.52,88.52,-,-,-
17,Short-Term Debt,-,-,-,-,-,-,100.08,-,-,-,-,-,-,-,-,300.23,300.23,-,-,-
18,Current Portion of Long-Term Debt,-,3243,2409,1906,1756,1454,1345,937.17,690.95,-,276.19,248.1,651.6,624.76,659.85,621.27,714.13,-,-,-
19,Current Portion of Leases,-,-,-,-,-,-,-,-,2.99,-,7.39,-,8.7,-,8.5,8.4,8.3,-,-,-
20,Current Income Taxes Payable,-,9.72,-,8.47,-,9.16,-,8.45,-,-,-,1.26,-,2.59,-,-,-,-,-,-
21,Current Unearned Revenue,-,69.68,54.28,69.24,93.35,66.07,51.59,44.75,76.29,-,73.25,67.5,94.37,52.3,46.48,34,49.55,-,-,-
22,Other Current Liabilities,-,48.03,288.67,94.11,99.56,93.64,155.62,154.17,157.17,-,167.86,15.42,21.49,15.89,10.92,319.97,12.3,-,-,-
23,Total Current Liabilities,-,4612,4075,3271,3145,2582,2517,2137,2411,-,2141,1733,2520,2026,1960,1919,2050,-,-,-
24,Long-Term Debt,-,11786,12241,12674,12444,12853,12274,12461,12384,-,13415,13124,12908,12713,12957,12521,12089,-,-,-
25,Long-Term Leases,-,-,-,-,-,-,-,-,-,-,-,1.51,4.5,5.2,7.39,9.54,11.69,-,-,-
26,Long-Term Unearned Revenue,-,279.59,275.51,282.39,291.26,270.18,272.25,286.49,293.19,-,299.59,301.8,308.25,307.89,262.27,269.27,278.64,-,-,-
27,Other Long-Term Liabilities,-,629.87,690.83,140.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Total Liabilities,-,17307,17282,16368,15880,15706,15064,14884,15088,-,15855,15161,15741,15052,15186,14719,14429,-,-,-
29,Common Stock,-,13832,13832,13857,13857,13857,13890,13890,13890,-,13890,13890,13809,13809,13809,10726,10726,-,-,-
30,Additional Paid-In Capital,-,5799,5798,5820,5818,5827,5852,5849,5846,-,5843,5837,5770,5770,5770,851.5,851.5,-,-,-
31,Retained Earnings,-,-8790,-8306,-7669,-7027,-6173,-5079,-4209,-3783,-,-2655,-2370,-2181,-1917,-1725,-1499,-1236,-,-,-
32,Treasury Stock,-,-41.52,-41.52,-87.35,-87.35,-87.35,-147.56,-147.56,-147.56,-,-147.56,-,-,-,-,-,-,-,-,-
33,Shareholders' Equity,10800,10800,11282,11920,12561,13423,14515,15382,15805,-,16930,17357,17398,17662,17855,10078,10341,-,-,11004
34,Total Liabilities & Equity,-,28107,28565,28288,28441,29129,29579,30266,30893,-,32785,32518,33140,32714,33041,24797,24771,-,-,-
35,Total Debt,15028,15028,14650,14579,14200,14308,13720,13398,13078,-,13698,13374,13573,13343,13632,13461,13124,-,-,10515
36,Net Cash (Debt),-12981,-12981,-12117,-12521,-12263,-11837,-11277,-10444,-9656,-,-7076,-6225,-5677,-4873,-4257,-12040,-11703,-,-,-8008
37,Net Cash Per Share,-0.85,-1.06,-0.78,-0.98,-0.86,-0.88,-0.77,-0.74,-0.85,-,-0.56,-0.33,-0.43,-0.51,-0.27,-1.37,-1.46,-,-,-
38,Filing Date Shares Outstanding,15195,13832,13832,13857,13857,13857,13890,13890,13890,10381,13890,13890,13809,13809,13809,10726,10726,11561,10925,-
39,Total Common Shares Outstanding,13832,13832,13832,13857,13857,13857,13890,13890,13890,10381,13890,13890,13809,13809,13809,10726,10726,11561,10925,-
40,Working Capital,-,-950.47,-298.04,23.19,100.29,1316,1709,2738,3130,-,6706,7418,7525,8349,9154,897.97,801.2,-,-,-
41,Book Value Per Share,0.78,0.78,0.82,0.86,0.91,0.97,1.04,1.11,1.14,-,1.22,1.25,1.26,1.28,1.29,0.94,0.96,-,-,0.64
42,Tangible Book Value,9783,9783,10301,11093,11754,12631,13688,14535,14906,-,16082,16540,16572,16856,17061,9319,9605,-,-,10331
43,Tangible Book Value Per Share,0.71,0.71,0.74,0.80,0.85,0.91,0.99,1.05,1.07,-,1.16,1.19,1.20,1.22,1.24,0.87,0.90,-,-,0.60
44,Buildings,-,-,3005,-,3005,-,3004,-,3004,-,3004,-,3004,-,2715,2715,-,-,-,-
45,Machinery,-,-,23226,-,21142,-,20546,-,20383,-,18349,-,15050,-,12655,12627,-,-,-,-
46,Construction In Progress,-,-,4837,-,6594,-,6698,-,5920,-,5486,-,7068,-,9033,8885,-,-,-,-
