,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,30707,32090,34857,27387,30069,33672,36444,35280,35696,37224,35557,37224,41705,42533,42947,52614,-,-,-,-,-
1,Market Cap Growth,-4.70%,-4.70%,-4.35%,-22.37%,-15.76%,-9.54%,2.49%,-5.22%,-14.41%,-12.48%,-17.21%,-29.25%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,43688,45071,46974,39908,42332,45509,47721,45723,44391,45919,42633,43449,46577,47406,47204,64654,-,-,-,-,-
3,Last Close Price,2.22,2.32,2.52,1.98,2.17,2.43,2.63,2.54,2.57,2.68,2.56,2.68,3.02,3.08,3.11,3.81,-,-,-,-,-
4,PS Ratio,6.25,6.47,7.40,6.75,9.07,11.08,12.46,9.35,8.86,8.88,7.97,9.46,9.88,10.58,11.77,15.21,-,-,-,-,-
5,PB Ratio,2.84,2.97,3.23,2.43,2.52,2.68,2.72,2.43,2.32,2.36,-,2.20,2.40,2.44,2.43,2.95,-,-,-,-,-
6,P/TBV Ratio,3.28,3.28,3.56,2.66,2.71,2.86,2.89,2.58,2.46,2.50,-,2.31,2.52,2.57,2.55,3.08,-,-,-,-,-
7,P/OCF Ratio,-,-,-,1675.47,-,-121.05,-,-,-,-,976.02,625.87,-,451.96,1353.83,2355.00,-,-,-,-,-
8,EV/Sales Ratio,8.81,9.09,9.97,9.83,12.77,14.98,16.32,12.12,11.02,10.96,9.55,11.04,11.04,11.79,12.93,18.69,-,-,-,-,-
9,EV/EBITDA Ratio,-,-,-97.82,-,-35.20,-,-,-,-207.22,-,7884.20,304.70,335.53,-,425.25,1269.31,-,-,-,-,-
10,Debt / Equity Ratio,1.39,1.39,1.39,1.30,1.22,1.13,1.07,0.95,0.87,0.83,-,0.81,0.77,0.78,0.76,0.76,1.34,1.27,-,-,0.96
11,Debt / EBITDA Ratio,-,-,11.57,-,209.92,-,-,-,34.55,-,-,723.92,28.13,-,21.12,3564.58,38.43,-,-,-,-
12,Asset Turnover,-,0.18,0.18,0.16,0.14,0.09,0.07,0.11,-,-,0.10,0.12,0.14,0.12,0.15,0.13,-,-,-,-,
13,Inventory Turnover,-,-,6.04,8.74,6.97,8.26,3.81,3.08,2.79,-,-,3.14,4.11,5.92,4.85,7.06,4.90,-,-,-,-
14,Quick Ratio,-,-,0.58,0.72,0.75,0.74,1.05,1.07,1.59,1.66,-,3.40,4.56,3.53,4.53,5.27,0.91,0.97,-,-,-
15,Current Ratio,-,-,0.79,0.93,1.01,1.03,1.51,1.68,2.28,2.30,-,4.13,5.28,3.99,5.12,5.67,1.47,1.39,-,-,-
16,Return on Equity (ROE),-27.83%,-17.52%,-21.97%,-20.96%,-26.30%,-31.33%,-23.29%,-10.92%,-,-,-6.65%,-4.35%,-6.02%,-4.34%,-6.45%,-10.33%,-,-,-,-,
17,Return on Assets (ROA),-,-0.88%,-5.29%,-3.59%,-9.52%,-5.62%,-5.69%,-2.21%,-,-,-2.53%,-1.04%,-2.99%,-0.77%,-2.24%,-1.62%,-,-,-,-,
18,Return on Capital (ROIC),-13.61%,-0.97%,-5.73%,-3.82%,-10.06%,-5.89%,-5.98%,-2.34%,-,-,-2.69%,-1.11%,-3.17%,-0.81%,-2.36%,-1.70%,-,-,-,-,
19,Earnings Yield,-8.19%,-7.83%,-7.51%,-11.78%,-11.51%,-9.64%,-8.27%,-6.87%,-5.15%,-4.30%,-3.50%,-2.50%,-2.09%,-2.22%,-2.18%,-1.86%,-,-,-,-,-
20,FCF Yield,-,-3.45%,-4.02%,-4.86%,-5.77%,-7.24%,-10.77%,-10.85%,-10.23%,-9.93%,-6.58%,-4.82%,-3.86%,-4.67%,-4.03%,-,-,-,-,-,
21,Buyback Yield / Dilution,1.00%,-6.67%,8.41%,-6.67%,9.60%,-24.74%,-28.88%,-14.96%,24.85%,13.38%,-7.73%,18.82%,-114.95%,-64.09%,16.66%,-43.29%,-,-,-,-,-
22,Total Shareholder Return,1.00%,-6.67%,8.41%,-6.67%,9.60%,-24.74%,-28.88%,-14.96%,24.85%,13.38%,-7.73%,18.82%,-114.95%,-64.09%,16.66%,-43.29%,-,-,-,-,-
