,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1261,1559,207,188,186,424,594,-,-,-
1,Market Cap Growth,728.55%,728.55%,10.96%,-55.59%,-68.66%,-,-,-,-,-
2,Enterprise Value,1289,1457,238,162,157,239,532,-,-,-
3,Last Close Price,3.07,3.90,0.51,0.47,0.46,1.06,1.42,-,-,-
4,PE Ratio,9.13,11.66,3.49,-8.13,-,-,-,-,-,-
5,Forward PE,6.03,0.24,0.24,0.24,0.24,0.24,0.35,-,-,-
6,PS Ratio,0.57,0.73,0.13,0.15,0.19,0.40,0.47,-,-,-
7,PB Ratio,3.58,4.54,0.75,0.83,0.88,1.69,2.10,-,-,-
8,P/TBV Ratio,4.55,4.55,0.81,0.83,0.99,1.69,2.17,-,-,-
9,P/FCF Ratio,142.36,-,3.22,-,-,-,-57.35,-,-,-
10,P/OCF Ratio,108.69,-,2.94,-,-4.70,-,302.21,-,-,-
11,EV/Sales Ratio,0.60,0.68,0.15,0.13,0.16,0.22,0.42,-,-,-
12,EV/EBITDA Ratio,6.04,8.27,2.80,-265.31,-,-,-,-,-,-
13,EV/EBIT Ratio,7.87,8.90,3.27,-10.86,-,-,-,-,-,-
14,EV/FCF Ratio,145.56,-,3.71,-,-,-,-51.35,-,-,-
15,Debt / Equity Ratio,0.24,0.24,0.35,0.48,0.57,0.71,0.35,0.59,0.64,-
16,Debt / FCF Ratio,9.26,-,1.48,-,-,-,-9.61,-,0.81,-
17,Return on Capital Employed (ROCE),41.39%,41.39%,21.33%,-4.90%,-,-,-,24.06%,32.15%,-
18,Earnings Yield,10.60%,8.57%,28.65%,-12.31%,-28.42%,-8.97%,-2.71%,-,-,-
19,FCF Yield,0.70%,0.57%,31.04%,-46.47%,-39.85%,-5.25%,-1.74%,-,-,-
20,Dividend Yield,1.63%,-,-,-,-,-,7.04%,-,-,-
21,Buyback Yield / Dilution,-0.69%,-0.98%,-0.39%,0.30%,-1.68%,-9.30%,-1.41%,2.05%,-,-
22,Total Shareholder Return,0.94%,-0.98%,-0.39%,0.30%,-1.68%,-9.30%,5.63%,2.05%,-,-
