,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,163.35,110.68,90.66,65.69,62.91,73.65,88.37,104.43,68.89
1,Revenue Growth (YoY),80.18%,68.50%,44.12%,-10.81%,-28.81%,-29.47%,28.27%,-,-
2,Cost of Revenue,113.16,76.17,62.48,44.74,41.13,48.83,57.57,65.65,45.8
3,Gross Profit,50.19,34.52,28.18,20.95,21.78,24.82,30.8,38.78,23.09
4,"Selling, General & Admin",36.34,27.52,25.42,25.4,24.14,27.49,29.37,29.9,20.04
5,Other Operating Expenses,-0.32,0.2,0.26,-0.05,0.01,0.03,0.28,1.37,-0.1
6,Operating Expenses,36.03,27.72,25.68,25.36,24.15,27.52,29.64,31.25,19.95
7,Operating Income,14.16,6.8,2.5,-4.41,-2.37,-2.7,1.16,7.53,3.14
8,Interest Expense,-0.5,-0.58,-0.64,-0.77,-0.23,-0.19,-0.21,-0.2,-0.14
9,Interest & Investment Income,0.17,0.08,0.09,0.12,0.09,-,0.02,-,0.04
10,EBT Excluding Unusual Items,13.83,6.3,1.95,-5.05,-2.5,-2.89,0.97,7.33,3.03
11,Gain (Loss) on Sale of Investments,-0.31,-0.22,-0.07,-0.07,-0.14,0.15,-0,0.02,-0.01
12,Gain (Loss) on Sale of Assets,-,-,-,-,-,0,0.01,-0.08,-0.03
13,Asset Writedown,-,-0.1,-,-0.09,-,-,-,-,-
14,Other Unusual Items,-,0.22,-,0.42,0.42,0.01,0.01,3.17,-
15,Pretax Income,13.52,6.2,1.88,-4.79,-2.23,-2.73,0.99,10.45,2.99
16,Income Tax Expense,2.42,0.19,0.32,-0.27,0.04,-0.15,0.48,1.53,0.68
17,Earnings From Continuing Operations,11.11,6.01,1.56,-4.52,-2.26,-2.58,0.52,8.91,2.31
18,Minority Interest in Earnings,0,0,-,-,-,-,-,-,-
19,Net Income,11.11,6.01,1.56,-4.52,-2.26,-2.58,0.52,8.91,2.31
20,Net Income to Common,11.11,6.01,1.56,-4.52,-2.26,-2.58,0.52,8.91,2.31
21,Net Income Growth,610.81%,-,-,-,-,-,-77.67%,-,-
22,Shares Outstanding (Basic),397,396,396,395,397,388,167,166,167
23,Shares Outstanding (Diluted),400,396,396,395,397,388,363,383,371
24,Shares Change (YoY),0.98%,0.39%,-0.30%,1.68%,9.30%,1.41%,-2.05%,-,-
25,EPS (Basic),0.03,0.02,0.00,-0.01,-0.01,-0.01,0.00,0.05,0.01
26,EPS (Diluted),0.03,0.02,0.00,-0.01,-0.01,-0.01,0.00,0.02,0.01
27,EPS Growth,612.82%,-,-,-,-,-,-77.44%,-,-
28,Free Cash Flow,-15.32,16.45,-8.25,-2.91,-6.6,3.76,-5.09,12.37,5.42
29,Free Cash Flow Per Share,-0.04,0.04,-0.02,-0.01,-0.02,0.01,-0.01,0.03,0.01
30,Dividend Per Share,-,-,-,-,-,0.006,0.006,-,-
31,Operating Margin,8.67%,6.14%,2.76%,-6.71%,-3.76%,-3.66%,1.31%,7.21%,4.55%
32,Profit Margin,6.80%,5.43%,1.72%,-6.88%,-3.60%,-3.50%,0.58%,8.54%,3.35%
33,Free Cash Flow Margin,-9.38%,14.86%,-9.09%,-4.44%,-10.49%,5.11%,-5.76%,11.85%,7.87%
34,EBITDA,14.99,7.57,3.27,-3.35,-1.61,-1.86,1.79,8.11,3.43
35,D&A For EBITDA,0.83,0.77,0.77,1.06,0.76,0.84,0.64,0.58,0.29
36,EBIT,14.16,6.8,2.5,-4.41,-2.37,-2.7,1.16,7.53,3.14
