,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,6.87,25.18,9.89,18.8,26.5,36.47,22.79,28.48,-
1,Cash & Short-Term Investments,6.87,25.18,9.89,18.8,26.5,36.47,22.79,28.48,-
2,Cash Growth,-30.52%,33.96%,-62.70%,-48.45%,16.31%,28.02%,-,-,-
3,Accounts Receivable,5.32,4.68,2.39,2.15,1.39,1.82,1.47,2.55,-
4,Other Receivables,0.05,0.05,0.06,0.58,0.53,0.4,0.02,0.02,-
5,Receivables,5.37,4.73,2.45,2.73,1.91,2.23,1.5,2.57,-
6,Inventory,49.59,20.85,20.16,11.9,8.64,7.59,10.92,8.36,-
7,Prepaid Expenses,8.35,4.2,6.05,3.67,6.59,3.92,4.38,3.31,-
8,Other Current Assets,1.67,1.26,1.64,3.18,3.16,2,2,2.45,-
9,Total Current Assets,71.85,56.22,40.18,40.27,46.79,52.21,41.58,45.18,-
10,"Property, Plant & Equipment",12.63,12.35,16.84,16.8,23.52,13.52,17.25,15.01,-
11,Long-Term Investments,1.44,1.73,1.97,2.03,2.11,2.24,0.8,0.78,-
12,Other Intangible Assets,0.05,2.56,-,2.93,-,1.16,-,1.16,-
13,Other Long-Term Assets,1.8,1.62,1.67,1.7,1.64,0.76,1.35,1.25,-
14,Total Assets,87.77,74.49,60.67,63.72,74.06,69.89,60.98,63.38,-
15,Accounts Payable,7.89,5.83,3.89,4.14,4.09,5.33,6.08,8.54,-
16,Accrued Expenses,7.63,6.44,3.6,5.17,3.55,4.17,3.74,5.33,-
17,Short-Term Debt,-,-,-,-,-,-,-,0.49,-
18,Current Portion of Leases,5.01,4.72,4.53,3.9,5.78,3.63,4.16,3.76,-
19,Current Income Taxes Payable,2.45,0.43,0.29,0.08,0.6,0.61,2.12,1.9,-
20,Current Unearned Revenue,10.79,12.74,7.97,9.39,6.98,9.3,6.73,8.44,-
21,Other Current Liabilities,3.35,0.71,1.48,1.7,3.66,1.04,2.05,1.74,-
22,Total Current Liabilities,37.12,30.86,21.76,24.38,24.66,24.08,24.87,30.2,-
23,Long-Term Leases,5.49,7.47,9.31,11.56,16.99,9.13,10.63,10.22,-
24,Other Long-Term Liabilities,1.22,1.1,0.67,0.64,0.53,0.39,0.55,0.5,-
25,Total Liabilities,43.83,39.43,31.75,36.59,42.17,33.6,36.05,40.92,-
26,Common Stock,21.41,20.64,20.51,20.49,20.49,20.48,4.58,2.31,-
27,Retained Earnings,3.64,-4.89,-10.9,-12.47,-7.95,-3.13,2.01,1.49,-
28,Comprehensive Income & Other,18.89,19.31,19.3,19.11,19.34,18.93,18.34,18.65,-
29,Total Common Equity,43.94,35.05,28.92,27.14,31.89,36.29,24.93,22.45,-
30,Minority Interest,-0,-0,-,-,-,-,-,-,-
31,Shareholders' Equity,43.93,35.05,28.92,27.14,31.89,36.29,24.93,22.45,-
32,Total Liabilities & Equity,87.77,74.49,60.67,63.72,74.06,69.89,60.98,63.38,-
33,Total Debt,10.5,12.18,13.84,15.46,22.77,12.76,14.79,14.47,-
34,Net Cash (Debt),-3.63,13,-3.96,3.33,3.73,23.71,7.99,14.01,-
35,Net Cash Growth,-,289.95%,-,-85.94%,-53.30%,69.20%,-,-,-
36,Net Cash Per Share,-0.01,0.03,-0.01,0.01,0.01,0.06,0.02,0.04,-
37,Filing Date Shares Outstanding,399.74,397.12,396.12,395.96,395.96,395.91,179.87,179.87,166.62
38,Total Common Shares Outstanding,399.74,397.12,396.12,395.96,395.96,395.91,179.87,164.34,166.62
39,Working Capital,34.73,25.35,18.42,15.89,22.14,28.13,16.71,14.98,-
40,Book Value Per Share,0.11,0.09,0.07,0.07,0.08,0.09,0.14,0.14,-
41,Tangible Book Value,43.89,32.49,28.92,24.21,31.89,35.13,24.93,21.29,-
42,Tangible Book Value Per Share,0.11,0.08,0.07,0.06,0.08,0.09,0.14,0.13,-
43,Machinery,-,1.16,-,1.3,-,1.28,-,0.68,-
44,Leasehold Improvements,-,3.44,-,3.46,-,2.14,-,1.66,-
