,Fiscal Quarter,Current,Q4 2017,Q4 2016,Q2 2016,Q1 2016,Q2 2015,Q1 2015,Q2 2014,Q1 2014
,Period Ending,"Mar '25 Mar 7, 2025","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014"
0,Debt / Equity Ratio,0.22,0.17,0.12,0.15,0.15,0.53,-,-,-
1,Debt / EBITDA Ratio,0.50,0.28,-,0.32,0.32,-,-,-,-
2,Debt / FCF Ratio,1.28,-,-,0.38,0.48,2.07,-,-,-
3,Asset Turnover,-,-,1.34,-,-,-,-,-,
4,Inventory Turnover,4.62,-,-,6.21,-,-,-,-,-
5,Quick Ratio,1.02,0.23,0.31,0.14,0.14,0.18,-,-,-
6,Current Ratio,1.60,0.95,1.05,0.62,0.62,0.58,-,-,-
7,Return on Equity (ROE),-,-,21.70%,-,-,-,-,-,
8,Return on Assets (ROA),-,-,9.03%,-,-,-,-,-,
9,Return on Capital (ROIC),-,-,13.10%,-,-,-,-,-,
10,Return on Capital Employed (ROCE),33.83%,22.94%,23.22%,24.15%,25.27%,22.43%,-,-,-
11,Payout Ratio,58.46%,-,-,112.73%,112.73%,-,-,-,-
12,Buyback Yield / Dilution,0.08%,-0.02%,0.02%,-0.06%,-,-,-,-,
13,Total Shareholder Return,12.03%,0.08%,-0.02%,0.02%,-0.06%,-,-,-,-
