,Fiscal Quarter,Q4 2017,Q4 2016,Q2 2016,Q1 2016,Q2 2015,Q1 2015,Q2 2014,Q1 2014
,Period Ending,"Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014"
0,Revenue,350222,201619,214713,214713,205494,178015,197337,178168
1,Revenue Growth (YoY),70.43%,13.26%,8.81%,20.51%,-,-,-,-
2,Cost of Revenue,279882,149286,166044,166044,154844,137660,156270,142919
3,Gross Profit,70341,52332,48669,48669,50650,40355,41067,35249
4,"Selling, General & Admin",23350,20381,25473,25473,20794,19076,13350,15921
5,Operating Expenses,23350,20381,25473,25473,20794,19076,13350,15921
6,Operating Income,46991,31951,23196,23196,29856,21279,27718,19327
7,Interest Expense,-1172,-602.97,-2225,-2225,-3508,-3729,-6084,-6982
8,Interest & Investment Income,8202,26.03,169.22,169.22,138.31,79.87,148.33,91.14
9,Other Non Operating Income (Expenses),6500,8410,4876,4876,4539,3428,2846,2706
10,Pretax Income,60521,39784,26016,26016,31025,21057,24628,15142
11,Income Tax Expense,12659,8710,5206,5206,9345,4672,6741,3370
12,Net Income,47861,31074,20810,20810,21680,16385,17887,11772
13,Net Income to Common,47861,31074,20810,20810,21680,16385,17887,11772
14,Net Income Growth,120.77%,89.65%,16.34%,76.78%,-,-,-,-
15,Shares Outstanding (Basic),30,30,30,30,30,30,30,30
16,Shares Outstanding (Diluted),30,30,30,30,30,30,30,30
17,Shares Change (YoY),-0.08%,0.02%,-0.02%,0.06%,-,-,-,-
18,EPS (Basic),1604.00,1041.00,697.00,697.00,726.00,549.00,599.00,394.50
19,EPS (Diluted),1604.00,1041.00,697.00,697.00,726.00,549.00,599.00,394.50
20,EPS Growth,120.94%,89.62%,16.36%,76.68%,-,-,-,-
21,Free Cash Flow,-,-,60538,60538,17310,17310,28964,28964
22,Free Cash Flow Per Share,-,-,2027.64,2027.64,579.69,580.02,969.94,970.65
23,Gross Margin,20.08%,25.96%,22.67%,22.67%,24.65%,22.67%,20.81%,19.78%
24,Operating Margin,13.42%,15.85%,10.80%,10.80%,14.53%,11.95%,14.05%,10.85%
25,Profit Margin,13.67%,15.41%,9.69%,9.69%,10.55%,9.20%,9.06%,6.61%
26,Free Cash Flow Margin,-,-,28.19%,28.19%,8.42%,9.72%,14.68%,16.26%
27,EBITDA,70982,-,45943,45943,-,-,-,-
28,EBITDA Margin,20.27%,-,21.40%,21.40%,-,-,-,-
29,D&A For EBITDA,23992,-,22747,22747,-,-,-,-
30,EBIT,46991,31951,23196,23196,29856,21279,27718,19327
31,EBIT Margin,13.42%,15.85%,10.80%,10.80%,14.53%,11.95%,14.05%,10.85%
32,Effective Tax Rate,20.92%,21.89%,20.01%,20.01%,30.12%,22.19%,27.37%,22.26%
33,Revenue as Reported,350222,201619,214713,214713,205494,178015,197337,178168
