,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,113,99,101,140,224,135,112,151,165,149,131
1,Market Cap Growth,-29.81%,-29.81%,-54.82%,4.00%,100.00%,-10.71%,-31.97%,1.82%,25.77%,-42.11%,-58.90%
2,Enterprise Value,74,58,55,92,172,73,29,69,69,70,35
3,Last Close Price,0.42,0.36,0.38,0.52,0.83,0.50,0.41,0.56,0.59,0.53,0.44
4,PE Ratio,-,-32.41,-,-,-,-,-,368.78,-,9.65,9.84
5,PS Ratio,1.66,1.44,1.83,2.92,5.66,3.16,1.65,2.05,2.79,2.40,1.70
6,PB Ratio,2.28,1.89,2.17,2.58,3.98,1.87,1.45,1.57,1.74,1.36,1.33
7,P/TBV Ratio,2.16,2.16,2.22,2.61,4.02,1.88,1.47,1.57,1.74,1.36,1.33
8,P/FCF Ratio,-,-,-,-,-,-,-,62.92,10.01,10.81,-
9,P/OCF Ratio,-,-15.57,-,-,-,-,-,40.10,9.83,10.75,-
10,EV/Sales Ratio,1.08,0.86,0.99,1.91,4.35,1.71,0.43,0.93,1.17,1.13,0.46
11,EV/EBITDA Ratio,-,-11.17,-,-,-,-,-,152.92,-,6.49,2.70
12,EV/EBIT Ratio,-,-9.84,-,-,-,-,-,-219.58,-,7.09,2.92
13,EV/FCF Ratio,-9.79,-,-,-,-,-,-,28.51,4.19,5.08,-
14,Debt / Equity Ratio,0.04,0.04,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.02
15,Debt / FCF Ratio,-,-,-,-,-,-,-,0.76,0.10,0.11,-
16,Return on Capital Employed (ROCE),-,-11.26%,-,-,-,-,-,-0.32%,-,8.97%,12.15%
17,Earnings Yield,-2.68%,-3.09%,-9.10%,-12.50%,-9.10%,-17.06%,-14.57%,0.27%,5.67%,10.36%,10.16%
18,FCF Yield,-6.64%,-7.64%,-10.81%,-5.97%,-6.10%,-18.10%,-13.15%,1.59%,9.99%,9.25%,6.28%
