,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,2433,2074,3284,3602,3588,2848,8110,-,-,-
1,Market Cap Growth,-42.42%,-42.42%,-8.48%,26.46%,-55.76%,-,-,-,-,-
2,Enterprise Value,812,436,1609,1941,1795,1019,9399,-,-,-
3,Last Close Price,3.52,3.00,4.75,5.21,5.19,4.12,11.44,-,-,-
4,PE Ratio,-,-57.12,-,19.91,63.12,-,-,-,-,-
5,Forward PE,27.31,11.17,5.75,6.94,6.44,4.21,-,-,-,-
6,PS Ratio,2.48,2.11,3.29,4.79,5.03,3.98,5.98,-,-,-
7,PB Ratio,1.26,1.08,1.71,1.81,1.80,1.54,4.01,-,-,-
8,P/TBV Ratio,1.07,1.07,1.71,1.80,1.80,1.53,4.01,-,-,-
9,P/FCF Ratio,-,-,-,61.04,-91.73,-,34.05,-,-,-
10,P/OCF Ratio,-,-,-,53.36,-157.22,-,33.05,-,-,-
11,EV/Sales Ratio,0.83,0.44,1.61,2.58,2.52,1.42,6.92,-,-,-
12,EV/EBITDA Ratio,-,-8.13,-,11.26,47.51,-,19.81,-,-,-
13,EV/EBIT Ratio,-,-7.45,-,11.58,53.56,-,19.88,-,-,-
14,EV/FCF Ratio,-16.56,-,-,32.89,-45.88,-,39.47,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.03,0.02,0.02,0.02,0.02,-1.88,0.46,-
16,Debt / FCF Ratio,-,-,-,0.77,-0.77,-,0.17,3.35,0.23,-
17,Return on Capital Employed (ROCE),-,-2.98%,-,8.26%,1.67%,-,23.07%,69.69%,45.09%,-
18,Earnings Yield,-1.49%,-1.75%,-1.25%,5.02%,1.58%,-14.36%,-5.56%,-,-,-
19,FCF Yield,-2.01%,-2.36%,-0.23%,1.64%,-1.09%,0.55%,2.94%,-,-,-
20,Buyback Yield / Dilution,-0.00%,-,-0.00%,-0.05%,8.93%,-7150.15%,-7864.76%,-,-,-
21,Total Shareholder Return,-0.00%,-,-0.00%,-0.05%,8.93%,-7150.15%,-7864.76%,-,-,-
