,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,342.62,571.8,333.94,362.25,268.11,342.87,762.95,1138,88.55
1,Revenue Growth (YoY),2.60%,57.85%,24.55%,5.65%,-64.86%,-69.88%,761.60%,-,-
2,Cost of Revenue,130.84,239.34,108.52,106.18,102.1,104.79,188.43,249.84,34.73
3,Gross Profit,211.79,332.46,225.41,256.08,166.01,238.08,574.52,888.53,53.82
4,"Selling, General & Admin",158.71,333.17,143.13,86.7,191.6,70.97,271.46,460.01,198.34
5,Research & Development,47.13,60.82,44.7,57.71,55.64,73.19,18.04,133.85,12.26
6,Other Operating Expenses,0.28,-1.44,-7.2,1.41,-0.6,-5.72,-0.43,0.1,-2.03
7,Operating Expenses,206.12,392.55,180.63,145.81,246.63,138.44,289.07,593.96,208.57
8,Operating Income,5.67,-60.09,44.79,110.26,-80.62,99.64,285.45,294.58,-154.75
9,Interest Expense,-0.78,-0.27,-0.76,-0.7,-0.77,-0.44,-0.24,-0.03,-0.05
10,Interest & Investment Income,5.32,7.17,8.66,6.64,2.23,1.22,0.83,2.26,2.25
11,Earnings From Equity Investments,-1.34,-0.87,-0.95,-0.44,0.14,0.33,5.05,-0.2,-0.2
12,Currency Exchange Gain (Loss),-11.45,-3.17,0.46,13.73,6.86,-3.16,-4.01,-25.96,1.25
13,Other Non Operating Income (Expenses),-0.52,-1.23,-0.41,-0.3,-0.27,53.79,-53.97,-3.21,-3.22
14,EBT Excluding Unusual Items,-3.09,-58.46,51.79,129.18,-72.43,151.39,233.11,267.44,-154.72
15,Gain (Loss) on Sale of Investments,42.05,-24.9,6.6,23.37,-1.07,3.07,1.96,0.16,0.44
16,Other Unusual Items,-,-,-,-0.52,-,-452.41,-338.38,-,-
17,Pretax Income,38.96,-83.36,58.39,152.03,-73.5,-297.95,-103.31,267.59,-154.28
18,Income Tax Expense,0.75,-4.04,16.67,19.51,13.37,-23.1,-9.53,7.67,1.9
19,Earnings From Continuing Operations,38.2,-79.32,41.72,132.53,-86.87,-274.85,-93.79,259.92,-156.18
20,Minority Interest in Earnings,6.86,0.46,-0.24,-6.57,11.2,1.41,-,-,-
21,Net Income,45.06,-78.85,41.48,125.95,-75.67,-273.45,-93.79,259.92,-156.18
22,Net Income to Common,45.06,-78.85,41.48,125.95,-75.67,-273.45,-93.79,259.92,-156.18
23,Net Income Growth,8.62%,-,-,-,-,-,-,-,-
24,Shares Outstanding (Basic),691,691,691,691,691,759,10,10,10
25,Shares Outstanding (Diluted),691,691,691,691,691,759,10,10,10
26,Shares Change (YoY),-,0.00%,0.05%,-8.93%,7150.15%,7864.76%,-,-,-
27,EPS (Basic),0.07,-0.11,0.06,0.18,-0.11,-0.36,-9.84,27.27,-16.39
28,EPS (Diluted),0.07,-0.11,0.06,0.18,-0.11,-0.36,-9.84,27.27,-16.39
29,EPS Growth,8.62%,-,-,-,-,-,-,-,-
30,Free Cash Flow,-24.96,-20.67,13.86,40.75,-75.35,88.6,105.42,425,15.12
31,Free Cash Flow Per Share,-0.04,-0.03,0.02,0.06,-0.11,0.12,11.06,44.59,1.59
32,Operating Margin,1.65%,-10.51%,13.41%,30.44%,-30.07%,29.06%,37.41%,25.88%,-174.76%
33,Profit Margin,13.15%,-13.79%,12.42%,34.77%,-28.22%,-79.75%,-12.29%,22.83%,-176.37%
34,Free Cash Flow Margin,-7.28%,-3.61%,4.15%,11.25%,-28.10%,25.84%,13.82%,37.33%,17.07%
35,EBITDA,8.25,-58.15,47.72,111.74,-78.33,100.57,285.91,294.79,-154.6
36,D&A For EBITDA,2.58,1.94,2.93,1.48,2.29,0.93,0.46,0.22,0.15
37,EBIT,5.67,-60.09,44.79,110.26,-80.62,99.64,285.45,294.58,-154.75
