,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,421.84,538,692.42,1002,802.58,1168,675.96,443.25,-
1,Short-Term Investments,23.09,-,-,-,-,-,-,-,-
2,Trading Asset Securities,1096,988.85,895.65,489.72,748.6,355.31,31.12,1.06,-
3,Cash & Short-Term Investments,1541,1527,1588,1492,1551,1523,707.07,444.31,-
4,Cash Growth,-2.95%,2.36%,2.38%,-2.08%,119.38%,242.87%,-,-,-
5,Accounts Receivable,45.21,68.1,64.88,52.34,67.86,48.21,72.18,121.54,-
6,Other Receivables,1.16,3.87,-,-,-,-,-,-,-
7,Receivables,56.76,82.56,66.55,53.81,67.86,48.21,72.24,121.66,-
8,Inventory,1,1.33,0.07,0.08,0.13,0.28,0.27,0.22,-
9,Prepaid Expenses,35.48,49.77,63.49,47.3,29.49,37.58,30.69,54.82,-
10,Restricted Cash,-,-,-,8.57,6.98,-,0.72,2.25,-
11,Other Current Assets,3.93,19.9,20.33,12.21,5.77,6.43,7.1,4.79,-
12,Total Current Assets,1638,1680,1739,1614,1661,1616,818.09,628.05,-
13,"Property, Plant & Equipment",36.12,39.66,37.12,45.17,44.61,40.51,16.16,14.33,-
14,Long-Term Investments,219.01,206.78,216.12,220.08,165.83,165.42,163.55,89.48,-
15,Long-Term Deferred Tax Assets,31.17,23.68,25.35,27.86,37.93,40.18,16.7,2.63,-
16,Other Long-Term Assets,61.17,48.29,13.64,9.68,8.81,6.92,4.33,0.34,-
17,Total Assets,1986,1999,2031,1916,1919,1869,1019,734.82,-
18,Accounts Payable,51.47,78.58,52.71,10.08,61.23,5.75,39.65,13.33,-
19,Accrued Expenses,35.05,62.74,35.08,65.54,48.78,86.91,23.05,169.01,-
20,Current Portion of Long-Term Debt,0.01,0.01,0.01,-,-,-,-,-,-
21,Current Portion of Leases,10.08,9.19,9.02,10.21,10.7,9.83,2.72,3.58,-
22,Current Income Taxes Payable,11.13,0.32,8.92,11.28,8.07,6,6.22,10.42,-
23,Current Unearned Revenue,41.6,42.09,47.57,41.28,88.47,74.92,96.52,227.95,-
24,Other Current Liabilities,12.26,27.87,0.59,2.52,97.58,16.43,18.39,0.46,-
25,Total Current Liabilities,161.6,220.8,153.9,140.91,314.84,199.83,186.55,424.74,-
26,Long-Term Debt,19.97,19.97,19.98,-,-,-,1770,89.07,-
27,Long-Term Leases,12.43,15.19,13.16,16.6,20.91,22.74,6.1,6.82,-
28,Long-Term Deferred Tax Liabilities,0.06,-,-,-,-,-,-,-,-
29,Total Liabilities,194.06,255.97,187.03,157.5,335.75,222.57,1963,520.62,-
30,Common Stock,0.04,0.04,0.04,0.04,0.04,0.04,0,-,-
31,Additional Paid-In Capital,5118,5118,5118,5118,5118,5151,2314,-,-
32,Retained Earnings,-403.21,-448.27,-369.41,-410.9,-536.85,-461.18,-187.73,86.05,-
33,Comprehensive Income & Other,-2912,-2922,-2900,-2944,-2987,-3044,-3070,128.15,-
34,Total Common Equity,1803,1747,1848,1763,1594,1646,-943.83,214.2,-
35,Minority Interest,-10.69,-4.47,-4.51,-4.53,-11.34,0.19,-,-,-
36,Shareholders' Equity,1792,1743,1844,1759,1583,1646,-943.83,214.2,-
37,Total Liabilities & Equity,1986,1999,2031,1916,1919,1869,1019,734.82,-
38,Total Debt,42.49,44.37,42.17,26.8,31.62,32.56,1779,99.46,-
39,Net Cash (Debt),1499,1482,1546,1465,1520,1491,-1072,344.85,-
40,Net Cash Growth,-3.05%,1.20%,1.73%,-1.74%,-,332.32%,-,-,-
41,Net Cash Per Share,2.17,2.14,2.24,2.12,2.20,1.96,-112.46,36.18,-
42,Filing Date Shares Outstanding,691.33,691.33,691.33,691.33,691.33,691.33,9.53,9.53,9.53
43,Total Common Shares Outstanding,691.33,691.33,691.33,691.33,691.33,685,9.53,9.53,9.53
44,Working Capital,1477,1460,1585,1473,1347,1416,631.54,203.31,-
45,Book Value Per Share,2.61,2.53,2.67,2.55,2.31,2.40,-99.03,22.48,-
46,Tangible Book Value,1803,1747,1848,1763,1594,1646,-943.83,214.2,-
47,Tangible Book Value Per Share,2.61,2.53,2.67,2.55,2.31,2.40,-99.03,22.48,-
48,Machinery,21.29,20.42,17.54,16.86,14.17,11.93,10.35,6.32,-
49,Leasehold Improvements,8.79,9.9,9,9.48,5.44,-,-,-,-
