,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Investments in Debt Securities,278456,260618,264477,205363,212643.0,199739,-
1,Investments in Equity & Preferred Securities,59059,42307,43058,102859,108082.0,103841,-
2,Policy Loans,-,-,-,-,10729.0,10464,-
3,Other Investments,13062,22610,14164,39722,25894.0,41004,-
4,Total Investments,486237,460210,437826,380838,377065.0,367209,-
5,Cash & Equivalents,12262,13660,12266,28980,7930.0,6679,-
6,Reinsurance Recoverable,4855,5150,4042,4276,7014.0,5913,-
7,Other Receivables,971,3118,1037,7121,22630.0,22274,-
8,Separate Account Assets,-,-,-,-,319.0,322,-
9,"Property, Plant & Equipment",22039,22290,21221,21989,21631.0,21604,-
10,Other Intangible Assets,-,181,-,107,47.0,52,-
11,Restricted Cash,6456,906,5896,1498,982.0,2230,-
12,Other Current Assets,-,247,-,395,474.0,466,-
13,Long-Term Deferred Tax Assets,936,1260,1331,2548,2713.0,864,-
14,Other Long-Term Assets,14930,6664,15621,5817,32832.0,14010,-
15,Total Assets,548686,513686,499240,453569,473637.0,441623,-
16,Accrued Expenses,-,2494,-,2672,4798.0,5119,-
17,Insurance & Annuity Liabilities,424517,385377,372680,347093,323292.0,207650,-
18,Unpaid Claims,-,-,-,-,14198.0,13809,-
19,Unearned Premiums,459,569,518,2375,27315.0,28783,-
20,Reinsurance Payable,26,24,32,37,3229.0,2084,-
21,Short-Term Debt,22424,29662,27569,17480,23438.0,17056,-
22,Current Income Taxes Payable,737,637,209,1036,612.0,181,-
23,Long-Term Debt,19594,21844,12430,12125,13035.0,12923,-
24,Long-Term Leases,569,650,704,782,819.0,922,-
25,Long-Term Deferred Tax Liabilities,1800,101,148,61,134.0,192,-
26,Other Current Liabilities,14132,693,14231,578,3900.0,661,-
27,Other Long-Term Liabilities,2889,7001,4128,8405,2546.0,92418,-
28,Total Liabilities,487147,451897,432649,394216,417931.0,382407,-
29,Common Stock,11502,11502,11502,11502,10351.0,10351,-
30,Additional Paid-In Capital,-,-,-,-,21284.0,-,-
31,Retained Earnings,33096,31837,31633,24418,23678.0,23496,-
32,Comprehensive Income & Other,15635,17107,22174,22155,-812.0,24161,-
33,Total Common Equity,60233,60446,65309,58075,54501.0,58008,-
34,Minority Interest,1306,1343,1282,1278,1205.0,1208,-
35,Shareholders' Equity,61539,61789,66591,59353,55706.0,59216,-
36,Total Liabilities & Equity,548686,513686,499240,453569,473637.0,441623,-
37,Filing Date Shares Outstanding,11502,11502,11502,11502,10351.0,10351,10351
38,Total Common Shares Outstanding,11502,11502,11502,11502,10351.0,10351,10351
39,Total Debt,42587,52156,40703,30387,37292.0,30901,-
40,Net Cash (Debt),-30325,-38496,-28437,-1407,-29362.0,-24222,-
41,Net Cash Per Share,-2.64,-3.35,-2.47,-0.13,-2.84,-2.34,-
42,Book Value Per Share,5.24,5.26,5.68,5.05,5.27,5.60,-
43,Tangible Book Value,60233,60265,65309,57968,54454.0,57956,-
44,Tangible Book Value Per Share,5.24,5.24,5.68,5.04,5.26,5.60,-
45,Land,-,17493,-,16406,15016.0,14894,-
46,Machinery,-,1962,-,2120,2057.0,2111,-
47,Construction In Progress,-,4078,-,3751,4454.0,4077,-
