,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Premiums & Annuity Revenue,32108,32344,31040,29757,28099,46984,50298
1,Total Interest & Dividend Income,4424,6497,2258,2935,-1150,6670,6772
2,Gain (Loss) on Sale of Investments,54,-2646,350,1652,2159,2020,1634
3,Other Revenue,1750,1127,1075,594,2556,2923,2668
4,Total Revenue,38336,37322,34723,34938,31664,58597,61372
5,Revenue Growth (YoY),10.41%,6.82%,9.66%,-40.38%,-48.41%,-,-
6,Policy Benefits,28525,31113,27953,30073,26061,40778,42517
7,Policy Acquisition & Underwriting Costs,-,-,-,-,-,4422,7330
8,"Selling, General & Administrative",3159,3192,2522,2342,2331,8967,8889
9,Provision for Bad Debts,263,324,40,-,-,-,-
10,Other Operating Expenses,-,-,-,-,-,-205,205
11,Total Operating Expenses,31947,34629,30515,32415,28392,53962,58941
12,Operating Income,6389,2693,4208,2523,3272,4635,2431
13,Interest Expense,-679,-634,-477,-513,-485,-482,-707
14,Other Non Operating Income (Expenses),-,-16,-,8,-,-62,-90
15,Pretax Income,5710,2043,3731,2018,2787,4091,1634
16,Income Tax Expense,2498,1143,765,109,68,-101,-194
17,Earnings From Continuing Ops.,3212,900,2966,1909,2719,4192,1828
18,Minority Interest in Earnings,-69,-57,-71,-72,-62,-81,-56
19,Net Income,3143,843,2895,1837,2657,4111,1772
20,Net Income to Common,3143,843,2895,1837,2657,4111,1772
21,Net Income Growth,8.57%,-54.11%,8.96%,-55.32%,49.94%,-,-
22,Shares Outstanding (Basic),11502,11502,11502,10491,10351,10351,10351
23,Shares Outstanding (Diluted),11502,11502,11502,10491,10351,10351,10351
24,Shares Change (YoY),-,9.64%,11.12%,1.35%,-,-,-
25,EPS (Basic),0.27,0.07,0.25,0.18,0.26,0.40,0.17
26,EPS (Diluted),0.27,0.07,0.25,0.17,0.26,0.40,0.17
27,EPS Growth,8.00%,-58.97%,-2.61%,-57.04%,50.99%,-,-
28,Free Cash Flow,20082,4082,14201,3550,20932,23708,19167
29,Free Cash Flow Per Share,1.75,0.35,1.23,0.34,2.02,2.29,1.85
30,Operating Margin,16.67%,7.22%,12.12%,7.22%,10.33%,7.91%,3.96%
31,Profit Margin,8.20%,2.26%,8.34%,5.26%,8.39%,7.02%,2.89%
32,Free Cash Flow Margin,52.38%,10.94%,40.90%,10.16%,66.11%,40.46%,31.23%
33,EBITDA,6813,3330,4556,3058,3838,5216,2959
34,D&A For EBITDA,424,636.5,348,535,566,581,528
35,EBIT,6389,2693,4208,2523,3272,4635,2431
36,Revenue as Reported,-,78224,-,77569,-,58597,61372
