,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,37150,29099,50032,50837,63028,-,-,-
1,Market Cap Growth,-42.76%,-42.76%,-20.62%,-,-,-,-,-
2,Enterprise Value,71137,72988,82144,53804,98834,-,-,-
3,PE Ratio,8.84,6.79,12.15,9.94,12.41,-,-,-
4,PS Ratio,0.46,0.36,0.63,0.68,0.84,-,-,-
5,PB Ratio,0.57,0.44,0.73,0.71,0.94,-,-,-
6,P/FCF Ratio,1.43,1.12,2.48,2.65,2.28,-,-,-
7,P/OCF Ratio,1.09,1.09,2.23,2.33,2.15,-,-,-
8,EV/Sales Ratio,0.88,0.90,1.03,0.71,1.31,-,-,-
9,EV/EBITDA Ratio,6.14,6.70,9.46,6.54,12.68,-,-,-
10,EV/EBIT Ratio,7.29,7.48,10.80,7.40,15.09,-,-,-
11,EV/FCF Ratio,2.74,2.81,4.08,2.81,3.57,-,-,-
12,Debt / Equity Ratio,0.69,0.69,0.84,0.61,0.51,0.67,0.52,-
13,Debt / FCF Ratio,1.76,1.76,2.85,2.29,1.24,0.84,0.72,-
14,Return on Capital Employed (ROCE),1.66%,1.66%,1.34%,1.35%,1.28%,1.67%,1.60%,-
15,Earnings Yield,11.53%,14.72%,8.23%,10.06%,8.06%,-,-,-
16,Earnings Yield,11.53%,14.72%,8.23%,10.06%,8.06%,-,-,-
17,FCF Yield,69.89%,89.23%,40.26%,37.73%,43.91%,-,-,-
18,Buyback Yield / Dilution,-4.60%,-,-9.64%,-11.12%,-1.35%,-,-,-
19,Total Shareholder Return,1.39%,-,-9.64%,-11.12%,-1.35%,-,-,-
