,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Cash & Equivalents,1006682,488004,609649,496821,655351,-,143017,306290,275262,192988,278206,-,476005,325463,382983,386723,728003,193079,140436,91974,Upgrade
1,Short-Term Investments,288732,181132,115832,129914,112914,-,271207,337836,871911,901572,272812,-,519672,518572,469972,397500,336600,44000,11300,29300,Upgrade
2,Accounts Receivable,415230,351282,312687,337537,471042,-,396488,394751,425300,274859,299545,-,499561,314334,278410,312204,301594,328479,222563,426222,Upgrade
3,Other Receivables,148614,121711,146505,120370,85702,-,87464,58045,70485,114830,89228,-,48126,78940,50672,61655,58388,105049,33816,63027,Upgrade
4,Inventory,1222977,1317846,1223198,1094796,935587,-,902667,895983,764630,848752,867922,-,851537,935223,940654,859927,635107,709213,584553,567316,Upgrade
5,Prepaid Expenses,30019,21286,28617,18225,16661,-,14511,11338,9372,11153,10505,-,8884,10707,9231,8624,8812,8394,9028,10590,Upgrade
6,Loans Receivable Current,120140,101930,14400,14400,14400,-,22742,18397,13245,14707,9994,-,7857,7680,7915,7318,7318,7318,6188,-,Upgrade
7,Other Current Assets,1240559,442699,368353,401285,418372,-,467437,592357,355989,293761,329302,-,306980,474097,490191,485128,383247,436493,536360,499508,Upgrade
8,Total Current Assets,4472952,3025889,2819241,2613349,2710028,-,2305534,2614996,2786194,2652622,2157514,-,2718621,2665016,2630027,2519079,2459070,1832025,1544246,1687937,Upgrade
9,"Property, Plant & Equipment",5838901,5746295,5763007,5771462,5818125,-,5405103,4469520,4512107,4437671,4402039,-,4251144,4112490,4139104,4048358,3951266,3545393,3441678,3056341,Upgrade
10,Goodwill,236374,243574,250774,257973,265173,-,191248,3544,3798,4051,4304,-,5386,5663,5939,6216,6493,6770,7047,7324,Upgrade
11,Other Intangible Assets,108592,106564,104820,104837,105106,-,105521,104160,104493,104681,105171,-,106013,106345,106787,82980,82887,82999,83210,83422,Upgrade
12,Long-Term Investments,2277532,2208630,2120838,2108339,2081230,-,1916522,1679803,1446730,1366056,1307343,-,981391,925855,866400,854316,719701,702727,713260,749992,Upgrade
13,Long-Term Loans Receivable,128076,128286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Long-Term Deferred Tax Assets,-,-,-,-,579.1,-,2764,3248,3014,2127,1689,-,3515,2714,1091,715.18,753.25,-,-,-,Upgrade
15,Other Long-Term Assets,1138975,1123569,1081785,1124318,1127877,-,1125948,1126386,1130957,1111062,1113695,-,1007783,1051388,1055007,1056008,1025674,1012216,969316,971970,Upgrade
16,Total Assets,14201402,12582807,12140465,11980279,12108119,-,11052639,10001657,9987292,9678270,9091754,-,9073854,8869470,8804356,8567672,8245843,7182130,6758757,6556986,Upgrade
17,Accounts Payable,362706,425090,435511,477693,454157,-,232908,152690,183656,161152,195925,-,197756,176326,263598,235511,223546,233466,284837,316110,Upgrade
18,Accrued Expenses,254741,210005,194610,232635,285326,-,203918,222055,243180,219362,211372,-,176840,157119,136522,147618,128617,171523,148309,173539,Upgrade
19,Short-Term Debt,1600968,994499,664425,516463,829413,-,1253052,1032007,906472,730632,866082,-,783089,794603,756851,536216,854689,1049536,817031,756924,Upgrade
20,Current Portion of Long-Term Debt,863555,730349,785084,686700,606020,-,363540,454410,421690,435824,363865,-,430156,400917,401292,477020,429062,209559,241921,290780,Upgrade
21,Current Unearned Revenue,241173,196092,131587,142497,120737,-,139597,148064,122463,135533,144845,-,101848,103815,101119,86489,67896,33314,21806,25676,Upgrade
22,Current Income Taxes Payable,21144,21178,13636,10783,19246,-,19143,12498,48142,20740,17970,-,33064,22807,22529,22216,21341,14515,27780,16045,Upgrade
23,Other Current Liabilities,52884,63005,65176,84342,63691,-,72790,343139,63418,70516,87339,-,285095,57964,88421,289717,262354,77783,81332,108814,Upgrade
24,Total Current Liabilities,3397170,2640217,2290029,2151113,2378592,-,2284949,2364863,1989020,1773759,1887399,-,2007847,1713550,1770334,1794788,1987506,1789696,1623017,1687888,Upgrade
25,Long-Term Debt,4480061,3784688,3879549,4023059,3997485,-,3384559,2565622,2691765,2767353,2264861,-,2370660,2478906,2524128,2538395,2264593,2199843,2103035,1909778,Upgrade
26,Long-Term Deferred Tax Liabilities,16555,16035,14686,13182,10545,-,7997,6427,5420,5061,4169,-,6883,6194,2318,1953,1953,1541,1541,1541,Upgrade
