,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Market Capitalization,9676860,10446611,9984760,10050739,8681400,7948304,8912904,8488480,8237684,9549540,9453080,9838920,10012548,8276268,7851844,6819722,5943750,6337500,3975000,3532500,2400000,Upgrade
1,Market Cap Growth,31.43%,31.43%,12.03%,18.40%,5.39%,-16.77%,-5.71%,-13.73%,-17.73%,15.38%,20.39%,44.27%,68.46%,30.59%,97.53%,93.06%,147.66%,83.70%,0.38%,-10.46%,-40.07%,Upgrade
2,Enterprise Value,15502510,15451730,14749658,14801890,13507780,12670758,13635358,11932983,11214510,12430091,12438066,12473954,12647582,11153226,10727625,9632700,8544028,9578077,6985406,6368890,4776937,Upgrade
3,PE Ratio,18.25,18.74,17.92,18.20,13.84,13.66,15.46,14.24,13.16,14.69,13.18,14.49,16.38,13.32,14.76,13.29,12.89,14.80,9.02,8.67,5.99,Upgrade
4,PS Ratio,2.44,2.64,2.56,2.65,2.39,2.25,2.59,2.45,2.40,2.74,2.73,3.03,3.15,2.65,2.65,2.24,2.00,2.09,1.35,1.24,0.86,Upgrade
5,PB Ratio,1.81,1.89,1.86,1.94,1.73,1.60,-,1.84,1.92,2.10,2.16,2.36,-,2.11,2.01,1.82,1.70,1.86,1.59,1.51,1.07,Upgrade
6,P/FCF Ratio,91.33,98.57,-,43.71,29.94,-,30.66,30.78,-,19.98,18.68,25.93,33.82,67.79,-113.09,-22.87,-,-,-,-,-,Upgrade
7,P/OCF Ratio,13.96,13.96,25.52,17.22,12.13,-,10.01,9.37,8.47,7.33,6.47,8.15,8.52,9.28,8.40,6.46,5.34,5.53,5.39,4.49,-5.90,Upgrade
8,EV/Sales Ratio,3.92,3.90,3.79,3.90,3.71,3.59,3.96,3.45,3.27,3.57,3.60,3.84,3.98,3.58,3.62,3.16,2.88,3.17,2.38,2.24,1.71,Upgrade
9,EV/EBITDA Ratio,8.97,9.17,8.97,9.04,8.46,8.28,9.58,8.42,8.17,8.89,8.67,8.92,9.12,8.39,8.37,7.63,6.87,7.90,5.85,5.56,4.36,Upgrade
10,EV/EBIT Ratio,14.17,14.72,14.29,14.33,13.19,12.94,15.65,13.69,12.75,13.53,12.89,13.19,14.13,13.21,13.35,12.19,11.06,12.82,9.36,8.92,7.25,Upgrade
11,EV/FCF Ratio,146.31,145.80,-,64.38,46.59,-,46.91,43.27,-,26.01,24.58,32.87,42.72,91.36,-154.50,-32.31,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,1.26,1.26,1.03,1.03,1.04,1.10,-,1.08,0.94,0.89,0.90,0.84,-,0.91,0.94,0.98,1.02,1.04,1.38,1.35,1.32,Upgrade
13,Debt / EBITDA Ratio,4.12,3.61,3.61,3.20,3.21,3.09,-,3.33,2.97,3.03,2.67,2.64,-,2.43,2.77,2.88,2.88,2.76,2.75,2.64,2.66,Upgrade
14,Debt / FCF Ratio,65.53,65.53,-,23.18,18.02,-,-,18.13,-,8.41,7.77,9.21,-,29.36,-52.92,-12.35,-,-,-,-,-,Upgrade
15,Quick Ratio,0.55,0.55,0.43,0.52,0.50,0.56,-,0.39,0.46,0.83,0.84,0.50,-,0.77,0.72,0.67,0.65,0.72,0.37,0.25,0.36,Upgrade
16,Current Ratio,1.32,1.32,1.15,1.23,1.21,1.14,-,1.01,1.11,1.40,1.50,1.14,-,1.35,1.56,1.49,1.40,1.24,1.02,0.95,1.00,Upgrade
17,Asset Turnover,0.36,0.30,0.34,0.26,-,-,0.33,0.27,0.42,0.37,-,-,0.45,0.29,0.36,0.32,0.45,0.42,0.42,0.46,Upgrade,
18,Return on Equity (ROE),11.25%,14.54%,10.98%,14.40%,-,-,18.90%,12.69%,15.31%,18.42%,-,-,25.43%,16.58%,18.76%,20.64%,19.82%,23.02%,20.54%,23.73%,Upgrade,
19,Return on Assets (ROA),5.98%,4.52%,5.27%,5.22%,-,-,5.83%,5.16%,4.96%,5.98%,-,-,6.73%,5.79%,5.86%,5.80%,6.49%,6.87%,6.99%,6.63%,Upgrade,
20,Return on Capital (ROIC),6.87%,5.22%,6.13%,6.09%,-,-,6.84%,6.10%,5.79%,7.03%,-,-,8.00%,6.82%,7.04%,6.96%,7.75%,8.35%,8.69%,8.38%,Upgrade,
21,Return on Capital Employed (ROCE),9.72%,9.72%,10.38%,10.49%,10.42%,10.06%,-,9.94%,11.52%,11.49%,12.21%,13.12%,-,11.95%,11.23%,11.23%,11.41%,11.94%,13.83%,13.90%,13.54%,Upgrade
22,Earnings Yield,5.48%,6.15%,6.43%,6.33%,8.18%,8.45%,7.79%,8.41%,8.67%,7.78%,8.72%,7.99%,7.44%,9.04%,8.23%,9.20%,9.70%,8.45%,13.86%,14.65%,21.00%,Upgrade
23,Earnings Yield,5.48%,6.15%,6.43%,6.33%,8.18%,8.45%,7.79%,8.41%,8.67%,7.78%,8.72%,7.99%,7.44%,9.04%,8.23%,9.20%,9.70%,8.45%,13.86%,14.65%,21.00%,Upgrade
24,FCF Yield,1.09%,1.01%,0.41%,2.29%,3.34%,-,3.26%,3.25%,3.77%,5.01%,5.35%,3.86%,2.96%,1.48%,-0.88%,-4.37%,-8.43%,-9.25%,-18.68%,-13.53%,-23.01%,Upgrade
25,Dividend Yield,2.79%,-,-,-,-,3.50%,-,-,-,2.78%,-,-,-,-,3.21%,-,-,-,5.11%,-,-,Upgrade
26,Payout Ratio,1.51%,-,0.03%,7.07%,-,-,-,122.18%,-,-,-,112.78%,-,-,-,133.39%,-,-,-,16.99%,98.73%,Upgrade
27,Buyback Yield / Dilution,0.00%,-0.08%,-0.05%,-7.43%,9.42%,-0.00%,-0.03%,16.97%,0.00%,-1.03%,-1.29%,-21.58%,-2.06%,-18.08%,-22.24%,-27.66%,-33.44%,-3.86%,-0.08%,0.15%,-0.07%,Upgrade
28,Total Shareholder Return,2.79%,-0.08%,-0.05%,-7.43%,9.42%,3.49%,-0.03%,16.97%,0.00%,1.75%,-1.29%,-21.58%,-2.06%,-18.08%,-19.04%,-27.66%,-33.44%,-3.86%,5.03%,0.15%,-0.07%,Upgrade
