,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,943057,754120,759348,730968,710949,749086,860436,719686,1051852,779683,1038711,881113,809493,900784,838199,680533,725729,586782,660987,770824,Upgrade
1,Revenue Growth (YoY),32.65%,0.67%,-11.75%,1.57%,-32.41%,-3.92%,-17.16%,-18.32%,29.94%,-13.44%,23.92%,29.47%,11.54%,53.51%,26.81%,-11.71%,-15.64%,-16.19%,-17.69%,-1.65%,Upgrade
2,Cost of Revenue,847774,663312,683337,662150,625070,665808,753682,629449,954579,700235,953962,799820,628028,820212,737416,590171,603937,479022,508862,637491,Upgrade
3,Gross Profit,95283,90809,76012,68818,85879,83278,106754,90237,97272,79448,84748,81293,181465,80573,100782,90362,121792,107760,152125,133333,Upgrade
4,"Selling, General & Admin",57425,45407,39164,30367,42284,38279,38680,30744,57028,41564,39995,31831,43601,32842,34544,27062,46838,41685,38188,38897,Upgrade
5,Operating Expenses,57425,45407,39164,30367,42284,38279,38680,30744,57028,41564,39995,31831,43601,32842,34544,27062,46838,41685,38188,38897,Upgrade
6,Operating Income,37858,45402,36848,38450,43595,44999,68074,59492,40244,37884,44753,49461,137864,47731,66238,63300,74954,66075,113937,94436,Upgrade
7,Interest Expense,-7849,-8113,-9771,-9409,-22854,-16516,-38095,-27451,-30022,-25917,-31177,-34378,-38568,-35195,-51630,-48115,-55578,-53707,-56140,-56198,Upgrade
8,Interest & Investment Income,1175,604.4,22.74,16.07,917.5,467.7,-,31.82,921.9,21.6,27.06,11.42,453.65,10.95,490.3,7.9,954.61,7.29,11.09,15.68,Upgrade
9,Other Non Operating Income (Expenses),1384,-11869,-54.29,197.56,4649,-1641,2.69,-5946,3471,150.79,121.61,8.14,-261,-4.64,42.3,-1894,-50.02,-11404,-74599,748.03,Upgrade
10,Pretax Income,32567,26024,27045,29255,26307,27310,29981,26127,14615,12139,13725,15102,99489,12542,15141,13299,20280,971.26,-16792,39002,Upgrade
11,Income Tax Expense,6240,7106,5822,7916,5308,5485,6003,5234,2957,2442,2752,3020,19829,2508,3028,2660,848.07,-,-34647,28141,Upgrade
12,Net Income,26327,18919,21223,21339,20999,21825,23978,20893,11658,9697,10973,12082,79660,10034,12112,10640,19432,971.26,17856,10861,Upgrade
13,Net Income to Common,26327,18919,21223,21339,20999,21825,23978,20893,11658,9697,10973,12082,79660,10034,12112,10640,19432,971.26,17856,10861,Upgrade
14,Net Income Growth,25.37%,-13.32%,-11.49%,2.13%,80.12%,125.07%,118.52%,72.93%,-85.37%,-3.35%,-9.41%,13.56%,309.93%,933.06%,-32.16%,-2.04%,-21.90%,-90.65%,283.62%,1.75%,Upgrade
15,Shares Outstanding (Basic),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,Upgrade
16,Shares Outstanding (Diluted),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,Upgrade
