,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Revenue,354962,408086,166592,167421,167455,148535
1,Revenue Growth (YoY),111.97%,174.74%,-,-,-,-
2,Cost of Revenue,324429,379237,140553,146434,143982,128304
3,Gross Profit,30533,28849,26039,20988,23473,20230
4,"Selling, General & Admin",22166,19127,13165,10994,12523,9996
5,Operating Expenses,22166,19127,13165,10994,12523,9996
6,Operating Income,8366,9721,12874,9993,10949,10234
7,Interest Expense,-4212,-5872,-3920,-3893,-6412,-5747
8,Interest & Investment Income,3054,1748,529.76,387.34,701.86,550.51
9,Other Non Operating Income (Expenses),-686.26,-890.29,-795.57,-397.74,223.28,-417.43
10,Pretax Income,6522,4707,8688,6089,5462,4620
11,Income Tax Expense,1545,1465,2249,1577,1629,1320
12,Earnings From Continuing Operations,4977,3242,6439,4512,3833,3300
13,Minority Interest in Earnings,-,-,-676.63,-346.23,-52.78,-20.58
14,Net Income,4977,3242,5763,4166,3780,3279
15,Net Income to Common,4977,3242,5763,4166,3780,3279
16,Net Income Growth,31.66%,-1.13%,-,-,-,-
17,Shares Outstanding (Basic),24,24,6,6,6,6
18,Shares Outstanding (Diluted),24,24,6,6,6,6
19,Shares Change (YoY),300.70%,300.23%,-,-,-,-
20,EPS (Basic),207.00,135.00,960.00,694.50,630.00,546.50
21,EPS (Diluted),207.00,135.00,960.00,694.50,630.00,546.50
22,EPS Growth,-67.14%,-75.30%,-,-,-,-
23,Free Cash Flow,-,-,430.27,430.27,-36900,-36900
24,Free Cash Flow Per Share,-,-,71.68,71.73,-6149.92,-6149.30
25,Gross Margin,8.60%,7.07%,15.63%,12.54%,14.02%,13.62%
26,Operating Margin,2.36%,2.38%,7.73%,5.97%,6.54%,6.89%
27,Profit Margin,1.40%,0.79%,3.46%,2.49%,2.26%,2.21%
28,Free Cash Flow Margin,-,-,0.26%,0.26%,-22.04%,-24.84%
29,EBITDA,11086,-,15377,12496,13113,12398
30,EBITDA Margin,3.12%,-,9.23%,7.46%,7.83%,8.35%
31,D&A For EBITDA,2719,-,2502,2502,2164,2164
32,EBIT,8366,9721,12874,9993,10949,10234
33,EBIT Margin,2.36%,2.38%,7.73%,5.97%,6.54%,6.89%
34,Effective Tax Rate,23.69%,31.12%,25.88%,25.90%,29.83%,28.57%
35,Revenue as Reported,354962,408086,166592,167421,167455,148535
