,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Cash & Equivalents,23078,38229,30639,-,-,-
1,Short-Term Investments,78143,114390,-,-,-,-
2,Cash & Short-Term Investments,101221,152619,30639,-,-,-
3,Accounts Receivable,520802,546503,313110,-,-,-
4,Other Receivables,10250,88222,2565,-,-,-
5,Receivables,531052,634725,315675,-,-,-
6,Inventory,434281,411864,57401,-,-,-
7,Prepaid Expenses,3517,3671,2729,-,-,-
8,Other Current Assets,109184,31651,28190,-,-,-
9,Total Current Assets,1179255,1234531,434634,-,-,-
10,"Property, Plant & Equipment",22791,31899,45743,-,-,-
11,Long-Term Investments,162.25,162.25,3581,-,-,-
12,Other Intangible Assets,1404,1404,3354,-,-,-
13,Long-Term Deferred Tax Assets,-,-,146.73,-,-,-
14,Other Long-Term Assets,28750,17019,30133,-,-,-
15,Total Assets,1232362,1285015,517592,-,-,-
16,Accounts Payable,300870,285952,113500,-,-,-
17,Accrued Expenses,29096,76847,64800,-,-,-
18,Short-Term Debt,251562,266197,-,-,-,-
19,Current Portion of Long-Term Debt,2095,-,95354,-,-,-
20,Current Income Taxes Payable,2519,14128,11240,-,-,-
21,Other Current Liabilities,370986,364666,129638,-,-,-
22,Total Current Liabilities,957127,1007789,414532,-,-,-
23,Long-Term Debt,4274,5227,3370,-,-,-
24,Total Liabilities,961401,1013016,417902,-,-,-
25,Common Stock,240000,240000,60000,-,-,-
26,Additional Paid-In Capital,6473,6473,6796,-,-,-
27,Retained Earnings,24488,25526,9209,-,-,-
28,Comprehensive Income & Other,-,-,13105,-,-,-
29,Total Common Equity,270961,271999,89109,-,-,-
30,Minority Interest,-,-,10580,-,-,-
31,Shareholders' Equity,270961,271999,99690,-,-,-
32,Total Liabilities & Equity,1232362,1285015,517592,-,-,-
33,Total Debt,257930,271424,98724,-,-,-
34,Net Cash (Debt),-156710,-118804,-68086,-,-,-
35,Net Cash Per Share,-6518.10,-4946.79,-11342.01,-,-,-
36,Filing Date Shares Outstanding,24.04,24.02,6,6,6,6
37,Total Common Shares Outstanding,24.04,24.02,6,6,6,6
38,Working Capital,222128,226742,20102,-,-,-
39,Book Value Per Share,11270.21,11325.55,14844.20,-,-,-
40,Tangible Book Value,269557,270595,85755,-,-,-
41,Tangible Book Value Per Share,11211.82,11267.09,14285.48,-,-,-
42,Buildings,22619,-,-,-,-,-
43,Machinery,156237,-,-,-,-,-
44,Construction In Progress,1754,1251,1339,-,-,-
