,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Market Capitalization,220800,213600,159600,62400,75600,49200,66600
1,Market Cap Growth,-,334.15%,139.64%,-,-,-,-
2,Enterprise Value,377510,292266,238266,-,-,-,-
3,Last Close Price,9200.00,8900.00,12868.98,3426.23,3558.01,2315.53,3134.44
4,PE Ratio,29.97,11.77,9.42,3.67,6.73,6.97,20.31
5,PS Ratio,0.21,0.19,0.18,0.10,0.16,0.16,0.45
6,PB Ratio,0.82,0.79,0.59,0.63,-,-,-
7,P/TBV Ratio,0.79,0.79,0.59,0.73,-,-,-
8,P/FCF Ratio,-,-,-,-0.86,-1.03,-,-
9,P/OCF Ratio,-,-,-,-0.88,-1.05,-,-
10,EV/Sales Ratio,0.36,0.27,0.26,-,-,-,-
11,EV/EBITDA Ratio,11.89,7.50,-,-,-,-,-
12,EV/EBIT Ratio,18.09,7.14,5.47,-,-,-,-
13,Debt / Equity Ratio,0.95,0.95,1.00,0.99,-,-,-
14,Debt / EBITDA Ratio,8.12,5.82,-,1.61,-,-,-
15,Debt / FCF Ratio,-,-,-,-1.35,-,-,-
16,Quick Ratio,0.75,0.66,0.78,0.84,-,-,-
17,Current Ratio,1.23,1.23,1.22,1.05,-,-,-
18,Return on Capital Employed (ROCE),7.58%,14.88%,15.70%,42.74%,-,-,-
19,Earnings Yield,3.33%,8.50%,10.62%,27.22%,14.85%,14.35%,4.92%
20,FCF Yield,-17.97%,-,-,-116.89%,-97.05%,-150.00%,-55.40%
21,Payout Ratio,114.06%,-,-,93.95%,129.96%,142.00%,163.68%
22,Buyback Yield / Dilution,-300.70%,-300.23%,-,-,-,-,
23,Total Shareholder Return,3.76%,-300.70%,-300.23%,-,-,-,-
