,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+2 Quarters
0,Cash & Equivalents,5129,7149,10143,10659,6098,7757,3345,12965,13572,-,13057,-,-,-,-,-,921.19,1641,-,-,Upgrade
1,Short-Term Investments,66799,-,-,-,10000,10000,48480,55610,34760,-,27860,-,-,-,-,-,17700,6600,-,-,Upgrade
2,Cash & Short-Term Investments,71929,7149,10143,10659,16098,17757,51825,68575,48332,-,40917,-,-,-,-,18621,18621,8241,-,-,Upgrade
3,Cash Growth,346.82%,-59.74%,-80.43%,-84.46%,-66.69%,-,26.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
4,Accounts Receivable,418784,268312,296546,309062,261429,332158,126378,165082,274450,-,209064,-,-,-,-,-,131499,77050,-,-,Upgrade
5,Other Receivables,-,229020,182726,212507,183920,75940,108322,62654,47726,-,420.5,-,-,-,-,-,51.76,831.79,-,-,Upgrade
6,Receivables,418784,497332,479272,521569,445349,408098,234700,227736,322177,-,209485,-,-,-,-,-,131550,77882,-,-,Upgrade
7,Inventory,19550,26144,15270,8548,15441,15854,17887,35896,34845,-,23303,-,-,-,-,-,20456,18880,-,-,Upgrade
8,Prepaid Expenses,53.19,420.67,413.67,4537,285.63,355.64,414.38,215.44,216.08,-,5503,-,-,-,-,-,2273,1203,-,-,Upgrade
9,Other Current Assets,246919,117042,133775,186337,94203,114320,236823,445380,384728,-,434167,-,-,-,-,-,168233,134611,-,-,Upgrade
10,Total Current Assets,757235,648087,638874,731649,571378,556384,541649,777802,790297,-,713376,-,-,-,-,-,341134,240817,-,-,Upgrade
11,"Property, Plant & Equipment",864230,967809,958487,923401,962028,993205,1047245,1031576,1043706,-,1012696,-,-,-,-,-,290163,209635,-,-,Upgrade
12,Long-Term Investments,96740,96800,97075,99886,-,-,-,-,-,-,1000,-,-,-,-,-,-,-,-,-,Upgrade
13,Goodwill,3653,3865,5227,6561,6774,6986,7199,7412,7625,-,8050,-,-,-,-,-,-,-,-,-,Upgrade
14,Long-Term Accounts Receivable,-,14000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Long-Term Deferred Tax Assets,3231,3270,3309,3347,1860,1899,1417,3501,3540,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,6498,6496,6643,6731,8188,7723,8425,7917,8100,-,30608,-,-,-,-,-,2783,2783,-,-,Upgrade
17,Total Assets,1745587,1740327,1709614,1771575,1550228,1566198,1605935,1828208,1853268,-,1765731,-,-,-,-,-,634079,453236,-,-,Upgrade
18,Accounts Payable,47406,48067,48094,56876,48343,46162,53717,59921,130304,-,92073,-,-,-,-,-,47414,16874,-,-,Upgrade
19,Accrued Expenses,150493,128327,105002,79150,48521,32098,34839,6278,10260,-,12522,-,-,-,-,-,1395,1290,-,-,Upgrade
20,Short-Term Debt,635558,646782,518107,532594,430668,462991,426795,819572,790693,-,456596,-,-,-,-,-,242666,175867,-,-,Upgrade
21,Current Income Taxes Payable,6488,9023,11925,14790,15843,21287,23303,23549,23302,-,15007,-,-,-,-,-,3705,3700,-,-,Upgrade
22,Other Current Liabilities,17931,21193,20635,42158,37381,65839,56875,16683,5328,-,3419,-,-,-,-,-,4663,4576,-,-,Upgrade
23,Total Current Liabilities,857876,853393,703763,725568,580756,628376,595529,926003,959887,-,579616,-,-,-,-,-,299844,202306,-,-,Upgrade
24,Long-Term Debt,71430,79362,207294,215226,338967,346899,419021,119021,111036,-,456744,-,-,-,-,-,181909,105347,-,-,Upgrade
25,Long-Term Deferred Tax Liabilities,765.09,802.54,1088,1357,1355,1408,1542,2355,1714,-,592.48,-,-,-,-,-,-,-,-,-,Upgrade
26,Other Long-Term Liabilities,500,1222,6539,51330,42508,2498,4000,1600,1600,-,1100,-,-,-,-,-,-,-,-,-,Upgrade
27,Total Liabilities,930571,934779,918684,993480,963587,979182,1020093,1048979,1074237,-,1038052,-,-,-,-,-,481753,307653,-,-,Upgrade
28,Common Stock,798399,798399,798399,798399,598399,598399,598399,598399,598399,-,570399,-,-,-,-,-,120000,120000,-,-,Upgrade
29,Additional Paid-In Capital,56000,56000,56000,56000,56000,56000,56000,56000,56000,-,56000,-,-,-,-,-,-,-,-,-,Upgrade
30,Retained Earnings,-76435,-85968,-86309,-87913,-79596,-79550,-80775,112791,112603,-,99535,-,-,-,-,-,32327,25583,-,-,Upgrade
31,Total Common Equity,777964,768431,768090,766486,574803,574849,573624,767190,767001,-,725934,-,-,-,-,152327,152327,145583,-,-,Upgrade
32,Minority Interest,37052,37118,22840,11610,11837,12167,12219,12040,12030,-,1745,-,-,-,-,-,-,-,-,-,Upgrade
33,Shareholders' Equity,815016,805549,790930,778095,586640,587016,585843,779229,779031,-,727679,-,-,-,-,152327,152327,145583,-,-,Upgrade
34,Total Liabilities & Equity,1745587,1740327,1709614,1771575,1550228,1566198,1605935,1828208,1853268,-,1765731,-,-,-,-,-,634079,453236,-,-,Upgrade
35,Total Debt,706987,726143,725400,747819,769636,809890,845816,938593,901729,-,913340,-,-,-,-,424575,424575,281214,-,-,Upgrade
36,Net Cash (Debt),-635059,-718995,-715258,-737161,-753538,-792134,-793991,-870018,-853397,-,-872422,-,-,-,-,-405954,-405954,-272973,-,-,Upgrade
37,Net Cash Per Share,-8440.29,-9511.63,-9085.31,-9210.81,-12580.16,-13200.99,-13265.62,-13868.22,-12462.77,-,-15391.59,-,-,-,-,-51692.87,-33797.33,-,-,-,Upgrade
38,Filing Date Shares Outstanding,79.84,75.59,78.73,80.03,59.9,60.01,59.85,62.73,68.48,57.12,56.68,56.7,56.99,56.99,7.85,7.85,12.01,-,11.97,11.97,Upgrade
