,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+2 Quarters
0,Market Capitalization,255488,239520,231536,303392,391215,341087,424863,484703,2519259,2405563,2264483,2241668,2167516,514006,471898,324000,304800,297600,252000,234000,-,Upgrade
1,Market Cap Growth,-29.78%,-29.78%,-45.50%,-37.41%,-84.47%,-85.82%,-81.24%,-78.38%,16.23%,368.00%,379.87%,591.87%,611.13%,72.72%,87.26%,38.46%,-,-,-,-,-,Upgrade
2,Enterprise Value,927598,995632,969634,1052162,1156590,1145388,1231073,1366761,3393426,3279730,3138650,2647622,2573470,919960,877852,729954,710754,570573,-,-,-,Upgrade
3,Last Close Price,3200.00,3000.00,2900.00,3800.00,4900.00,5700.00,7100.00,8100.00,42100.00,40200.00,39700.00,39300.00,38000.00,13793.54,12663.56,8694.62,8179.39,7986.17,6762.48,6279.45,-,Upgrade
4,PE Ratio,15.79,11.42,18.57,37.32,-2.09,-,-2.21,-,75.61,-,39.72,41.63,59.02,19.81,21.35,22.81,20.21,18.65,20.65,23.14,-,Upgrade
5,PS Ratio,0.67,0.67,0.82,0.71,0.71,0.52,0.52,0.54,2.62,2.46,2.67,3.06,3.79,1.06,1.11,0.95,0.95,1.00,0.88,0.91,-,Upgrade
6,PB Ratio,0.33,0.29,0.29,0.38,0.50,0.58,0.72,0.83,3.23,3.09,-,3.08,-,-,-,-,2.00,1.95,1.73,-,-,Upgrade
7,P/TBV Ratio,0.31,0.31,0.30,0.40,0.51,0.60,0.75,0.86,3.32,3.17,-,3.12,-,-,-,-,2.00,1.95,1.73,-,-,Upgrade
8,P/FCF Ratio,-,-4.57,-,-18.42,-,3.48,21.79,13.13,-,-,-7.97,-,-,-,-,-,-,-2.24,-,-,-,Upgrade
9,P/OCF Ratio,-,-,4.39,-9.31,-,3.27,-,3.81,-,-,-304.74,-16.07,-,-,-,-,-,3.56,-,-,-,Upgrade
10,EV/Sales Ratio,2.59,2.79,3.43,2.48,2.09,1.75,1.52,1.51,3.53,3.36,3.70,3.61,4.50,1.89,2.06,2.14,2.22,1.91,-,-,-,Upgrade
11,EV/EBITDA Ratio,7.17,7.66,8.92,9.23,9.75,10.15,9.16,9.04,18.42,16.72,18.59,17.51,28.10,16.36,20.67,-,-,12.85,-,-,-,Upgrade
12,EV/EBIT Ratio,19.41,20.62,37.32,30.66,29.28,32.72,20.85,17.41,29.75,24.86,28.03,26.32,39.35,18.36,19.85,22.52,21.07,16.27,-,-,-,Upgrade
13,EV/FCF Ratio,-17.70,-19.00,-,-63.88,-,11.67,63.13,37.02,-,-,-11.05,-,-,-,-,-,-,-4.29,-,-,-,Upgrade
14,Debt / Equity Ratio,0.87,0.87,0.90,0.92,0.96,1.31,1.38,1.44,1.20,1.16,-,1.26,-,-,-,-,2.79,2.79,1.93,-,-,Upgrade
15,Debt / EBITDA Ratio,5.46,3.20,7.72,8.23,6.41,5.67,7.01,7.95,10.02,4.06,-,3.83,-,-,-,-,-,7.40,2.34,-,-,Upgrade
16,Debt / FCF Ratio,-,-13.49,-,-44.04,-,7.84,41.53,22.91,-,-,-,-,-,-,-,-,-,-3.19,-,-,-,Upgrade
17,Asset Turnover,0.46,0.08,0.14,0.14,0.32,0.45,0.44,-,-,-,-,-,-,-,-,-,0.70,-,-,-,Upgrade,
18,Inventory Turnover,16.93,28.35,6.18,18.94,15.21,27.49,39.27,26.86,-,-,-,-,-,-,-,-,-,16.54,-,-,-,Upgrade
19,Quick Ratio,0.57,0.57,0.59,0.70,0.73,0.79,0.68,0.48,0.32,0.39,-,0.43,-,-,-,-,-,0.50,0.43,-,-,Upgrade
20,Current Ratio,0.88,0.88,0.76,0.91,1.01,0.98,0.89,0.91,0.84,0.82,-,1.23,-,-,-,-,-,1.14,1.19,-,-,Upgrade
21,Return on Equity (ROE),4.23%,3.04%,0.78%,2.94%,0.07%,1.01%,-113.40%,-,-,-,-,-,-,-,-,7.74%,16.61%,-,-,-,Upgrade,
