,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Mar '22 Mar 31, 2022"
0,Market Capitalization,15320,14940,12561,13975,15829,18192,21110,-,-,-
1,Market Cap Growth,-17.88%,-17.88%,-40.50%,-,-,-,-,-,-,-
2,Enterprise Value,26387,24934,22554,23144,24998,27734,30652,-,-,-
3,Last Close Price,20.16,19.66,16.53,18.30,20.73,23.83,27.65,-,-,-
4,PE Ratio,55.91,54.54,47.11,64.49,66.89,75.87,61.75,-,-,-
5,PS Ratio,0.32,0.31,0.29,0.37,0.46,0.55,0.56,-,-,-
6,PB Ratio,3.00,2.93,2.46,2.74,3.13,3.67,-,-,-,-
7,P/TBV Ratio,2.94,2.94,2.48,2.75,3.14,3.68,-,-,-,-
8,EV/Sales Ratio,0.55,0.52,0.52,0.61,0.72,0.84,0.82,-,-,-
9,EV/EBITDA Ratio,26.39,24.42,26.82,27.92,31.06,38.76,35.82,-,-,-
10,EV/EBIT Ratio,27.06,24.69,27.20,28.32,31.55,39.47,36.34,-,-,-
11,Debt / Equity Ratio,2.60,2.60,2.46,2.60,2.50,2.40,-,4.19,4.26,4.52
12,Debt / EBITDA Ratio,13.29,11.12,15.09,15.49,9.82,25.12,-,15.54,12.67,10.53
13,Debt / FCF Ratio,-,-,-,-,-,-,-,-,57.53,-
14,Asset Turnover,2.24,2.22,2.01,-,-,-,1.68,-,-,
15,Inventory Turnover,5.67,6.47,6.17,5.34,-,-,-,3.71,-,-
16,Quick Ratio,0.69,0.69,0.71,0.69,0.64,0.62,-,0.62,0.53,-
17,Current Ratio,1.24,1.24,1.26,1.24,1.26,1.25,-,1.19,1.19,-
18,Return on Equity (ROE),3.07%,4.58%,4.03%,-,-,-,10.19%,-,-,
19,Return on Assets (ROA),3.13%,2.11%,2.27%,-,-,-,2.38%,-,-,
20,Return on Capital (ROIC),4.10%,2.75%,2.93%,-,-,-,3.20%,-,-,
21,Return on Capital Employed (ROCE),19.03%,19.71%,16.20%,15.95%,15.61%,14.09%,-,18.83%,13.62%,-
22,Earnings Yield,1.79%,1.83%,2.12%,1.55%,1.49%,1.32%,1.62%,-,-,-
23,FCF Yield,-18.05%,-18.51%,-18.32%,-18.64%,-14.83%,14.38%,-1.64%,-,-,-
24,Dividend Yield,0.41%,-,-,-,0.41%,-,-,-,-,-
25,Payout Ratio,214.05%,332.19%,391.74%,223.47%,90.23%,342.55%,2906.98%,137.57%,91.09%,40.27%
26,Buyback Yield / Dilution,-14.25%,-9.10%,7.85%,-33.45%,-33.27%,-22.17%,-,-,-,-
27,Total Shareholder Return,-13.84%,-9.10%,7.85%,-33.45%,-32.86%,-22.17%,-,-,-,-
