,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Mar '22 Mar 31, 2022"
0,Operating Revenue,13243,12993,11725,10424,8381,7450,8248,8763,13145
1,Other Revenue,-0.14,0.14,-,0.34,-0.14,0.14,-,0.34,-
2,Revenue,13243,12993,11725,10425,8381,7450,8248,8763,13145
3,Revenue Growth (YoY),58.01%,74.40%,42.15%,18.96%,-36.24%,-,-,-,-
4,Cost of Revenue,12815,12666,11397,9889,8146,7163,7937,8436,12702
5,Gross Profit,427.77,327.15,327.76,535.6,235,286.67,311.03,327.19,442.91
6,"Selling, General & Admin",90.76,91.94,82.42,118.47,103.91,92.56,89.77,100.85,117.7
7,Research & Development,17.64,19.14,18.23,23.32,20.51,20.47,23.25,33.91,21.39
8,Other Operating Expenses,8.67,10.7,4.87,10.72,-4.7,-15.25,3.22,17.82,3.94
9,Operating Expenses,131.73,129.12,116.13,231.36,119.64,100.68,124.23,112.72,186.63
10,Operating Income,296.04,198.04,211.63,304.24,115.35,186,186.8,214.47,256.28
11,Interest Expense,-155.42,-162.42,-163.07,-139.11,-118.25,-151.44,-125.8,-131.78,-92.75
12,Interest & Investment Income,16.75,28.44,15.17,25.21,23.78,22.21,15.39,83,30.06
13,Currency Exchange Gain (Loss),-7,7,-,-87.71,63.75,-63.75,-,-141.06,-
14,Other Non Operating Income (Expenses),-42.61,-11.23,-0.45,61.48,-73.16,5.26,-17.74,173.09,-10.53
15,EBT Excluding Unusual Items,107.76,59.83,63.29,164.11,11.47,-1.72,58.66,197.71,183.07
16,Gain (Loss) on Sale of Investments,-11.11,-10.37,11.38,-16.35,8.38,17.54,-8.12,-90.62,6.13
17,Gain (Loss) on Sale of Assets,0.01,-0.02,-,-0.01,0.09,-0,-,0.12,0.04
18,Asset Writedown,-41.67,11.99,-11.99,-26.93,26.93,-30.84,30.84,-11.11,-33.93
19,Legal Settlements,0.17,-0.17,-,-0.39,-0,0,-,-1.52,-
20,Other Unusual Items,-1,6.95,-0,12.54,-3.88,3.88,-,28.63,-
21,Pretax Income,54.17,68.2,62.68,132.97,42.99,-11.14,81.37,123.22,155.31
22,Income Tax Expense,14.97,9.81,11.43,7.88,11.1,-19.62,10.21,-5.04,21.37
23,Net Income,39.2,58.39,51.25,125.09,31.89,8.48,71.16,128.26,133.94
24,Net Income to Common,39.2,58.39,51.25,125.09,31.89,8.48,71.16,128.26,133.94
25,Net Income Growth,22.93%,588.48%,-27.99%,-2.47%,-76.19%,-,-,-,-
26,Shares Outstanding (Basic),760,759,760,759,696,824,570,570,570
27,Shares Outstanding (Diluted),760,759,760,759,696,824,570,570,570
28,Shares Change (YoY),9.10%,-7.85%,33.45%,33.27%,22.17%,-,-,-,-
29,EPS (Basic),0.05,0.08,0.07,0.16,0.05,0.01,0.12,0.23,0.23
30,EPS (Diluted),0.05,0.08,0.07,0.16,0.05,0.01,0.12,0.23,0.23
31,EPS Growth,12.67%,647.11%,-46.04%,-26.82%,-80.51%,-,-,-,-
32,Free Cash Flow,-1157,-126.66,-378.86,-1102,-694.38,-429.47,-121.13,3861,-3656
33,Free Cash Flow Per Share,-1.52,-0.17,-0.50,-1.45,-1.00,-0.52,-0.21,6.78,-6.41
34,Dividend Per Share,-,-,-,0.085,-,-,-,0.142,-
35,Dividend Growth,-,-,-,-40.14%,-,-,-,-,-
36,Gross Margin,3.23%,2.52%,2.80%,5.14%,2.80%,3.85%,3.77%,3.73%,3.37%
37,Operating Margin,2.24%,1.52%,1.81%,2.92%,1.38%,2.50%,2.26%,2.45%,1.95%
38,Profit Margin,0.30%,0.45%,0.44%,1.20%,0.38%,0.11%,0.86%,1.46%,1.02%
39,Free Cash Flow Margin,-8.74%,-0.97%,-3.23%,-10.57%,-8.29%,-5.76%,-1.47%,44.06%,-27.81%
40,EBITDA,298.8,200.76,214.39,307,118.68,188.93,190.13,217.8,258.88
41,EBITDA Margin,2.26%,1.55%,1.83%,2.94%,1.42%,2.54%,2.31%,2.49%,1.97%
42,D&A For EBITDA,2.76,2.72,2.76,2.76,3.33,2.93,3.33,3.33,2.59
43,EBIT,296.04,198.04,211.63,304.24,115.35,186,186.8,214.47,256.28
44,EBIT Margin,2.24%,1.52%,1.80%,2.92%,1.38%,2.50%,2.26%,2.45%,1.95%
45,Effective Tax Rate,27.63%,14.39%,18.24%,5.92%,25.82%,-,12.54%,-,13.76%
46,Revenue as Reported,13243,12993,11725,10425,8381,7450,8248,8763,13145
