,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,2015,2374,2885,2293,2550,-,1592,1629,-
1,Trading Asset Securities,202.44,201.68,403.16,401.66,205.38,-,681.38,582.78,-
2,Cash & Short-Term Investments,2218,2575,3288,2695,2755,-,2274,2212,2515
3,Cash Growth,-19.51%,-,44.60%,21.83%,9.54%,-,-,-,-
4,Accounts Receivable,11120,10026,9749,8539,8315,-,7566,6285,-
5,Other Receivables,22.68,47.25,24.49,54.13,18.24,-,22.04,49.48,-
6,Receivables,11142,10074,9774,8594,8333,-,7588,6335,-
7,Inventory,7837,8006,8417,8648,8662,-,7513,9592,-
8,Prepaid Expenses,-,-,-,8.06,-,-,-,10.8,-
9,Other Current Assets,2670,1702,2022,2256,2572,-,1573,1148,-
10,Total Current Assets,23867,22357,23501,22200,22323,-,18948,19298,-
11,"Property, Plant & Equipment",143.77,119.76,124.91,130.86,134.06,-,140.17,146.64,-
12,Long-Term Investments,256.22,251.6,250.23,249.94,248.8,-,243.84,168.14,-
13,Other Intangible Assets,29.19,29.24,20.66,21.32,21.82,-,22.4,23.06,-
14,Long-Term Deferred Tax Assets,96.93,99.61,97.65,96.79,84.44,-,79.58,83.99,-
15,Long-Term Deferred Charges,3.38,4.01,4.75,5.53,6.28,-,7.62,8.27,-
16,Other Long-Term Assets,-,7.06,8.63,0.27,-,-,-,-,-
17,Total Assets,24397,22868,24008,22704,22819,-,19442,19728,-
18,Accounts Payable,4527,3567,3750,2794,3342,-,3030,2971,-
19,Accrued Expenses,16.99,71.94,26.6,166.19,34.96,-,36.53,99.62,-
20,Short-Term Debt,13262,12553,12611,11976,11239,-,11117,11074,-
21,Current Portion of Long-Term Debt,-,-,663.88,660.82,675.98,-,34.26,20.61,-
22,Current Portion of Leases,11.91,11.28,-,14.34,-,-,-,15.3,-
23,Current Income Taxes Payable,54.46,12.48,40.74,8.66,34.65,-,69.3,75.92,-
24,Current Unearned Revenue,1225,1354,1570,1793,2183,-,1448,1756,-
25,Other Current Liabilities,175.75,179.41,221.18,217,323.02,-,214.09,258.68,-
26,Total Current Liabilities,19273,17750,18883,17629,17832,-,15950,16271,-
27,Long-Term Debt,-,-,-,-,-,-,650,660,-
28,Long-Term Leases,11.64,4.9,6.16,8.06,9.58,-,14.48,17.09,-
29,Long-Term Unearned Revenue,-,-,-,-,-,-,-,0.01,-
30,Long-Term Deferred Tax Liabilities,9.91,11.08,12.73,11.1,13.35,-,9.99,11.23,-
31,Total Liabilities,19294,17766,18902,17648,17855,-,16624,16960,-
32,Common Stock,759.9,759.9,759.9,759.9,759.9,-,569.93,569.93,-
33,Additional Paid-In Capital,3100,3100,3100,3100,3100,-,1157,1157,-
34,Retained Earnings,1214,1175,1181,1130,1005,-,1073,1001,-
35,Comprehensive Income & Other,27.44,66.67,63.8,65.48,97.94,-,17.97,39.27,-
36,Shareholders' Equity,5102,5102,5106,5056,4963,-,2818,2768,2412
37,Total Liabilities & Equity,24397,22868,24008,22704,22819,-,19442,19728,-
38,Total Debt,13285,12570,13281,12659,11925,-,11816,11787,10899
39,Net Cash (Debt),-11068,-9994,-9993,-9964,-9169,-,-9542,-9575,-8384
40,Net Cash Per Share,-14.57,-13.16,-13.14,-13.12,-13.17,-,-16.75,-16.81,-14.71
41,Filing Date Shares Outstanding,759.9,759.9,759.9,759.9,759.9,823.85,569.93,569.93,569.95
42,Total Common Shares Outstanding,759.9,759.9,759.9,759.9,759.9,823.85,569.93,569.93,569.95
43,Working Capital,4594,4607,4618,4570,4491,-,2998,3026,-
44,Book Value Per Share,6.71,6.71,6.72,6.65,6.53,-,4.94,4.86,4.23
45,Tangible Book Value,5073,5073,5085,5035,4942,-,2795,2745,2388
46,Tangible Book Value Per Share,6.68,6.68,6.69,6.63,6.50,-,4.90,4.82,4.19
47,Buildings,-,92.7,-,92.7,-,-,-,92.7,-
48,Machinery,-,62.33,-,60.87,-,-,-,57.85,-
