,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,-10.1,39,0.26,-,-,-,-
1,Cost of Revenue,0.16,475.51,1237,483.09,-7.44,66.27,-
2,Gross Profit,-10.26,-436.52,-1237,-483.09,7.44,-66.27,-
3,"Selling, General & Admin",48.76,121.6,131.98,184.89,225.34,220.91,124.8
4,Research & Development,98.3,264.28,385.6,610.06,855.27,1192,633.84
5,Other Operating Expenses,0.18,18.33,9.85,13.49,35.52,0.4,0.03
6,Operating Expenses,147.24,404.22,527.43,808.44,1116,1414,758.68
7,Operating Income,-157.5,-840.73,-1764,-1292,-1109,-1480,-758.68
8,Interest Expense,-4.34,-6.97,-11.75,-3.75,-2.18,-1.43,-6.79
9,Interest & Investment Income,13.11,6.3,9.82,3.86,4.65,7.88,3.01
10,Currency Exchange Gain (Loss),-0.33,32.63,-67.61,4.3,-29.71,11.83,-1.48
11,Other Non Operating Income (Expenses),17.98,5.56,6.87,7.6,6.91,11.37,4.74
12,EBT Excluding Unusual Items,-131.08,-803.21,-1827,-1280,-1129,-1450,-759.19
13,Merger & Restructuring Charges,-,-3.98,-,-13.84,-,-,-
14,Gain (Loss) on Sale of Investments,-,-,-,-,0.23,0.59,0.32
15,Gain (Loss) on Sale of Assets,2.11,-1.15,-,-1.13,-7.31,-,-
16,Asset Writedown,-,-10.31,-,-,-,-,-
17,Other Unusual Items,33.85,29.49,2477,-21.32,-,-3252,-555.88
18,Pretax Income,-95.12,-789.16,650.62,-1316,-1136,-4702,-1315
19,Net Income,-95.12,-789.16,650.62,-1316,-1136,-4702,-1315
20,Net Income to Common,-95.12,-789.16,650.62,-1316,-1136,-4702,-1315
21,Shares Outstanding (Basic),1252,1247,1240,1118,1086,-,-
22,Shares Outstanding (Diluted),1252,1247,1246,1118,1086,-,-
23,Shares Change (YoY),0.47%,11.51%,14.71%,-,-,-,-
24,EPS (Basic),-0.08,-0.63,0.52,-1.18,-1.05,-,-
25,EPS (Diluted),-0.08,-0.63,0.52,-1.18,-1.05,-,-
26,Free Cash Flow,-159.15,-300.69,-434.14,-1156,-611.66,-486.36,-490.64
27,Free Cash Flow Per Share,-0.13,-0.24,-0.35,-1.03,-0.56,-,-
28,Operating Margin,-,-2155.83%,-686410.89%,-,-,-,-
29,Profit Margin,-,-2023.60%,253161.09%,-,-,-,-
30,Free Cash Flow Margin,-,-771.04%,-168926.07%,-,-,-,-
31,EBITDA,-139.42,-819.74,-1747,-1277,-1095,-1472,-754.65
32,D&A For EBITDA,18.07,20.99,17.31,14.82,14.16,8.26,4.03
33,EBIT,-157.5,-840.73,-1764,-1292,-1109,-1480,-758.68
