,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,458.77,735.86,1264,1607,2256,2767,-
1,Short-Term Investments,7.94,2.94,2.94,2.94,12.94,61.09,-
2,Trading Asset Securities,14.25,14.17,14.45,13.93,-,30.91,-
3,Cash & Short-Term Investments,480.97,752.97,1282,1624,2269,2859,-
4,Cash Growth,-62.48%,-53.64%,-43.50%,-43.19%,-,-,-
5,Receivables,0,24.11,0.58,-,-,-,-
6,Inventory,696.73,696.98,1169,2384,1536,768.69,-
7,Restricted Cash,15.88,13.29,16.71,16.3,14.13,6.8,-
8,Other Current Assets,420.75,412.18,337.36,365.01,1075,1442,-
9,Total Current Assets,1614,1900,2806,4390,4895,5076,-
10,"Property, Plant & Equipment",146.19,162.06,219.04,241.74,245.3,222.4,-
11,Other Intangible Assets,36.75,39.86,36.19,35,25.16,13.83,-
12,Other Long-Term Assets,-,-,18.26,28.04,47.92,32.93,-
13,Total Assets,1797,2101,3079,4695,5213,5346,-
14,Accounts Payable,181.23,247.83,226.38,856.96,970.73,588.56,-
15,Accrued Expenses,-,70.62,-,88.47,-,96.9,-
16,Short-Term Debt,212.95,308.06,409.95,294.06,-,-,-
17,Current Portion of Leases,12.06,18.54,23.84,23.57,26.09,21.48,-
18,Current Unearned Revenue,1589,1578,1605,1555,1489,1424,-
19,Other Current Liabilities,77.92,54.11,101.86,10.84,123.78,17.62,-
20,Total Current Liabilities,2073,2277,2367,2829,2610,2148,-
21,Long-Term Leases,6.1,7.85,22.15,36.74,54.13,46.44,-
22,Long-Term Unearned Revenue,42.51,44.36,145.78,2497,2373,1932,-
23,Other Long-Term Liabilities,508.19,505.05,515.25,-,-,-,-
24,Total Liabilities,2630,2834,3050,5363,5036,4127,-
25,Common Stock,0.84,0.84,0.84,0.84,0.74,0.74,-
26,Additional Paid-In Capital,8636,8621,8589,8562,8060,7972,-
27,Retained Earnings,-9735,-9640,-8851,-9502,-8186,-7050,-
28,Treasury Stock,-0.03,-0.03,-0.03,-0.04,-0.04,-0.05,-
29,Comprehensive Income & Other,265.82,285.85,290.22,270.38,301.32,296.63,-
30,Shareholders' Equity,-832.78,-732.83,28.55,-668.14,176.59,1219,-
31,Total Liabilities & Equity,1797,2101,3079,4695,5213,5346,-
32,Total Debt,231.1,334.45,455.94,354.37,80.22,67.92,-
33,Net Cash (Debt),249.87,418.52,825.91,1270,2188,2791,-
34,Net Cash Growth,-69.75%,-67.04%,-62.26%,-54.51%,-,-,-
35,Net Cash Per Share,0.20,0.34,0.66,1.14,2.01,-,-
36,Filing Date Shares Outstanding,1297,1296,1294,1293,1161,1158,-
37,Total Common Shares Outstanding,1297,1296,1294,1293,1161,1158,-
38,Working Capital,-458.91,-377.48,438.25,1561,2285,2928,-
39,Book Value Per Share,-0.64,-0.57,0.02,-0.52,0.15,1.05,-
40,Tangible Book Value,-869.52,-772.69,-7.64,-703.14,151.42,1205,-
41,Tangible Book Value Per Share,-0.67,-0.60,-0.01,-0.54,0.13,1.04,-
42,Buildings,-,29.8,-,29.75,-,29.75,-
43,Machinery,-,147.25,-,128.37,-,101.65,-
44,Construction In Progress,-,25.28,-,44.08,-,32.15,-
45,Leasehold Improvements,-,35.79,-,31.6,-,11.38,-
