,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,415,441,804,1359,3348,4564,15727,-
1,Market Cap Growth,-67.54%,-67.54%,-75.99%,-70.23%,-78.71%,-,-,-
2,Enterprise Value,147,-20,-89,-77,785,1137,16969,-
3,Last Close Price,0.32,0.34,0.62,1.05,2.59,3.93,13.58,-
4,PE Ratio,-,-,-,-1.89,-,-,-,-
5,Forward PE,-,0.71,0.78,2.35,5.87,7.37,5.49,-
6,PS Ratio,12.87,14.20,18.58,4892.70,-,-,-,-
7,PB Ratio,-0.49,-0.49,-1.00,44.04,-4.43,22.06,10.51,-
8,P/TBV Ratio,-,-,-,-,-,25.73,10.63,-
9,Debt / Equity Ratio,-0.28,-0.28,-0.46,15.97,-0.53,0.45,0.06,-
10,Earnings Yield,-228.92%,-215.46%,-18.99%,-52.90%,-82.79%,-149.84%,-46.96%,-
11,FCF Yield,-119.04%,-112.04%,-100.73%,-126.47%,-59.70%,-28.18%,-7.63%,-
12,Buyback Yield / Dilution,-5.94%,-0.47%,-11.51%,-14.71%,-,-,-,-
13,Total Shareholder Return,-5.94%,-0.47%,-11.51%,-14.71%,-,-,-,-
