,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,"Property, Plant & Equipment",362.82,373.15,4089,4278,4378,4567,4460,4423,4080,4156,Upgrade
1,Cash & Equivalents,78.76,90.76,95.87,84.87,66.31,93.2,82.09,86.41,83.09,77.27,Upgrade
2,Accounts Receivable,4.65,-,9.83,12.33,26.18,21.61,1.63,4.15,5.74,19.14,Upgrade
3,Investment In Debt and Equity Securities,1002,1030,-,-,-,-,-,-,-,-,Upgrade
4,Other Current Assets,2.88,2.22,39.41,41.18,43.79,45.63,50.53,50.14,46.87,47.45,Upgrade
5,Total Assets,1451,1497,4234,4416,4515,4727,4594,4564,4216,4300,Upgrade
6,Current Portion of Leases,-,-,-,-,0.5,1.3,1.92,1.88,0.18,1.27,Upgrade
7,Long-Term Debt,-,-,69.1,72.3,74.86,78.06,76.78,76.14,70.38,71.66,Upgrade
8,Long-Term Leases,-,-,-,-,-,-,0.33,1.3,-,-,Upgrade
9,Accounts Payable,1.86,1.91,1.92,2.08,2.06,2.12,2.11,2.09,1.92,1.96,Upgrade
10,Accrued Expenses,-,-,-,-,-,-,-,-,-,25.06,Upgrade
11,Current Income Taxes Payable,34.42,34.3,75.8,78.56,78,79.52,61.63,60.66,55.47,56.59,Upgrade
12,Other Current Liabilities,27.56,26.99,54.55,56.72,54.65,70.1,61.77,64.43,58.21,33.96,Upgrade
13,Long-Term Deferred Tax Liabilities,164.56,168.39,884.62,924.87,943.28,982.81,958.46,949.62,876.79,891.98,Upgrade
14,Other Long-Term Liabilities,195.26,201.92,263.99,259.92,271.24,289.8,292.33,295.86,279.85,302.19,Upgrade
15,Total Liabilities,423.66,433.51,1350,1394,1425,1504,1455,1452,1343,1385,Upgrade
16,Common Stock,19.22,19.22,23.34,17.84,17.84,17.84,17.84,17.84,17.84,15.14,Upgrade
17,Additional Paid-In Capital,97.6,97.6,93.66,92.39,92.39,492.39,492.39,492.39,492.39,478.98,Upgrade
18,Retained Earnings,185.02,194.6,676.9,676.74,674.52,273.47,267.14,266.66,271.46,273.23,Upgrade
19,Comprehensive Income & Other,57.44,64.4,37.91,87.01,113.41,153.48,137.16,129.09,56.66,72.69,Upgrade
20,Total Common Equity,359.27,375.81,831.81,873.97,898.15,937.17,914.53,905.97,838.35,840.04,Upgrade
21,Minority Interest,668.4,687.29,2052,2148,2192,2286,2224,2206,2035,2075,Upgrade
22,Shareholders' Equity,1028,1063,2884,3022,3090,3223,3138,3112,2873,2915,Upgrade
23,Total Liabilities & Equity,1451,1497,4234,4416,4515,4727,4594,4564,4216,4300,Upgrade
24,Total Debt,-,-,69.1,72.3,75.35,79.36,79.03,79.32,70.56,72.93,Upgrade
25,Net Cash / Debt,78.76,90.76,26.78,12.58,-9.04,13.85,3.06,7.09,12.52,4.34,Upgrade
26,Net Cash Growth,194.16%,621.64%,-,-9.16%,-,95.25%,-75.53%,63.35%,242.37%,-59.79%,Upgrade
27,Net Cash Per Share,0.10,0.12,0.03,0.02,-0.01,0.02,0.00,0.01,0.02,0.01,Upgrade
28,Filing Date Shares Outstanding,768.62,768.62,768.62,713.62,713.62,713.62,713.62,713.62,713.62,605.62,Upgrade
29,Total Common Shares Outstanding,768.62,768.62,768.62,713.62,713.62,713.62,713.62,713.62,713.62,605.62,Upgrade
30,Book Value Per Share,0.47,0.49,1.08,1.22,1.26,1.31,1.28,1.27,1.17,1.39,Upgrade
31,Tangible Book Value,359.27,375.81,831.81,873.97,898.15,937.17,914.53,905.97,838.35,840.04,Upgrade
32,Tangible Book Value Per Share,0.47,0.49,1.08,1.22,1.26,1.31,1.28,1.27,1.17,1.39,Upgrade
33,Buildings,-,8.92,-,9.17,-,9.9,-,9.65,-,9.09,Upgrade
