,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,833.71,846.51,1057,1118,174.39,157.34,-,218.33
1,Trading Asset Securities,-,50,0,0,-,-,-,-
2,Cash & Short-Term Investments,833.71,896.51,1057,1118,174.39,157.34,218.33,218.33
3,Cash Growth,378.08%,469.78%,384.32%,412.06%,-,-,-,-
4,Accounts Receivable,639.83,613.36,515.67,617.23,602.17,526.65,-,527.08
5,Other Receivables,1.53,26.22,29.42,14.94,7.81,22.47,-,1.83
6,Receivables,641.35,639.59,545.1,632.17,609.97,549.12,-,528.91
7,Inventory,368.38,339.88,355.17,288.84,288.8,234.96,-,236.82
8,Other Current Assets,82.87,62.75,84.04,61.81,53.54,35.59,-,25.15
9,Total Current Assets,1926,1939,2042,2101,1127,977.01,-,1009
10,"Property, Plant & Equipment",617.27,607.83,570.9,576.96,469.22,456.82,-,428.53
11,Long-Term Investments,85.25,77.39,93.79,89.93,93.52,82.84,-,98.97
12,Other Intangible Assets,36.74,37.3,37.71,38.19,37.41,37.69,-,37.8
13,Long-Term Deferred Tax Assets,10.3,11.62,10.52,10.84,8.87,8.12,-,7.64
14,Long-Term Deferred Charges,4.4,5.3,5.89,6.41,4.45,3.79,-,5.77
15,Other Long-Term Assets,11.72,9.17,6.9,6.61,9.05,23.05,-,5.13
16,Total Assets,2692,2687,2767,2830,1749,1589,-,1593
17,Accounts Payable,389.08,405.7,430.57,524.16,449.7,374.2,-,441.36
18,Accrued Expenses,42.33,45.69,25.16,62.33,40.99,44.81,-,51.42
19,Short-Term Debt,37.84,49.95,50.27,52.78,190.62,180.17,-,180.17
20,Current Portion of Leases,9.81,11.47,8.76,10.64,2.81,8.61,-,7.29
21,Current Income Taxes Payable,24.7,5.55,19.86,6.34,15.01,1.89,-,3.73
22,Current Unearned Revenue,0.52,0.72,1.81,0.51,2.13,0.6,-,0.42
23,Other Current Liabilities,14.3,0.88,16,1.24,4.26,0.52,-,1.07
24,Total Current Liabilities,518.59,519.95,552.42,658.01,705.52,610.8,-,685.46
25,Long-Term Debt,112.78,132.97,132.78,132.98,132.78,113.98,-,79.74
26,Long-Term Leases,31.16,34,28.89,28.58,-,1.09,-,3.94
27,Long-Term Unearned Revenue,5.89,5.98,6.25,6.42,4.85,5.11,-,5.58
28,Long-Term Deferred Tax Liabilities,-,-,-,-,0.12,0.16,-,0.12
29,Total Liabilities,668.42,692.9,720.34,826,843.28,731.14,-,774.85
30,Common Stock,337.34,337.34,337.34,337.34,253,253,-,253
31,Additional Paid-In Capital,1253,1253,1253,1256,274.6,274.6,-,274.6
32,Retained Earnings,443.17,410.86,455.96,409.67,373.73,324.82,-,286.14
33,Comprehensive Income & Other,-9.8,-6.62,0.97,0.21,0.72,0.86,-,0.07
34,Total Common Equity,2024,1994,2047,2003,902.06,853.29,813.81,813.81
35,Minority Interest,-,-,-,0.88,3.88,4.88,-,4.39
36,Shareholders' Equity,2024,1994,2047,2004,905.94,858.16,818.21,818.21
37,Total Liabilities & Equity,2692,2687,2767,2830,1749,1589,-,1593
38,Total Debt,191.59,228.38,220.71,224.99,326.21,303.85,271.14,271.14
39,Net Cash (Debt),642.12,668.13,836.72,893.01,-151.82,-146.5,-52.81,-52.81
40,Net Cash Per Share,1.96,1.90,2.53,2.76,-0.63,-0.55,-0.21,-0.20
41,Filing Date Shares Outstanding,337.34,337.34,337.34,337.34,253,253,246.3,253
42,Total Common Shares Outstanding,337.34,337.34,337.34,337.34,253,253,246.3,253
43,Working Capital,1408,1419,1489,1443,421.18,366.21,-,323.75
44,Book Value Per Share,6.00,5.91,6.07,5.94,3.57,3.37,3.22,3.22
45,Tangible Book Value,1987,1957,2009,1965,864.65,815.6,776.02,776.02
46,Tangible Book Value Per Share,5.89,5.80,5.96,5.82,3.42,3.22,3.07,3.07
47,Buildings,-,166.98,-,166.98,-,96.27,-,96.27
48,Machinery,-,454.97,-,449.28,-,400.67,-,385.41
49,Construction In Progress,-,224.79,-,189.47,-,211.46,-,180.14
