,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,5617,6062,5360,6011,7846,-,-,-,-
1,Enterprise Value,4975,5394,4524,6167,8002,-,-,-,-
2,Last Close Price,16.65,17.97,15.89,17.51,22.86,-,-,-,-
3,PE Ratio,32.53,35.52,28.63,35.70,48.59,-,-,-,-
4,PS Ratio,2.66,2.91,2.56,3.02,4.11,-,-,-,-
5,PB Ratio,2.78,3.00,2.69,2.94,3.92,-,-,-,-
6,P/TBV Ratio,3.05,3.05,2.74,2.99,3.99,-,-,-,-
7,P/FCF Ratio,-,-,-,-,-211.61,-,-,-,-
8,P/OCF Ratio,158.34,158.34,-,52.50,81.39,-,-,-,-
9,EV/Sales Ratio,2.39,2.59,2.16,3.10,4.19,-,-,-,-
10,EV/EBITDA Ratio,21.49,24.54,19.49,28.93,39.15,-,-,-,-
11,EV/EBIT Ratio,27.88,30.23,23.66,35.89,48.95,-,-,-,-
12,EV/FCF Ratio,-39.50,-,-,-,-215.81,-,-,-,-
13,Debt / Equity Ratio,0.09,0.09,0.11,0.11,0.11,0.36,0.35,0.33,0.33
14,Debt / EBITDA Ratio,0.83,0.77,0.79,0.92,1.26,1.09,1.66,1.32,1.05
15,Debt / FCF Ratio,-,-,-,-,-6.07,-,-,-,29.16
16,Asset Turnover,0.77,0.82,0.67,0.94,1.27,-,-,-,
17,Inventory Turnover,5.10,4.66,5.12,4.64,6.17,6.09,-,-,-
18,Quick Ratio,2.84,2.84,2.95,2.90,2.66,1.11,1.16,-,1.09
19,Current Ratio,3.71,3.71,3.73,3.70,3.19,1.60,1.60,-,1.47
20,Return on Equity (ROE),6.43%,11.10%,8.84%,9.73%,22.05%,17.79%,19.37%,-,
21,Return on Assets (ROA),4.89%,4.87%,4.49%,2.46%,9.78%,-,-,-,
22,Return on Capital (ROIC),5.92%,5.91%,5.58%,3.26%,13.64%,7.49%,9.61%,-,
23,Return on Capital Employed (ROCE),8.21%,8.21%,8.82%,7.76%,7.53%,17.58%,12.08%,-,4.69%
24,Earnings Yield,3.04%,2.81%,3.49%,2.80%,2.06%,-,-,-,-
25,FCF Yield,-2.24%,-2.08%,-1.93%,-0.65%,-0.47%,-,-,-,-
26,Dividend Yield,1.78%,-,-,-,1.31%,-,-,-,-
27,Payout Ratio,64.37%,1.28%,186.83%,0.95%,11.66%,2.92%,109.51%,6.23%,6.16%
28,Buyback Yield / Dilution,-31.83%,-35.19%,-33.02%,-34.23%,-25.18%,-,-,-,-
29,Total Shareholder Return,-30.06%,-35.19%,-33.02%,-34.23%,-23.87%,-,-,-,-
