,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,541.6,536.07,468.71,477.91,552.47,427.95,389.19,497.48
1,Other Revenue,-24.01,24.01,-,61.01,-24.07,24.07,-,42.72
2,Revenue,517.59,560.08,468.71,538.92,528.4,452.02,389.19,540.2
3,Revenue Growth (YoY),-2.05%,23.91%,20.43%,-0.24%,-,-,-,-
4,Cost of Revenue,412.88,444.57,373.73,445.86,398.88,370.06,306.21,450.54
5,Gross Profit,104.71,115.51,94.98,93.06,129.53,81.96,82.98,89.66
6,"Selling, General & Admin",49.42,38.09,36.85,46.59,47.18,28.65,27.54,18.51
7,Research & Development,14.92,11.12,12.92,20.34,11.24,14.26,13.65,20.94
8,Other Operating Expenses,-5.91,1.87,0.94,2.43,4.19,1.85,1.22,4.21
9,Operating Expenses,52.12,62.43,44.76,70.5,64.21,48.25,41.1,47.1
10,Operating Income,52.59,53.08,50.22,22.56,65.32,33.71,41.89,42.56
11,Interest Expense,-1.22,-1.6,-0.18,-2.12,-1.23,-1.51,-1.52,-2.93
12,Interest & Investment Income,4.9,6.86,2.26,5.28,2.89,4.6,0.46,12.87
13,Earnings From Equity Investments,-,-3.3,3.3,-,-,-2.56,2.56,-
14,Currency Exchange Gain (Loss),2.63,-2.63,-,8.26,-8.02,8.02,-,6.47
15,Other Non Operating Income (Expenses),-16.71,-2.2,2.01,-2.53,1.78,-0.69,1.19,-7.67
16,EBT Excluding Unusual Items,42.18,50.22,57.61,31.44,60.74,41.58,44.59,51.29
17,Gain (Loss) on Sale of Investments,-,-,-,0,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0.02,15.28,0.15,0.14,-0.15,0.12,-,-0.47
19,Asset Writedown,-0.52,0.2,-0.45,2.71,-3.28,-0.07,-0.04,-0.57
20,Other Unusual Items,-1.35,1.55,-,2.37,-,-,-,7.05
21,Pretax Income,40.29,67.26,57.31,36.67,57.31,41.62,44.55,57.29
22,Income Tax Expense,7.98,11.16,12.56,1.27,8.67,4.34,4.92,6.57
23,Earnings From Continuing Operations,32.31,56.09,44.75,35.4,48.63,37.29,39.63,50.73
24,Minority Interest in Earnings,-,0,1.54,0.55,0.28,-0.06,-0.22,0.5
25,Net Income,32.31,56.1,46.29,35.94,48.91,37.22,39.41,51.23
26,Net Income to Common,32.31,56.1,46.29,35.94,48.91,37.22,39.41,51.23
27,Net Income Growth,-33.93%,50.71%,17.45%,-29.84%,-,-,-,-
28,Shares Outstanding (Basic),328,352,331,323,242,265,246,258
29,Shares Outstanding (Diluted),328,352,331,323,242,265,246,258
30,Shares Change (YoY),35.19%,33.02%,34.23%,25.18%,-,-,-,-
31,EPS (Basic),0.10,0.16,0.14,0.11,0.20,0.14,0.16,0.20
32,EPS (Diluted),0.10,0.16,0.14,0.11,0.20,0.14,0.16,0.20
33,EPS Growth,-51.13%,13.29%,-12.50%,-43.95%,-,-,-,-
34,Free Cash Flow,-40.99,-71.39,-49.83,36.27,-18.31,-7.11,-47.94,9.3
35,Free Cash Flow Per Share,-0.13,-0.20,-0.15,0.11,-0.08,-0.03,-0.19,0.04
36,Dividend Per Share,-,-,-,0.300,-,-,-,-
37,Gross Margin,20.23%,20.62%,20.26%,17.27%,24.51%,18.13%,21.32%,16.60%
38,Operating Margin,10.16%,9.48%,10.71%,4.19%,12.36%,7.46%,10.76%,7.88%
39,Profit Margin,6.24%,10.02%,9.87%,6.67%,9.26%,8.23%,10.13%,9.48%
40,Free Cash Flow Margin,-7.92%,-12.75%,-10.63%,6.73%,-3.46%,-1.57%,-12.32%,1.72%
41,EBITDA,62.5,64.74,60.13,32.47,74.78,45.82,51.34,52.02
42,EBITDA Margin,12.07%,11.56%,12.83%,6.03%,14.15%,10.14%,13.19%,9.63%
43,D&A For EBITDA,9.91,11.66,9.91,9.91,9.46,12.11,9.46,9.46
44,EBIT,52.59,53.08,50.22,22.56,65.32,33.71,41.89,42.56
45,EBIT Margin,10.16%,9.48%,10.71%,4.19%,12.36%,7.46%,10.76%,7.88%
46,Effective Tax Rate,19.80%,16.60%,21.92%,3.48%,15.13%,10.42%,11.04%,11.46%
47,Revenue as Reported,517.59,560.08,468.71,1909,528.4,452.02,389.19,1636
