,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,716.02,1114,780.27,1640,849.75,1192,846.91,1393,797.37,749.22,665.77,1110,777.79,610.58,461.15,552.66,367.73,249.36,182.46,224.05
1,Other Revenue,129,-180.6,180.6,-502.1,172.42,-147.31,147.31,-278.59,114.34,86.8,77.45,-90.59,45.67,27.78,17.14,-32.85,15.11,12.03,5.71,-
2,Revenue,845.02,933.81,960.86,1138,1022,1044,994.22,1114,911.71,836.02,743.23,1019,823.47,638.35,478.29,519.81,382.84,261.39,188.16,224.05
3,Revenue Growth (YoY),-17.33%,-10.57%,-3.36%,2.18%,12.11%,24.90%,33.77%,9.30%,10.72%,30.96%,55.39%,96.08%,115.09%,144.22%,154.19%,132.01%,-,-,-,-
4,Cost of Revenue,304.88,377.27,417.38,465.2,473.71,482.13,482,485.44,467.33,436.41,407.68,539.39,398.62,261.8,205.62,186.72,162.77,134.99,109.91,100.65
5,Gross Profit,540.14,556.54,543.48,673.1,548.45,562.08,512.22,628.52,444.38,399.6,335.54,479.83,424.85,376.55,272.67,333.09,220.07,126.39,78.25,123.4
6,"Selling, General & Admin",445.21,531.09,570.87,618.67,648.89,653.05,546,632.34,562.22,636.67,817.22,647.06,562.67,606.47,508.83,355.23,272.63,200.49,202.56,310.61
7,Research & Development,179.26,209.32,197.36,232.59,249.66,236.25,182.96,212.5,160.76,223.59,166.52,208.01,184.66,120.62,106.3,82.36,77.23,83.55,86.62,89.97
8,Operating Expenses,624.47,740.42,768.23,851.26,898.55,889.3,728.96,844.83,722.98,860.25,983.74,855.06,747.33,727.09,615.13,437.59,349.87,284.05,289.18,400.58
9,Operating Income,-84.33,-183.87,-224.75,-178.16,-350.1,-327.22,-216.74,-216.31,-278.6,-460.65,-648.19,-375.23,-322.48,-350.54,-342.46,-104.51,-129.8,-157.65,-210.93,-277.18
10,Interest & Investment Income,44.82,48.57,47.67,51.11,51.98,51.78,45.5,39.59,37.74,31.08,30.08,31.98,25.47,20.04,12.99,16.12,18.24,21.23,25.25,25.44
11,Currency Exchange Gain (Loss),-1.1,0.29,0.12,-0.94,-0.39,7.08,-5.65,-1.52,28.3,49.13,-4.16,-30.15,8.72,5.46,-0.69,41.79,36.85,-0.69,-15.28,13.01
12,Other Non Operating Income (Expenses),30.69,47.36,12.45,29.81,19.88,-8.37,2.75,1.48,-82.37,-100.2,10.38,-6.86,18.78,5.53,6.01,-42.98,-34.98,20.55,0.32,-3.41
13,Pretax Income,-9.93,-87.66,-164.51,-98.18,-278.64,-276.74,-174.14,-176.76,-294.93,-480.65,-611.89,-380.27,-269.51,-319.5,-324.16,-89.57,-109.7,-116.56,-200.63,-242.14
14,Income Tax Expense,-0.95,-7.06,1.28,4.93,-0.26,2.33,4.83,2.76,2.66,6.38,2.4,3.02,0.3,1.58,0.54,0.49,0.34,-0.45,0.7,0.02
