,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,3214,3159,2194,2107,3133,4034,4172,4526,3398,2249,2393,2157,1467,884.54,6006,957.82,662.66,-,-,900.35
1,Short-Term Investments,1782,1850,3022,3356,2521,2125,2086,1736,3227,3600,4443,5055,5307,4861,1790,2139,2566,-,-,2643
2,Cash & Short-Term Investments,4996,5010,5217,5463,5654,6159,6258,6262,6625,5849,6836,7212,6774,5746,7796,3097,3229,-,3544,3544
3,Cash Growth,-11.64%,-18.65%,-16.63%,-12.75%,-14.65%,5.29%,-8.46%,-13.18%,-2.21%,1.80%,-12.31%,132.90%,109.81%,-,120.00%,-12.61%,-,-,-,-
4,Accounts Receivable,493.79,574.17,669.5,682.93,637.09,761.11,777.48,859.05,772.82,871.45,850.5,849.82,717.81,602.94,505,499.89,357.54,-,-,251.87
5,Other Receivables,-,54.73,-,43.83,-,-,-,23.54,-,-,-,109.57,-,-,-,0.36,3.58,-,-,4.84
6,Receivables,493.79,628.9,669.5,726.77,637.09,761.11,777.48,882.59,772.82,871.45,850.5,959.39,717.81,602.94,505,500.25,361.12,-,-,256.72
7,Inventory,-,19.1,-,22.19,-,-,-,10.35,-,-,-,4.6,-,-,-,-,-,-,-,-
8,Prepaid Expenses,-,73.51,-,92.18,-,-,-,96.29,-,-,-,105.83,-,-,-,61.24,25.65,-,-,17.19
9,Restricted Cash,51.77,51.77,-,-,-,-,-,-,-,281.88,222.19,-,648.54,1214,-,-,-,-,-,-
10,Other Current Assets,207.84,54,239.81,73.82,330.76,239.67,215.09,69.07,230.89,187.38,182.03,52.07,184.61,151.18,100,61.93,56.34,-,-,84.44
11,Total Current Assets,5750,5837,6126,6378,6622,7159,7250,7320,7628,7190,8091,8334,8325,7714,8401,3720,3672,-,-,3902
12,"Property, Plant & Equipment",22.95,31.63,41.94,51.06,55.64,91.55,101.25,107.41,117.06,131.19,144.06,136.38,106.69,90.47,85.88,11.35,18.42,-,-,40.56
13,Long-Term Investments,51.18,51.18,51.18,44.62,30,30,30,-,-,898.29,19.05,178.52,181.59,762.29,184,-,-,-,-,-
14,Goodwill,126.34,126.34,191.08,191.08,191.08,191.08,126.34,126.34,126.34,73.66,73.66,73.66,50.83,-,-,-,-,-,-,-
15,Other Intangible Assets,58.05,61.7,117.11,122.65,126.4,131.69,76.67,80.24,85.64,57.86,63.09,68.31,59.13,17.83,20.66,23.48,26.3,-,-,34.94
16,Other Long-Term Assets,0.46,0.37,7.88,7.99,23.07,29.95,22.45,22.45,22.45,14.13,14.13,14.13,12.46,5.68,4.71,6.45,0.51,-,-,6.86
17,Total Assets,6009,6108,6535,6795,7048,7634,7607,7656,7980,8365,8405,8805,8736,8591,8696,3761,3717,-,-,3984
18,Accounts Payable,901.38,923.91,1033,1065,963.26,1153,1022,940.97,1009,1297,1105,1110,874.1,808.74,660.22,547.83,434.02,-,-,383.23
19,Accrued Expenses,226.87,278.45,332.08,406.33,287.63,239.54,284.8,334.39,237.82,244.6,316.76,372.34,303.34,248.61,253.46,269.47,240.5,-,-,226.07
