,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,605187,605187,643485,635142,664999,663863,606486,604346,726818,808053,863764,675205,608978,156990,425964,376274,369447,333159,291760,422172,Upgrade
1,Revenue Growth (YoY),-8.99%,-8.84%,6.10%,5.10%,-8.51%,-17.84%,-29.79%,-10.49%,19.35%,414.72%,102.78%,79.45%,64.83%,-52.88%,46.00%,-10.87%,-38.94%,-44.25%,-53.05%,-29.15%,Upgrade
2,Cost of Revenue,568808,568808,609062,601378,634887,619146,577681,576369,702409,786892,823078,641141,569373,144405,393988,340616,340924,305650,277688,400300,Upgrade
3,Gross Profit,36379,36379,34423,33764,30113,44717,28804,27978,24409,21161,40686,34064,39605,12584,31976,35658,28523,27508,14071,21871,Upgrade
4,"Selling, General & Admin",33958,33958,31754,31856,26526,38131,27858,32205,24941,27287,35296,29840,24584,20766,29772,30858,23226,22672,18430,22057,Upgrade
5,Operating Expenses,33958,33958,31754,31856,26526,38131,27858,32205,24941,27287,35296,29840,24584,20766,29772,30858,23226,22672,18430,22057,Upgrade
6,Operating Income,2421,2421,2669,1908,3587,6586,946.06,-4227,-532.12,-6126,5390,4224,15021,-8182,2205,4800,5297,4837,-4358,-185.74,Upgrade
7,Interest Expense,-558.01,-558.01,-1265,-,-,-,-,-,-,-8.44,-4.22,-,-30.61,-47.46,-26.15,-42.83,-15.62,-177.51,-35.79,-177.87,Upgrade
8,Interest & Investment Income,631.71,631.71,917.3,686.94,1104,665.1,709.22,661.58,713.45,667.01,760.89,709.31,675.98,1054,857.56,706.87,781.4,577.88,495.85,830.49,Upgrade
9,Other Non Operating Income (Expenses),787.3,787.3,634.62,-23.14,30.97,568.43,-89.95,4798,-51.47,-58.75,52.43,-124.31,-30.19,171.96,237.59,-61.84,319.87,1280,17.49,114.97,Upgrade
10,EBT Excluding Unusual Items,3282,3282,2956,2572,4721,7819,1565,1233,129.86,-5526,6199,4809,15636,-7003,3274,5402,6383,6517,-3881,581.85,Upgrade
11,Gain (Loss) on Sale of Assets,330.76,330.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
12,Pretax Income,3613,3613,2956,2572,4721,7819,1565,1233,129.86,-5526,6199,4809,15636,-7003,3274,5402,6383,6517,-3881,581.85,Upgrade
13,Income Tax Expense,788.08,788.08,627.25,526.13,1281,1578,316.43,258.22,31.36,-1096,1226,991.95,3145,-1414,657.78,1077,1288,590.97,-74.56,98.06,Upgrade
14,Earnings From Continuing Operations,2825,2825,2328,2046,3440,6242,1249,974.37,98.5,-4430,4973,3817,12491,-5590,2616,4325,5095,5926,-3806,483.8,Upgrade
