,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1341,4134,5613,5153,5899,5252,4669,2976,-,4815,-,990.16,990.16,1053,1053,1214,1214,1096,1096
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.35,-,-
2,Trading Asset Securities,3970,1231,79.03,782.13,150.55,742.22,1082,2264,-,-,-,-,-,-,-,-,-,12,12
3,Cash & Short-Term Investments,5311,5365,5692,5935,6050,5994,5751,5240,-,4815,990.16,990.16,990.16,1053,1053,1214,1215,1108,1108
4,Cash Growth,-12.21%,-10.50%,-1.03%,13.26%,-,24.49%,480.81%,429.22%,-,357.08%,-6.01%,-18.44%,-18.49%,-4.93%,-4.93%,-,-,-,-
5,Accounts Receivable,1300,1406,1906,2194,2397,2233,2561,2933,-,3504,-,3080,3080,1732,1732,991.22,991.22,888.02,888.02
6,Other Receivables,1.76,101.75,1.77,73.5,1.44,34.92,10.79,23.19,-,10.55,-,5.32,5.32,20.95,20.95,41.55,40.74,15.68,15.68
7,Receivables,1301,1508,1908,2267,2398,2268,2571,2956,-,3515,-,3086,3086,1753,1753,1033,1032,903.7,903.7
8,Inventory,243.03,200.99,189.18,216.19,267.12,371.53,442.07,623.28,-,558.79,-,608.93,608.93,365.12,365.12,260.29,260.29,179.05,179.05
9,Prepaid Expenses,-,0.78,-,-,-,1.17,-,-,-,0.52,-,0.75,0.75,0.04,0.04,0.65,0.65,-,-
10,Other Current Assets,116.99,6.12,99.66,4.79,53.01,10.38,35.39,11.37,-,9.37,-,9.46,9.46,5.14,5.14,2.8,2.96,4.68,4.68
11,Total Current Assets,6972,7080,7888,8424,8768,8646,8800,8831,-,8899,-,4695,4695,3177,3177,2511,2511,2195,2195
12,"Property, Plant & Equipment",2009,1964,1900,1759,1473,1364,1099,1065,-,835.04,-,744.18,744.18,701.75,701.75,567.99,567.99,500.02,500.02
13,Long-Term Investments,538.65,527.89,527.21,460.15,178.02,103.25,53.03,53.23,-,28.73,-,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
14,Other Intangible Assets,239.59,240.79,213.75,216.06,213.87,216.86,217.02,183.79,-,186.3,-,98.69,98.69,67.59,67.59,68.89,68.89,59.86,59.86
