,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,2909253,2502932,2977817,3315637,3590897,3803598,4245101,4303030,4236830,2364682,2037967
1,Market Cap Growth,-24.51%,-24.51%,-17.07%,-12.83%,-15.41%,-11.61%,0.20%,81.97%,107.89%,-,-
2,Enterprise Value,4170017,3552343,4798616,5136435,5265636,5478338,7274396,7234613,7221224,3376211,3049496
3,Last Close Price,17900.00,15400.00,19040.00,21200.00,22960.00,24320.00,27636.36,28612.89,28172.69,15792.12,13606.13
4,PE Ratio,7.98,8.41,9.30,18.91,-171.62,-,12.31,10.77,10.85,5.99,4.61
5,Forward PE,-,7.23,7.23,7.23,8.25,8.74,9.93,12.35,12.16,6.82,5.87
6,PS Ratio,1.24,1.31,0.85,0.85,0.75,0.61,0.95,2.38,1.84,1.35,7.86
7,PB Ratio,0.39,0.80,0.96,1.15,1.25,1.40,1.39,1.61,1.73,1.02,-
8,P/TBV Ratio,0.81,0.81,0.99,1.19,1.45,1.62,1.74,2.04,2.25,1.39,-
9,P/FCF Ratio,-,-,-,28.03,-,1.35,3.46,-,2.67,-,-
10,P/OCF Ratio,-,-,-,27.46,-,1.35,3.43,-,2.61,88.18,7.18
11,PEG Ratio,0.29,0.29,0.29,0.29,0.33,0.35,-,-,-,-,-
12,EV/Sales Ratio,2.18,1.86,1.37,1.32,1.10,0.89,1.62,4.00,3.14,1.93,11.76
13,EV/EBITDA Ratio,16.01,13.64,9.05,12.52,42.01,-,20.72,66.25,56.66,56.86,-
14,EV/EBIT Ratio,16.28,13.87,9.11,12.64,43.81,-,22.25,93.22,63.23,61.17,-
15,EV/FCF Ratio,-4.41,-,-,43.42,-,1.95,5.92,-,4.56,-,-
16,Debt / Equity Ratio,0.45,0.45,0.40,0.51,0.58,0.67,0.93,1.12,1.25,1.29,-
17,Debt / FCF Ratio,-,-,-,12.34,-,0.65,2.31,-,1.93,-,-
18,Return on Capital Employed (ROCE),6.70%,6.70%,13.99%,10.13%,3.02%,-,6.19%,1.19%,1.72%,1.04%,-
19,Earnings Yield,10.23%,11.89%,10.75%,5.29%,-0.58%,0.50%,8.12%,9.75%,9.92%,17.54%,22.19%
20,FCF Yield,-32.51%,-37.79%,33.76%,3.57%,-3.61%,73.82%,28.92%,20.03%,37.41%,-0.58%,13.19%
21,Buyback Yield / Dilution,15.16%,30.31%,-,0.18%,-10.34%,-25.18%,-13.27%,7.96%,-10.37%,-11.84%,0.96%
22,Total Shareholder Return,15.16%,30.31%,-,0.18%,-10.34%,-25.18%,-13.27%,7.96%,-10.37%,-11.84%,0.96%
