,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,431568,1481831,2025190,1865857,2916721,3271914,1205219,603146,1693529,60114
1,Revenue Growth (YoY),-78.69%,-20.58%,-30.57%,-42.97%,142.01%,442.47%,-28.83%,903.34%,750.22%,-67.58%
2,Cost of Revenue,306888,1013037,1481739,1432422,2521419,2619922,972776,436824,1443017,38797
3,Gross Profit,124679,468794,543451,433435,395301,651993,232444,166322,250513,21316
4,"Selling, General & Admin",118951,218379,267285,303393,405159,366293,191162,129994,172632,44002
5,Operating Expenses,118951,218379,267285,303393,405159,366293,191162,129994,172632,44002
6,Operating Income,5728,250415,276166,130042,-9858,285699,41282,36328,77881,-22686
7,Interest Expense,-68343,-97850,-65630,-85871,-108387,-174137,-7059,-122250,-42322,-8992
8,Interest & Investment Income,164326,216915,190510,179502,165086,152572,94604,85704,16755,15227
9,Earnings From Equity Investments,-,-,-26438,-45169,-34510,-33812,19651,74323,15.82,-11044
10,Currency Exchange Gain (Loss),-2253,-40849,-21067,-4681,1045,-5719,-1070,1070,1001,-1001
11,Other Non Operating Income (Expenses),-5090,-24132,-10857,-8057,-13189,-4969,-118787,-12058,-8487,-827.92
12,EBT Excluding Unusual Items,94369,304500,342683,165765,187.58,219634,28621,63117,44843,-29324
13,Gain (Loss) on Sale of Investments,-89417,-,-1199,-,-,-,255405,145648,217894,192206
14,Gain (Loss) on Sale of Assets,-,-593.27,-,-213.08,-1395,-,-,-,1.16,-120.43
15,Other Unusual Items,-13980,6741,43708,31299,7537,-7048,-3761,5145,19495,34005
16,Pretax Income,-9028,310647,385192,196852,6329,212586,280265,213910,282232,196766
17,Income Tax Expense,-54302,94917,70085,51575,83594,38768,55704,17303,30404,3846
18,Earnings From Continuing Operations,45274,215730,315107,145277,-77264,173819,224561,196607,251828,192920
19,Minority Interest in Earnings,26478,10019,-220758,-64268,-24668,-52920,-578.69,-1213,-26781,-3254
20,Net Income,71751,225749,94349,81009,-101933,120898,223982,195393,225047,189666
21,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,20000,10000,10000
22,Net Income to Common,71751,225749,94349,81009,-101933,120898,223982,175393,215047,179666
23,Net Income Growth,-23.95%,178.67%,-,-32.99%,-,-38.13%,-0.47%,3.02%,-14.26%,196.20%
24,Shares Outstanding (Basic),109,156,156,156,157,142,125,125,136,113
25,Shares Outstanding (Diluted),109,156,156,156,157,142,125,125,136,113
26,Shares Change (YoY),-30.31%,-,-0.18%,10.34%,25.18%,13.27%,-7.96%,10.37%,11.84%,-0.96%
27,EPS (Basic),658.32,1443.43,603.26,517.97,-650.60,852.92,1789.56,1401.53,1581.35,1584.56
28,EPS (Diluted),658.32,1443.00,603.26,517.97,-650.60,852.80,1789.07,1401.45,1581.16,1584.56
29,EPS Growth,9.13%,178.59%,-,-39.26%,-,-39.15%,13.15%,-11.56%,-26.74%,183.31%
30,Free Cash Flow,-853603,-92234,1097624,-979317,849666,1958079,-730288,1592259,-7137,-6628
31,Free Cash Flow Per Share,-7831.81,-589.74,7018.15,-6261.73,5423.10,13813.90,-5834.81,12723.43,-52.48,-58.45
32,Operating Margin,1.33%,16.90%,13.64%,6.97%,-0.34%,8.73%,3.43%,6.02%,4.60%,-37.74%
33,Profit Margin,16.63%,15.23%,4.66%,4.34%,-3.49%,3.70%,18.58%,29.08%,12.70%,298.88%
34,Free Cash Flow Margin,-197.79%,-6.22%,54.20%,-52.49%,29.13%,59.85%,-60.59%,263.99%,-0.42%,-11.03%
35,EBITDA,7777,252659,277841,132458,-7113,288853,62252,46943,80501,-21120
36,D&A For EBITDA,2048,2243,1675,2417,2745,3154,20970,10614,2620,1566
37,EBIT,5728,250415,276166,130042,-9858,285699,41282,36328,77881,-22686
38,Revenue as Reported,431568,1481831,2025190,1865857,2916721,3271914,1205219,603146,1693529,60114
