,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,79.28,79.48,70.1,59.09,67.31,71.17,79.23,47.65,75.54,96.67,103.58,100.01
1,Other Revenue,-,-0.5,0.5,-,-,-0.33,0.33,-,0.65,-0.2,0.2,-
2,Revenue,79.28,78.98,70.59,59.09,67.31,70.84,79.56,47.65,76.19,96.48,103.77,100.01
3,Revenue Growth (YoY),17.79%,11.49%,-11.27%,24.00%,-11.65%,-26.57%,-23.34%,-52.35%,-,-,-,-
4,Cost of Revenue,36.84,34.56,42.79,35.64,36.08,35.58,49.73,25.45,42.64,43.81,46.73,39.8
5,Gross Profit,42.44,44.42,27.8,23.45,31.23,35.26,29.82,22.2,33.55,52.66,57.04,60.21
6,"Selling, General & Admin",19.45,2.93,14.87,8.46,14.47,6.03,8.71,5.74,6,6.14,5.81,4.93
7,Research & Development,-0.49,14.07,4.93,6.76,3.24,8.56,6.32,5.93,4.41,5.97,5.57,5.65
8,Other Operating Expenses,-0.36,-0.22,0.59,0.55,-0.68,0.16,0.58,0.3,1.07,0.68,0.71,0.94
9,Operating Expenses,18.32,17.02,20.95,15.27,17.68,15.05,16.56,10.09,10.31,8.12,15.99,11.12
10,Operating Income,24.12,27.41,6.85,8.18,13.55,20.21,13.26,12.11,23.23,44.54,41.05,49.09
11,Interest Expense,-21.82,-,-0.21,-0.07,-40.69,-,-0.23,-0.1,-0,-0.18,-0.08,-0.07
12,Interest & Investment Income,0.19,5.59,8.34,11.45,0.27,13.33,20.45,9.87,12.66,4.42,3.2,2.29
13,Currency Exchange Gain (Loss),-,-0.2,0.2,-,-,-4.45,4.45,-,16.46,-9.68,9.68,-
14,Other Non Operating Income (Expenses),35.1,-0.17,-0.29,0.2,52.87,3.97,-3.92,3.88,-19.8,19.72,0.51,-0.63
15,EBT Excluding Unusual Items,37.59,32.62,14.9,19.76,26,33.04,34.01,25.77,32.55,58.82,54.36,50.68
16,Gain (Loss) on Sale of Investments,-2.27,1.4,0.63,0.41,-1.16,0.93,0.89,0.81,0.72,-,0.1,0.5
17,Gain (Loss) on Sale of Assets,0.01,-0,-0,-0.01,-,-0,-,-,0.04,-,0,0
18,Asset Writedown,-1.45,-6.72,-0.28,0.28,-4.3,-2.41,3.49,-3.49,8.2,-8.2,1.13,-1.2
19,Other Unusual Items,0,-0.45,0,0.45,0.14,-0.14,-,-,0.07,-0.01,0.01,-
20,Pretax Income,33.89,26.85,15.25,20.89,20.68,31.43,38.38,23.09,41.58,50.61,55.6,49.99
21,Income Tax Expense,4.31,4.21,3.05,3.08,3.73,4.45,4.81,3.84,6.35,8.43,7.26,6.88
22,Net Income,29.58,22.64,12.21,17.81,16.96,26.98,33.57,19.25,35.23,42.18,48.34,43.11
23,Net Income to Common,29.58,22.64,12.21,17.81,16.96,26.98,33.57,19.25,35.23,42.18,48.34,43.11
24,Net Income Growth,74.41%,-16.09%,-63.64%,-7.49%,-51.87%,-36.02%,-30.55%,-55.35%,-,-,-,-
25,Shares Outstanding (Basic),303,286,249,297,283,299,281,275,264,211,210,216
26,Shares Outstanding (Diluted),303,286,249,297,283,300,312,275,264,221,210,216
27,Shares Change (YoY),6.88%,-4.70%,-20.20%,7.93%,7.22%,35.52%,48.66%,27.58%,-,-,-,-
28,EPS (Basic),0.10,0.08,0.05,0.06,0.06,0.09,0.12,0.07,0.13,0.20,0.23,0.20
29,EPS (Diluted),0.10,0.08,0.05,0.06,0.06,0.09,0.11,0.07,0.13,0.19,0.23,0.20
30,EPS Growth,63.18%,-11.95%,-54.44%,-14.29%,-55.11%,-52.79%,-53.29%,-65.00%,-,-,-,-
31,Free Cash Flow,-5.16,18.23,0.25,-7,-2.77,-17.86,-24.69,26.66,28.89,45.58,54.47,27.35
32,Free Cash Flow Per Share,-0.02,0.06,0.00,-0.02,-0.01,-0.06,-0.08,0.10,0.11,0.21,0.26,0.13
33,Dividend Per Share,-,-,-,-,-,-,-,-,0.700,-,-,-
34,Gross Margin,53.53%,56.24%,39.38%,39.69%,46.39%,49.77%,37.48%,46.59%,44.03%,54.59%,54.97%,60.20%
35,Operating Margin,30.43%,34.70%,9.71%,13.84%,20.13%,28.52%,16.67%,25.41%,30.50%,46.17%,39.55%,49.08%
36,Profit Margin,37.30%,28.67%,17.29%,30.14%,25.19%,38.09%,42.20%,40.40%,46.24%,43.72%,46.58%,43.10%
37,Free Cash Flow Margin,-6.51%,23.08%,0.35%,-11.85%,-4.12%,-25.21%,-31.03%,55.95%,37.93%,47.25%,52.49%,27.34%
38,EBITDA,28.29,29.6,9.58,10.37,15.78,22.1,16.34,14.01,25.13,46.15,42.93,50.69
39,EBITDA Margin,35.68%,37.48%,13.57%,17.56%,23.44%,31.20%,20.54%,29.40%,32.99%,47.83%,41.36%,50.68%
40,D&A For EBITDA,4.16,2.19,2.73,2.19,2.23,1.9,3.08,1.9,1.9,1.6,1.88,1.6
41,EBIT,24.12,27.41,6.85,8.18,13.55,20.21,13.26,12.11,23.23,44.54,41.05,49.09
42,EBIT Margin,30.43%,34.70%,9.71%,13.84%,20.13%,28.52%,16.67%,25.41%,30.50%,46.17%,39.55%,49.08%
43,Effective Tax Rate,12.72%,15.67%,19.98%,14.73%,18.01%,14.15%,12.54%,16.64%,15.28%,16.66%,13.06%,13.77%
44,Revenue as Reported,-,78.98,70.59,59.09,-,70.84,79.56,47.65,76.19,96.48,103.77,100.01
