,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,1489,1520,1745,1902,1904,1807,1841,2049,1959,-,-,-
1,Trading Asset Securities,415.47,365.11,123.71,53.21,52.8,143.97,113.03,122.14,181.33,-,-,-
2,Cash & Short-Term Investments,1905,1885,1868,1955,1957,1951,1954,2171,2141,-,-,494.42
3,Cash Growth,-2.66%,-3.37%,-4.40%,-9.92%,-8.58%,-,-,339.05%,-,-,-,-
4,Accounts Receivable,88.93,86.4,80.84,71.13,80.27,93.55,87.65,69.3,105.26,-,-,-
5,Other Receivables,0.41,1.34,0.36,0.55,0.54,0.7,0.45,0.73,0.64,-,-,-
6,Receivables,89.34,87.74,81.2,71.68,80.81,94.25,88.1,70.03,105.9,-,-,-
7,Inventory,43.31,43.88,44.37,44.91,41.95,45.74,42.87,43.46,46.9,-,-,-
8,Other Current Assets,3.52,3.99,1.64,4,3.05,1.8,1.27,2.51,1.83,-,-,-
9,Total Current Assets,2041,2021,1996,2076,2083,2093,2087,2287,2295,-,-,-
10,"Property, Plant & Equipment",220.98,198.64,194.4,170.26,160.64,119.38,99.76,88.37,89.35,-,-,-
11,Long-Term Investments,19.25,-,20.88,20.75,20.75,20.75,20.75,-,-,-,-,-
12,Other Intangible Assets,20.81,15.52,21.08,15.76,15.89,14.9,15.02,15.15,9.06,-,-,-
13,Long-Term Deferred Tax Assets,3.91,3.51,3.27,3.75,3.4,2.18,2.6,2.24,2.08,-,-,-
14,Long-Term Deferred Charges,0.02,1.47,1.41,2.21,2.92,3.6,4.42,6.07,5.75,-,-,-
15,Other Long-Term Assets,3.91,33.64,8.12,34.53,20.73,28.92,18.45,3.94,1.74,-,-,-
16,Total Assets,2310,2274,2245,2323,2307,2283,2248,2403,2403,-,-,-
17,Accounts Payable,51.58,51.34,50.33,47.95,42.19,39.8,38.83,25.41,30.78,-,-,-
18,Accrued Expenses,9,8.83,8.72,7.06,8.16,7.94,8.55,6.69,10.44,-,-,-
19,Short-Term Debt,10.11,8.44,6.25,4.55,3,3,1.39,1.83,4.54,-,-,-
20,Current Portion of Long-Term Debt,4.29,-,-,-,4.02,-,-,-,-,-,-,-
21,Current Portion of Leases,-,3.16,4.04,3.08,-,3.58,3.34,3.51,3.39,-,-,-
22,Current Income Taxes Payable,5.99,6.83,2.33,6.01,5.9,4.51,5.24,9.79,17.89,-,-,-
23,Current Unearned Revenue,0.14,0.13,0.03,0.12,0.13,0.05,0.1,0.13,0.06,-,-,-
24,Other Current Liabilities,0.62,1.51,1.65,85.73,1.69,1.31,2.21,1.67,1.64,-,-,-
25,Total Current Liabilities,81.73,80.23,73.34,154.51,65.09,60.2,59.67,49.03,68.75,-,-,-
26,Long-Term Leases,5.18,1.28,1.41,3.34,3.45,3.88,4.4,5.02,6.07,-,-,-
27,Long-Term Unearned Revenue,5.3,5.33,5.36,5.39,5.41,5.44,-,-,-,-,-,-
28,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,0.12,-,-,-,-
29,Total Liabilities,92.21,86.84,80.11,163.24,73.95,69.53,64.06,54.17,74.82,-,-,-
30,Common Stock,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,283.5,-,-,-
31,Additional Paid-In Capital,1561,1559,1559,1557,1554,1551,1548,1548,1548,-,-,-
32,Retained Earnings,392.89,362.92,340.28,328.69,395.31,378.82,351.37,516.72,497,-,-,-
33,Treasury Stock,-17.73,-17.43,-17.43,-7.78,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-1.45,-1.37,-0.94,-1.22,0.35,-0.48,0.25,0.11,-0.11,-,-,-
35,Shareholders' Equity,2218,2187,2165,2160,2233,2213,2183,2348,2328,-,-,687.83
36,Total Liabilities & Equity,2310,2274,2245,2323,2307,2283,2248,2403,2403,-,-,-
37,Total Debt,19.58,12.88,11.7,10.97,10.46,10.47,9.13,10.36,14,-,-,23.92
38,Net Cash (Debt),1885,1872,1857,1944,1946,1941,1945,2160,2127,-,-,470.49
39,Net Cash Growth,-3.14%,-3.51%,-4.55%,-10.00%,-8.47%,-,-,359.18%,-,-,-,-
40,Net Cash Per Share,6.23,6.55,7.46,6.55,6.87,6.47,6.24,7.86,8.05,-,-,2.18
41,Filing Date Shares Outstanding,302.82,282.18,282.18,282.92,283.5,283.5,283.5,283.5,283.5,210.97,209.81,215.55
42,Total Common Shares Outstanding,302.82,282.18,282.18,282.92,283.5,283.5,283.5,283.5,283.5,210.97,209.81,215.55
43,Working Capital,1959,1941,1922,1921,-,2033,2027,2238,2227,-,-,-
44,Book Value Per Share,7.32,7.75,7.67,7.63,7.88,7.81,7.70,8.28,8.21,-,-,3.23
45,Tangible Book Value,2197,2171,2144,2144,-,2198,2168,2333,2319,-,-,678.46
46,Tangible Book Value Per Share,7.26,7.69,7.60,7.58,7.82,7.75,7.65,8.23,8.18,-,-,3.19
