,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,7974,4718,4343,4470,4051,5409,4947,5154,5494,5188,-,-,-
1,Market Cap Growth,-12.78%,-12.78%,-12.22%,-13.27%,-26.26%,4.26%,-,-,-,-,-,-,-
2,Enterprise Value,6089,2846,2486,2526,2105,3469,3002,2994,3368,4718,-,-,-
3,Last Close Price,28.26,16.72,15.39,15.80,14.05,18.77,17.16,17.88,18.35,17.33,-,-,-
4,PE Ratio,97.45,57.38,62.38,60.45,42.50,55.90,43.00,39.58,37.89,30.72,-,-,-
5,Forward PE,27.71,18.27,19.00,22.41,23.82,20.97,21.02,24.57,28.93,-,-,-,-
6,PS Ratio,27.83,16.39,15.74,16.69,14.64,20.38,18.04,17.19,16.95,13.78,-,-,-
7,PB Ratio,3.86,2.13,1.99,2.07,1.88,2.42,2.24,2.36,2.34,2.23,-,-,-
8,P/TBV Ratio,2.15,2.15,2.00,2.09,1.89,-,2.25,2.38,2.35,2.24,-,-,-
9,P/FCF Ratio,1264.51,-,499.30,-163.24,-,-,-,-,35.31,33.19,-,-,-
10,P/OCF Ratio,82.02,82.02,61.70,72.00,60.81,68.10,56.28,40.09,31.80,28.03,-,-,-
11,EV/Sales Ratio,21.15,9.88,9.01,9.43,7.60,13.07,10.95,9.98,10.39,12.53,-,-,-
12,EV/EBITDA Ratio,72.86,36.56,38.05,43.67,32.58,50.84,38.69,29.46,26.27,28.61,-,-,-
13,EV/EBIT Ratio,91.48,42.75,44.41,51.77,38.13,58.67,43.63,32.14,27.85,29.87,-,-,-
14,EV/FCF Ratio,965.55,-,285.83,-92.24,-,-,-,-,21.64,30.18,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,-,-,0.03
16,Debt / EBITDA Ratio,0.23,0.17,0.11,0.25,0.26,0.17,0.12,0.14,0.18,0.14,-,-,0.12
17,Debt / FCF Ratio,3.11,-,1.48,-0.43,-,-,-,-,0.07,0.09,-,-,0.87
18,Asset Turnover,0.14,0.14,0.12,0.10,0.12,0.13,0.14,0.08,-,-,-,-,
19,Inventory Turnover,3.51,3.38,3.13,3.83,3.28,3.29,3.21,4.61,2.25,-,-,-,-
20,Quick Ratio,24.40,24.40,24.59,26.58,13.12,31.31,33.97,34.23,45.70,32.68,-,-,-
21,Current Ratio,24.97,24.97,25.19,27.21,13.44,32.00,34.76,34.97,46.64,33.39,-,-,-
22,Return on Equity (ROE),5.37%,4.16%,2.26%,3.24%,3.05%,4.91%,5.93%,3.29%,-,-,-,-,
23,Return on Assets (ROA),2.63%,3.03%,0.75%,0.88%,1.48%,2.23%,1.43%,1.26%,-,-,-,-,
24,Return on Capital (ROIC),2.72%,3.13%,0.79%,0.93%,1.52%,2.29%,1.46%,1.29%,-,-,-,-,
25,Return on Capital Employed (ROCE),2.99%,2.99%,2.55%,2.25%,2.55%,2.64%,3.10%,4.26%,5.14%,6.76%,-,-,-
26,Earnings Yield,1.03%,1.74%,1.60%,1.65%,2.35%,1.79%,2.33%,2.53%,2.64%,3.25%,-,-,-
27,FCF Yield,0.08%,0.13%,0.20%,-0.61%,-1.29%,-0.34%,0.26%,1.48%,2.83%,3.01%,-,-,-
28,Dividend Yield,1.15%,-,-,-,-,-,-,-,-,4.04%,-,-,-
29,Payout Ratio,103.69%,3.52%,-,693.60%,0.75%,1.59%,-,591.25%,0.03%,-,0.42%,0.14%,0.13%
30,Buyback Yield / Dilution,0.36%,-6.88%,4.70%,20.20%,-7.93%,-7.22%,-35.52%,-48.66%,-27.58%,-,-,-,-
31,Total Shareholder Return,1.51%,-6.88%,4.70%,20.20%,-7.93%,-7.22%,-35.52%,-48.66%,-27.58%,4.04%,-,-,-
