,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,450.28,723.22,499.97,697.28,393.68,480.01,344.51,516.16,383.37,363.2,335.54,377.26,248.98,266.96,359.34,224.14,210.26,232.53,137.64,219.28
1,Other Revenue,-3.77,3.77,-,7.92,-4.95,4.95,-,12.1,-3.85,3.85,-,-,-2.79,2.79,-,4.06,-3.32,3.32,-,4.41
2,Revenue,446.51,726.99,499.97,705.2,388.73,484.95,344.51,528.26,379.52,367.05,335.54,377.26,246.19,269.75,359.34,228.2,206.94,235.86,137.64,223.68
3,Revenue Growth (YoY),14.86%,49.91%,45.12%,33.49%,2.43%,32.12%,2.67%,40.03%,54.16%,36.07%,-6.62%,65.32%,18.96%,14.37%,161.08%,2.02%,-,-,-,-
4,Cost of Revenue,373.92,648.97,414.13,638.08,325.18,415.37,264.55,473.85,309.7,299.61,260.84,322.23,184.92,205.86,289.13,175.85,144.63,157.78,102.94,168.48
5,Gross Profit,72.58,78.02,85.84,67.12,63.55,69.58,79.97,54.41,69.82,67.44,74.7,55.04,61.26,63.89,70.2,52.36,62.31,78.08,34.69,55.21
6,"Selling, General & Admin",46.72,53.83,46.23,55.57,41.72,45.33,44.63,44.72,49.65,47.41,45.08,49.59,38.27,38.43,37.6,41.11,34.5,46.16,24.14,132.84
7,Research & Development,0.38,0.23,0.2,0.42,0.2,0.2,0.2,0.28,0.19,0.19,0.19,0.06,0.22,0.26,0.24,0.67,0.14,-0.03,0.27,0.88
8,Other Operating Expenses,3.78,3.17,3.94,3.89,2.94,-4.59,0.77,8.43,3.48,1.16,2.71,5.59,1.81,-0.83,1.95,12.39,-4.2,-1.02,1.56,-92.73
9,Operating Expenses,51.28,56.2,51.27,59.95,45.21,40.91,46.28,51.9,54.3,48.24,48.32,55.95,40.11,38.03,40.18,53.33,31.44,44.7,25.97,40.91
10,Operating Income,21.3,21.82,34.57,7.17,18.34,28.67,33.69,2.51,15.52,19.2,26.38,-0.91,21.16,25.86,30.03,-0.98,30.87,33.38,8.73,14.3
11,Interest Expense,-0.69,-0.33,-0.77,-0.45,-0.14,-0.24,-0.11,-0.28,-0.21,-0.12,-0.12,-0.17,-0.21,-0.14,-0.14,-,-,-,-0.08,-0.09
12,Interest & Investment Income,4.34,4.29,5.93,5.37,4.91,0.74,1.01,0.76,0.74,0.86,0.33,1.54,0.97,1.32,0.59,0.7,0.35,0.6,-,0.51
13,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
14,Other Non Operating Income (Expenses),1.14,-0.95,-0.84,-0.43,-1.03,-0.64,-0.82,-0.53,-0.96,-0.67,-0.67,-0.82,-0.44,-0.8,-0.66,-1.05,0.47,-1.56,-0.05,-1.41
15,EBT Excluding Unusual Items,26.09,24.83,38.89,11.67,22.08,28.54,33.77,2.46,15.09,19.28,25.91,-0.36,21.48,26.24,29.83,-1.32,31.69,32.42,8.6,13.3
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.02
17,Gain (Loss) on Sale of Assets,0.01,0.02,-0.02,0.15,0.03,0.02,0.01,0.06,-,-0.04,-,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-1.85,0.29,-0.31,0.95,-0.96,0.28,-0.29,0.38,-0.39,-0.1,0.08,0.09,-0.11,0.2,-0.21,0.89,-1.01,-0.05,-,-0.14
19,Other Unusual Items,0.01,5.09,0.49,0.88,0.18,-0.18,-,3.28,0.09,-0.09,-,12.3,-0.02,0.02,-,10.04,-,-,-,5.37
20,Pretax Income,24.26,30.23,39.05,13.65,21.33,28.66,33.48,6.18,14.79,19.04,25.99,12.03,21.35,26.47,29.61,9.6,30.68,32.37,8.6,18.52
21,Income Tax Expense,3.84,5.74,6.85,2.19,3.81,4.41,6.96,2.08,0.93,4.22,5.41,3.06,4.38,5.5,6.23,1.23,6.98,7.14,2.25,4.62
22,Earnings From Continuing Operations,20.42,24.49,32.2,11.46,17.52,24.24,26.52,4.1,13.86,14.83,20.59,8.97,16.97,20.97,23.38,8.37,23.7,25.24,6.34,13.9
23,Minority Interest in Earnings,-0.08,0.03,0.01,0.13,-0.01,0.12,0.09,0.26,0.33,0.32,-,-,-,-,-,-,-,-,-,-
24,Net Income,20.34,24.52,32.22,11.59,17.52,24.37,26.61,4.36,14.19,15.15,20.59,8.97,16.97,20.97,23.38,8.37,23.7,25.24,6.34,13.9
25,Net Income to Common,20.34,24.52,32.22,11.59,17.52,24.37,26.61,4.36,14.19,15.15,20.59,8.97,16.97,20.97,23.38,8.37,23.7,25.24,6.34,13.9
26,Net Income Growth,16.12%,0.64%,21.07%,165.99%,23.45%,60.83%,29.27%,-51.40%,-16.36%,-27.76%,-11.96%,7.16%,-28.41%,-16.90%,268.55%,-39.79%,-,-,-,-
27,Shares Outstanding (Basic),282,247,268,263,234,203,205,192,215,191,206,203,204,161,213,147,153,147,159,153
28,Shares Outstanding (Diluted),282,247,268,263,255,203,205,192,215,215,206,203,204,161,213,147,153,147,159,153
29,Shares Change (YoY),10.41%,21.77%,31.15%,37.08%,18.61%,-5.34%,-0.56%,-5.37%,5.42%,32.93%,-3.16%,37.96%,33.31%,9.50%,34.02%,-3.81%,-,-,-,-
30,EPS (Basic),0.07,0.10,0.12,0.04,0.07,0.12,0.13,0.02,0.07,0.08,0.10,0.04,0.08,0.13,0.11,0.06,0.15,0.17,0.04,0.09
31,EPS (Diluted),0.07,0.10,0.12,0.04,0.07,0.12,0.13,0.02,0.07,0.07,0.10,0.04,0.08,0.13,0.11,0.06,0.15,0.17,0.04,0.09
32,EPS Growth,5.17%,-17.35%,-7.69%,94.04%,4.08%,69.89%,30.00%,-48.64%,-20.66%,-45.65%,-9.09%,-22.32%,-46.30%,-24.11%,175.00%,-37.40%,-,-,-,-
33,Free Cash Flow,22.95,12.83,18.78,59.87,-57.92,19.41,21.81,18.34,-44.92,87.88,-33.69,12.52,-41.23,33.84,-103.21,-0.52,11.39,39.35,28.48,-5.37
34,Free Cash Flow Per Share,0.08,0.05,0.07,0.23,-0.23,0.10,0.11,0.10,-0.21,0.41,-0.16,0.06,-0.20,0.21,-0.49,-0.00,0.07,0.27,0.18,-0.04
35,Dividend Per Share,-,-,-,0.122,-,-,-,0.106,-,-,-,0.105,-,-,-,0.095,-,-,-,-
36,Dividend Growth,-,-,-,15.09%,-,-,-,0.95%,-,-,-,10.53%,-,-,-,-,-,-,-,-
37,Gross Margin,16.26%,10.73%,17.17%,9.52%,16.35%,14.35%,23.21%,10.30%,18.40%,18.37%,22.26%,14.59%,24.88%,23.69%,19.54%,22.94%,30.11%,33.10%,25.21%,24.68%
38,Operating Margin,4.77%,3.00%,6.91%,1.02%,4.72%,5.91%,9.78%,0.48%,4.09%,5.23%,7.86%,-0.24%,8.59%,9.59%,8.36%,-0.43%,14.92%,14.15%,6.34%,6.39%
39,Profit Margin,4.56%,3.37%,6.44%,1.64%,4.51%,5.02%,7.72%,0.83%,3.74%,4.13%,6.13%,2.38%,6.89%,7.77%,6.51%,3.67%,11.45%,10.70%,4.61%,6.21%
40,Free Cash Flow Margin,5.14%,1.77%,3.76%,8.49%,-14.90%,4.00%,6.33%,3.47%,-11.84%,23.94%,-10.04%,3.32%,-16.75%,12.54%,-28.72%,-0.23%,5.50%,16.68%,20.69%,-2.40%
41,EBITDA,22.32,22.9,35.59,8.19,18.91,29.92,34.27,3.09,16.03,20.03,26.9,-0.4,21.65,26.36,30.52,-0.48,31.41,34.12,9.26,14.83
42,EBITDA Margin,5.00%,3.15%,7.12%,1.16%,4.87%,6.17%,9.95%,0.58%,4.22%,5.46%,8.02%,-0.10%,8.79%,9.77%,8.49%,-0.21%,15.18%,14.46%,6.73%,6.63%
43,D&A For EBITDA,1.02,1.08,1.02,1.02,0.58,1.25,0.58,0.58,0.51,0.84,0.51,0.51,0.49,0.5,0.49,0.49,0.54,0.74,0.54,0.54
44,EBIT,21.3,21.82,34.57,7.17,18.34,28.67,33.69,2.51,15.52,19.2,26.38,-0.91,21.16,25.86,30.03,-0.98,30.87,33.38,8.73,14.3
45,EBIT Margin,4.77%,3.00%,6.91%,1.02%,4.72%,5.91%,9.78%,0.48%,4.09%,5.23%,7.86%,-0.24%,8.59%,9.59%,8.36%,-0.43%,14.92%,14.15%,6.34%,6.39%
46,Effective Tax Rate,15.84%,18.98%,17.53%,16.01%,17.85%,15.40%,20.79%,33.68%,6.28%,22.14%,20.81%,25.46%,20.53%,20.77%,21.05%,12.85%,22.76%,22.05%,26.20%,24.93%
47,Revenue as Reported,446.51,726.99,499.97,705.2,388.73,484.95,344.51,528.26,379.52,367.05,335.54,377.26,246.19,269.75,359.34,228.2,206.94,235.86,137.64,896.6
