,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,707.44,699.21,997.78,942.75,860.95,214.94,223.87,211.06,200.11,266.74,175.08,225.15,145.28,187.1,245.03,180.86,-,-,-,103.82
1,Short-Term Investments,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,230,210,-,30,-,24.8,21,13.5,12.5,13.5,14.5,-,74,74,6,-,-,-,-,-
3,Cash & Short-Term Investments,937.44,929.21,997.78,972.75,860.95,239.74,244.87,224.56,212.61,280.24,189.58,225.15,219.28,261.1,251.03,180.86,-,-,103.82,103.82
4,Cash Growth,8.88%,287.59%,307.47%,333.19%,304.95%,-14.45%,29.17%,-0.26%,-3.04%,7.33%,-24.48%,24.49%,-,-,141.79%,74.20%,-,-,-,-
5,Accounts Receivable,52.37,41.52,62.42,52.82,59.68,51.41,54.8,37.51,69.39,56.61,67.58,60.17,54.79,50.24,134.94,38.76,-,-,-,43.46
6,Other Receivables,7.85,7.83,4.56,6.26,5.23,4.62,3.99,4.24,4.48,4.14,3.82,4.08,4.17,2.39,3.5,2.69,-,-,-,2.99
7,Receivables,60.21,49.34,66.98,59.08,64.91,56.04,58.79,41.75,73.87,60.75,71.4,64.25,58.95,52.64,138.44,41.45,-,-,-,46.44
8,Inventory,547.92,554.74,548.11,518.65,539.32,464.51,463.45,447.88,468.02,446.82,475.03,441.94,426.28,381.39,362.47,337.7,-,-,-,342.47
9,Other Current Assets,29.74,34.17,32.61,36.58,47.95,47.24,45.9,53.58,12.81,7.48,3.67,5.18,4.42,7.23,17.99,10.61,-,-,-,8.92
