,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3332,2703,2334,2591,3701,3730,3175,2989,3036,2574,3280,3497,4290,3327,4025,4653,-,-,-,-,-
1,Market Cap Growth,-27.52%,-27.52%,-26.49%,-13.32%,21.92%,44.93%,-3.21%,-14.52%,-29.23%,-22.65%,-18.50%,-24.86%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2529,1853,1409,1745,2855,3505,2944,2791,2838,2329,3102,3289,4083,3076,3785,4549,-,-,-,-,-
3,Last Close Price,12.72,10.32,8.91,9.75,13.94,14.06,15.31,14.30,14.53,12.32,15.74,16.66,20.44,15.85,19.18,22.07,-,-,-,-,-
4,PE Ratio,38.39,30.49,27.19,30.23,46.22,51.20,45.67,49.56,55.93,43.70,53.19,51.81,61.04,47.74,52.67,57.67,-,-,-,-,-
5,Forward PE,33.04,27.16,25.80,24.73,36.23,32.02,36.95,32.47,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.43,1.14,1.01,1.25,1.92,2.14,1.83,1.85,1.89,1.76,2.47,2.85,3.43,3.02,3.78,4.52,-,-,-,-,-
7,PB Ratio,2.09,1.69,1.48,1.63,2.38,2.42,3.77,3.56,3.75,3.19,4.18,4.45,5.63,4.44,5.50,6.37,-,-,-,-,-
8,P/TBV Ratio,1.70,1.70,1.48,1.64,2.39,2.42,3.78,3.57,3.76,3.20,4.20,4.46,5.64,4.45,5.52,6.39,-,-,-,-,-
9,P/FCF Ratio,29.12,23.62,69.56,64.55,85.75,-,216.82,35.96,109.98,-,128.80,-,-43.74,-,-68.81,-,-,-,-,-,-
10,P/OCF Ratio,22.04,22.04,56.73,54.35,72.70,-,163.04,33.92,87.90,-,94.12,-,-142.16,-,466.54,-,-,-,-,-,-
11,EV/Sales Ratio,1.06,0.78,0.61,0.84,1.48,2.01,1.69,1.72,1.76,1.60,2.34,2.68,3.26,2.79,3.56,4.42,-,-,-,-,-
12,EV/EBITDA Ratio,27.00,20.83,16.46,18.84,31.28,40.66,35.34,38.01,42.97,37.23,45.49,44.14,-,39.41,43.10,47.61,-,-,-,-,-
13,EV/EBIT Ratio,33.38,21.84,17.20,19.66,32.49,42.12,36.62,39.35,44.61,38.70,47.12,45.37,-,40.44,44.12,48.76,-,-,-,-,-
14,EV/FCF Ratio,22.10,16.20,41.99,43.48,66.15,-,201.04,33.58,102.81,-,121.78,-,-41.62,-,-64.70,-,-,-,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.05,0.04,0.04,0.01,0.02,0.01,0.02,0.02,0.04,0.01,0.02,0.02,0.01,0.01,-,-,-,-,-
16,Debt / EBITDA Ratio,1.40,1.47,0.64,0.50,0.78,0.18,0.09,0.09,0.23,0.22,0.34,0.10,0.39,0.14,0.09,0.09,-,-,-,-,-
17,Debt / FCF Ratio,1.15,1.15,2.29,1.76,1.49,-,0.91,0.15,0.50,-,1.36,-,-0.14,-,-0.17,-,-,-,-,-,-
18,Asset Turnover,1.02,1.68,1.16,1.71,1.23,2.13,1.54,2.42,1.71,1.68,1.58,1.81,1.21,1.33,2.02,-,-,-,-,-,
19,Inventory Turnover,3.82,2.71,4.71,3.11,4.82,2.59,3.58,2.32,4.14,2.71,2.60,2.28,2.97,1.83,2.21,3.30,-,-,-,-,-
20,Quick Ratio,5.26,5.26,7.38,6.93,7.92,12.76,4.60,4.16,4.73,4.37,2.97,4.40,3.49,4.85,4.73,5.22,3.30,-,-,-,2.32
21,Current Ratio,8.31,8.31,11.82,10.71,12.18,20.85,12.55,11.14,13.63,11.69,6.94,12.46,8.89,12.36,10.60,10.32,8.47,-,-,-,7.75
22,Return on Equity (ROE),5.14%,6.19%,8.21%,2.96%,5.88%,11.54%,12.87%,2.03%,6.97%,7.55%,10.63%,4.74%,9.16%,11.47%,14.74%,-,-,-,5.34%,-,
23,Return on Assets (ROA),3.03%,3.15%,5.03%,1.08%,3.63%,7.85%,9.43%,0.72%,4.36%,5.48%,7.77%,-0.27%,6.50%,7.96%,10.56%,-,-,-,-,-,
24,Return on Capital (ROIC),3.15%,3.29%,5.28%,1.13%,3.80%,8.40%,10.06%,0.76%,4.73%,5.94%,8.39%,-0.30%,7.03%,8.72%,11.73%,-,-,-,4.59%,-,
25,Return on Capital Employed (ROCE),4.71%,5.27%,5.16%,5.57%,5.63%,5.39%,9.50%,8.42%,7.81%,7.42%,8.36%,9.19%,-,9.99%,11.56%,12.59%,-,-,-,-,3.01%
26,Earnings Yield,2.66%,3.28%,3.68%,3.31%,2.16%,1.95%,2.19%,2.02%,1.79%,2.29%,1.88%,1.93%,1.64%,2.09%,1.90%,1.73%,-,-,-,-,-
27,FCF Yield,3.43%,4.23%,1.44%,1.55%,1.17%,0.04%,0.46%,2.78%,0.91%,0.85%,0.78%,-0.82%,-2.29%,-3.34%,-1.45%,-1.14%,-,-,-,-,-
28,Dividend Yield,0.96%,-,-,-,0.88%,-,-,-,0.73%,-,-,-,0.51%,-,-,-,-,-,-,-,-
29,Payout Ratio,36.47%,0.56%,130.63%,0.05%,1.52%,-,89.45%,-,3.22%,0.47%,141.38%,-,-,-,92.41%,-,-,-,-,-,18.07%
30,Buyback Yield / Dilution,-25.36%,-10.41%,-21.77%,-31.15%,-37.08%,-18.61%,5.34%,0.56%,5.37%,-5.42%,-32.93%,3.16%,-37.96%,-33.31%,-9.50%,-34.02%,3.81%,-,-,-,-
31,Total Shareholder Return,-24.40%,-10.41%,-21.77%,-31.15%,-36.21%,-18.61%,5.34%,0.56%,6.10%,-5.42%,-32.93%,3.16%,-37.44%,-33.31%,-9.50%,-34.02%,3.81%,-,-,-,-
