,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,62970,53701,45490,44986,44180,43727,48815,26699,22317,22822,35748,Upgrade
1,Market Cap Growth,19.37%,19.37%,2.96%,2.88%,-9.49%,63.77%,118.73%,16.99%,-37.57%,-43.64%,13.83%,Upgrade
2,Enterprise Value,119624,107927,97066,97184,92922,94321,88495,64416,57866,51400,61851,Upgrade
3,Last Close Price,12.50,10.34,8.52,8.16,7.80,7.52,8.18,4.35,3.51,3.48,5.28,Upgrade
4,PE Ratio,6.44,5.49,4.96,5.24,5.55,5.82,7.18,4.03,3.71,4.19,6.60,Upgrade
5,Forward PE,5.70,5.05,4.59,4.78,5.08,5.44,6.41,3.88,3.37,3.62,5.76,Upgrade
6,PS Ratio,0.52,0.45,0.40,0.44,0.43,0.46,0.63,0.38,0.36,0.37,0.58,Upgrade
7,PB Ratio,0.97,0.69,0.61,0.65,0.65,0.66,0.74,0.41,0.38,0.44,0.70,Upgrade
8,P/TBV Ratio,0.75,0.75,0.67,0.72,0.72,0.73,0.82,0.45,0.43,0.49,0.79,Upgrade
9,P/FCF Ratio,-,-,-,-667.82,-,-,-39.43,-,-4.39,-,-,Upgrade
10,P/OCF Ratio,160.09,160.09,90.80,161.83,208.28,83.85,-88.51,-,-4.92,-,-,Upgrade
11,PEG Ratio,0.44,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.28,0.30,0.58,Upgrade
12,EV/Sales Ratio,0.99,0.90,0.85,0.94,0.91,1.00,1.14,0.91,0.93,0.83,1.00,Upgrade
13,EV/EBITDA Ratio,7.18,6.99,6.66,6.92,7.30,8.27,8.58,7.46,7.44,5.93,7.74,Upgrade
14,EV/EBIT Ratio,7.57,7.34,7.01,7.26,7.66,8.85,9.12,7.82,7.86,6.23,8.19,Upgrade
15,EV/FCF Ratio,-192.62,-,-,-1442.72,-,-,-71.49,-,-11.39,-,-,Upgrade
16,Debt / Equity Ratio,1.12,1.12,1.09,1.14,1.10,1.14,1.12,0.91,1.04,1.13,1.00,Upgrade
17,Debt / FCF Ratio,-,-,-,-1174.92,-,-,-59.89,-,-11.87,-,-,Upgrade
18,Return on Capital Employed (ROCE),10.01%,10.01%,10.33%,10.45%,9.63%,8.60%,7.68%,7.00%,6.89%,8.19%,8.36%,Upgrade
19,Earnings Yield,15.53%,18.85%,20.82%,19.76%,18.68%,18.10%,14.88%,26.34%,28.78%,25.36%,15.87%,Upgrade
20,FCF Yield,-0.99%,-1.16%,-0.46%,-0.15%,-0.34%,-0.13%,-2.54%,-4.18%,-22.76%,-28.96%,-8.97%,Upgrade
21,Dividend Yield,5.28%,5.95%,6.57%,6.31%,6.15%,5.92%,4.95%,8.97%,10.27%,9.49%,6.07%,Upgrade
22,Buyback Yield / Dilution,-,-,-,-0.00%,0.09%,0.23%,0.14%,-,-,-,Upgrade,
23,Total Shareholder Return,5.28%,5.95%,6.57%,6.31%,6.15%,6.00%,5.18%,9.11%,10.27%,9.49%,6.07%,Upgrade
