,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,154,243,281,-,-
1,Enterprise Value,194,193,283,-,-
2,Last Close Price,0.20,0.32,0.36,-,-
3,PE Ratio,2.03,3.21,4.96,-,-
4,PS Ratio,0.55,0.95,1.48,-,-
5,PB Ratio,0.48,0.76,0.87,-,-
6,P/TBV Ratio,0.76,0.76,0.87,-,-
7,EV/Sales Ratio,0.74,0.76,1.49,-,-
8,EV/EBITDA Ratio,1.74,1.93,3.83,-,-
9,EV/EBIT Ratio,1.85,2.07,4.09,-,-
10,Debt / Equity Ratio,0.61,0.61,0.61,-,0.43
11,Debt / EBITDA Ratio,1.75,1.83,1.83,-,0.46
12,Debt / FCF Ratio,-,-,-,-,5.70
13,Asset Turnover,0.43,-,-,-,
14,Quick Ratio,1.61,1.61,1.61,-,-
15,Current Ratio,1.73,1.73,1.73,-,-
16,Return on Equity (ROE),24.05%,-,-,-,
17,Return on Assets (ROA),9.97%,-,-,-,
18,Return on Capital (ROIC),12.00%,-,-,-,
19,Return on Capital Employed (ROCE),29.76%,26.38%,19.38%,-,-
20,Earnings Yield,46.35%,31.11%,20.17%,-,-
21,FCF Yield,-16.47%,-3.11%,1.40%,-,-
