,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,300.25,248.36,169.95,196.94,561.36,289.9,517.37,430.26,822.17,225.67,Upgrade
1,Short-Term Investments,352,347,367,363,292.05,-,0.1,-,165.81,-,Upgrade
2,Cash & Short-Term Investments,652.25,595.36,536.95,559.94,853.4,289.9,517.46,430.26,987.97,225.67,Upgrade
3,Cash Growth,21.47%,6.33%,-37.08%,93.15%,64.92%,-32.62%,-47.62%,90.66%,557.11%,-76.88%,Upgrade
4,Accounts Receivable,5218,4965,4830,4597,4299,3978,3767,3442,3361,3230,Upgrade
5,Receivables,5218,4965,4830,4597,4299,3978,3767,3442,3361,3230,Upgrade
6,Inventory,17.38,18.09,19.61,17.48,17.87,17.08,14.36,14.83,13.64,13.53,Upgrade
7,Other Current Assets,813.16,1033,841.22,860.98,876.88,1097,796.16,986.7,730.64,1522,Upgrade
8,Total Current Assets,6700,6611,6228,6035,6047,5382,5095,4874,5094,4991,Upgrade
9,"Property, Plant & Equipment",53.07,55.66,57.12,60.44,65.13,68.5,71.78,121.36,130.46,137.93,Upgrade
10,Long-Term Investments,311.09,312.67,460.8,459.55,455.88,706.78,717.2,797.4,824.89,830.16,Upgrade
11,Goodwill,17.17,58.33,58.33,58.33,58.33,58.33,58.33,60.22,60.22,60.22,Upgrade
12,Other Intangible Assets,1319,1378,1405,1439,1094,1087,1132,1137,993.45,805.69,Upgrade
13,Long-Term Accounts Receivable,10695,10690,10777,10753,11181,10749,10677,10389,10056,9541,Upgrade
14,Long-Term Deferred Tax Assets,80.32,84.36,81.53,75.06,90.58,96.41,86.33,81.04,98.87,90.63,Upgrade
15,Other Long-Term Assets,36.06,36.27,84.71,84.97,133.15,132.86,184.95,186.43,247.02,241.33,Upgrade
16,Total Assets,19213,19227,19152,18966,19125,18281,18022,17646,17504,16698,Upgrade
17,Accounts Payable,1966,2013,2068,2260,2272,2057,1999,2058,1905,1779,Upgrade
18,Short-Term Debt,1840,1689,1545,1728,2149,1496,1245,1024,1940,2254,Upgrade
19,Current Portion of Long-Term Debt,1616,1811,1510,1152,1342,1702,1259,1237,1285,1874,Upgrade
20,Current Portion of Leases,0.65,1.11,0.22,0.27,0.34,0.34,0.34,0.31,0.4,1.99,Upgrade
21,Current Income Taxes Payable,81.48,79.36,59.68,59.4,44.92,58.49,39.63,41.96,27.27,30.83,Upgrade
22,Current Unearned Revenue,-,-,0.97,1.93,4.48,7.03,7.03,1.26,1.26,-,Upgrade
23,Other Current Liabilities,120.71,177.29,259.05,257.08,234.13,247.19,255.27,217.12,212.41,342.12,Upgrade
24,Total Current Liabilities,5625,5771,5443,5458,6046,5567,4805,4580,5371,6282,Upgrade
25,Long-Term Debt,6463,6414,6718,6640,6340,6270,6947,7009,6311,4978,Upgrade
26,Long-Term Leases,1.45,1.5,1.92,1.7,1.81,1.88,1.82,1.93,1.6,1.95,Upgrade
27,Long-Term Unearned Revenue,-,-,-,-,0.97,1.93,5.44,1.26,1.89,-,Upgrade
28,Long-Term Deferred Tax Liabilities,1183,1159,1130,1094,1059,1002,959.49,910.26,894.55,820.57,Upgrade
29,Other Long-Term Liabilities,29.07,30.83,30.24,31.09,29.6,31.05,28.26,24.82,23.45,22.07,Upgrade
30,Total Liabilities,13302,13377,13323,13225,13478,12874,12747,12528,12603,12104,Upgrade
31,Common Stock,17.13,17.13,17.13,17.13,17.13,17.13,17.13,17.13,17.13,16.14,Upgrade
32,Additional Paid-In Capital,1717,1717,1717,1717,1717,1717,1717,1717,1717,1644,Upgrade
33,Retained Earnings,3763,3655,3612,3530,3496,3294,3118,2882,2636,2411,Upgrade
34,Comprehensive Income & Other,333.25,322.44,342.23,338.83,278.48,241.08,247.83,302.56,324.13,324.13,Upgrade
35,Total Common Equity,5831,5712,5689,5603,5509,5270,5101,4919,4695,4395,Upgrade
36,Minority Interest,79.5,138.24,140.09,137.17,137.99,137.62,173.88,199.47,205.75,199.05,Upgrade
37,Shareholders' Equity,5911,5850,5829,5741,5647,5408,5275,5118,4901,4594,Upgrade
38,Total Liabilities & Equity,19213,19227,19152,18966,19125,18281,18022,17646,17504,16698,Upgrade
39,Total Debt,9921,9917,9775,9522,9832,9470,9453,9273,9537,9109,Upgrade
40,Net Cash (Debt),-9269,-9322,-9238,-8962,-8979,-9180,-8936,-8843,-8549,-8884,Upgrade
41,Net Cash Per Share,-4.33,-4.36,-4.32,-4.19,-4.20,-4.29,-4.18,-4.13,-4.15,-4.40,Upgrade
42,Filing Date Shares Outstanding,2140,2140,2140,2140,2140,2140,2140,2140,2061,2032,Upgrade
43,Total Common Shares Outstanding,2140,2140,2140,2140,2140,2140,2140,2140,2061,2032,Upgrade
44,Working Capital,1075,839.98,784.07,576.91,0.44,-185.44,289.18,293.82,-277.51,-1291,Upgrade
45,Book Value Per Share,2.73,2.67,2.66,2.62,2.57,2.46,2.38,2.30,2.28,2.16,Upgrade
46,Tangible Book Value,4495,4275,4225,4106,4357,4125,3911,3722,3641,3529,Upgrade
47,Tangible Book Value Per Share,2.10,2.00,1.97,1.92,2.04,1.93,1.83,1.74,1.77,1.74,Upgrade
48,Buildings,-,85.87,-,85.87,-,85.87,-,101.21,-,105.82,Upgrade
49,Machinery,-,60.18,-,60.05,-,60.86,-,85.49,-,85.62,Upgrade
50,Construction In Progress,-,0.73,-,0.73,-,1.9,-,19.4,-,20.28,Upgrade
