,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,653,469,588,845,1241,1498,1690,1476,1434,1648,1585,Upgrade
1,Market Cap Growth,-44.56%,-44.56%,-52.59%,-43.57%,-26.58%,1.45%,17.91%,-10.39%,-9.57%,-11.88%,20.00%,Upgrade
2,Enterprise Value,10698,10890,10722,11132,11920,12935,12646,12215,11039,11808,11910,Upgrade
3,Last Close Price,0.30,0.22,0.28,0.40,0.58,0.70,0.79,0.69,0.67,0.77,0.78,Upgrade
4,PE Ratio,4.01,2.88,4.28,6.78,4.66,3.38,3.34,2.55,2.57,3.59,3.76,Upgrade
5,Forward PE,-,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,Upgrade
6,PS Ratio,0.27,0.19,0.24,0.34,0.38,0.41,0.47,0.40,0.36,0.48,0.50,Upgrade
7,PB Ratio,0.10,0.07,0.09,0.13,0.19,0.23,0.25,0.23,0.24,0.31,0.31,Upgrade
8,P/TBV Ratio,0.10,0.10,0.12,0.19,0.27,0.29,0.33,0.31,0.32,0.41,0.40,Upgrade
9,P/FCF Ratio,1.37,0.99,1.83,3.28,2.98,2.99,4.32,4.00,4.98,-,12.74,Upgrade
10,P/OCF Ratio,0.98,0.98,1.82,3.28,2.98,2.98,4.30,3.99,4.95,-,12.32,Upgrade
11,PEG Ratio,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,Upgrade
12,EV/Sales Ratio,4.45,4.53,4.39,4.42,3.64,3.56,3.53,3.30,2.79,3.44,3.78,Upgrade
13,EV/EBITDA Ratio,11.52,11.77,11.48,11.55,10.32,9.98,9.45,8.94,8.15,10.71,11.32,Upgrade
14,EV/EBIT Ratio,13.23,13.48,12.90,12.93,11.27,10.72,10.12,9.57,8.68,11.40,12.05,Upgrade
15,EV/FCF Ratio,22.50,22.90,33.31,43.23,28.66,25.82,32.29,33.09,38.33,-,95.75,Upgrade
16,Debt / Equity Ratio,1.68,1.68,1.70,1.68,1.66,1.74,1.75,1.79,1.81,1.95,1.98,Upgrade
17,Debt / FCF Ratio,22.42,22.42,33.94,41.02,25.88,22.99,29.68,30.80,38.24,-,81.92,Upgrade
18,Return on Capital Employed (ROCE),5.53%,5.53%,5.61%,5.81%,6.93%,7.87%,8.01%,8.03%,8.19%,7.78%,8.48%,Upgrade
19,Earnings Yield,24.95%,34.75%,23.36%,14.76%,21.47%,29.56%,29.97%,39.27%,38.97%,27.87%,26.59%,Upgrade
20,FCF Yield,72.87%,101.48%,54.71%,30.47%,33.52%,33.44%,23.17%,25.00%,20.09%,15.82%,7.85%,Upgrade
21,Buyback Yield / Dilution,-,-,-,-,-,0.03%,-3.80%,-5.89%,-0.82%,0.54%,Upgrade,
22,Total Shareholder Return,-,-,-,-,-,0.03%,-3.80%,-5.89%,-0.82%,0.54%,Upgrade,
