,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,42986,22093,16146,15301,16843,29189,26118,31509,31921,25387,26579,29093,29285,-,-,-,-,-,-
1,Market Cap Growth,-24.31%,-24.31%,-38.18%,-51.44%,-47.24%,14.98%,-1.73%,8.31%,9.00%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,39591,18698,12682,11197,12437,24646,20969,25685,25597,19063,20176,22462,29295,-,-,-,-,-,-
3,Last Close Price,105.81,54.09,39.53,37.46,41.15,70.44,63.03,75.39,76.31,60.69,63.54,69.55,70.01,-,-,-,-,-,-
4,PS Ratio,12.70,6.53,4.90,4.78,5.57,11.23,10.88,14.89,16.03,11.86,11.62,12.45,12.90,-,-,-,-,-,-
5,PB Ratio,7.40,3.76,2.75,2.53,2.71,4.59,4.03,4.57,4.40,3.40,3.52,3.82,3.83,-,-,-,-,-,-
6,P/TBV Ratio,3.99,3.99,2.92,2.70,2.83,4.80,4.22,4.79,4.61,3.56,3.70,4.00,4.02,-,-,-,-,-,-
7,P/FCF Ratio,-,-,-23.77,-,-,-,-,-,-,-,-,-,-56.31,-,-,-,-,-,-
8,P/OCF Ratio,-,-,-39.11,-,-,-,-,-,-,-,-,-,-90.04,-,-,-,-,-,-
9,EV/Sales Ratio,11.69,5.52,3.85,3.50,4.12,9.48,8.73,12.13,12.86,8.91,8.82,9.61,12.90,-,-,-,-,-,-
10,EV/EBITDA Ratio,48.24,22.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,60.45,28.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/FCF Ratio,-,-,-18.67,-,-,-,-,-,-,-,-,-,-56.33,-,-,-,-,-,-
13,Debt / Equity Ratio,0.02,0.02,0.02,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.44,0.28,0.06,-,-,-
14,Debt / EBITDA Ratio,0.18,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / FCF Ratio,-,-,-0.22,-,-,-,-,-,-,-,-,-,-0.57,-0.57,-,-,-,-,-
16,Asset Turnover,-,0.52,0.47,0.46,0.41,0.42,0.33,0.20,0.27,0.24,0.24,0.40,1.21,1.03,-,-,0.63,-,
17,Inventory Turnover,-,-,2.05,1.96,1.78,1.71,1.67,1.64,1.01,1.41,1.13,1.56,1.59,2.28,1.95,-,-,2.30,-
18,Quick Ratio,-,-,5.20,5.38,5.95,5.95,6.12,8.55,8.23,9.40,9.03,9.75,7.41,0.67,0.68,1.04,-,2.30,3.14
19,Current Ratio,-,-,7.29,7.41,7.91,8.02,8.04,10.75,10.07,11.32,10.74,11.63,8.56,1.60,1.90,2.52,-,3.60,5.01
20,Return on Equity (ROE),-18.68%,-9.92%,-9.10%,-7.97%,-4.95%,-5.40%,-7.93%,-10.63%,-3.49%,-5.17%,-2.93%,-2.94%,-35.50%,-34.91%,-,-,-46.57%,-,
21,Return on Assets (ROA),-,-3.34%,-5.22%,-5.58%,-5.88%,-2.35%,-6.50%,-7.08%,-4.86%,-2.81%,-3.42%,-1.99%,-13.89%,-12.65%,-,-,-22.41%,-,
22,Return on Capital (ROIC),43.78%,-3.72%,-5.81%,-6.31%,-6.70%,-2.63%,-7.23%,-7.87%,-5.37%,-3.09%,-3.76%,-2.33%,-20.09%,-18.07%,-,-,-29.28%,-,
23,Earnings Yield,-1.60%,-3.11%,-3.05%,-2.84%,-2.58%,-1.73%,-1.88%,-1.58%,-1.30%,-0.99%,-1.10%,-1.05%,-1.50%,-,-,-,-,-,-
24,FCF Yield,-,-4.21%,-5.44%,-4.73%,-2.74%,-3.42%,-2.78%,-2.52%,-1.86%,-1.01%,-1.78%,-1.78%,-,-,-,-,-,-,
25,Buyback Yield / Dilution,1.99%,3.93%,-2.21%,15.23%,-13.57%,-1.97%,-0.11%,-11.13%,11.84%,-8.66%,-7.04%,-15.35%,-8.22%,0.26%,-17.17%,-,-,-,-
26,Total Shareholder Return,1.99%,3.93%,-2.21%,15.23%,-13.57%,-1.97%,-0.11%,-11.13%,11.84%,-8.66%,-7.04%,-15.35%,-8.22%,0.26%,-17.17%,-,-,-,-
