,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,-,2329,2479,2437,2549,2228,2707,3144,2078,1659,2403,4176,518.84,341.62,455.6,-,778.12,997.24
1,Short-Term Investments,-,-,10.82,-,-,-,10.47,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,1213,1213,1805,1905,2366,2488,2728,4070,4738,4098,2750,-,-,-,-,200,100
3,Cash & Short-Term Investments,3542,3542,3703,4242,4453,4594,5205,5872,6147,6397,6501,6926,518.84,341.62,455.6,-,978.12,1097
4,Cash Growth,-20.46%,-22.91%,-28.85%,-27.75%,-27.56%,-28.18%,-19.94%,-15.22%,1084.81%,1772.59%,1327.01%,-,-46.96%,-68.87%,-,-,-,-
5,Accounts Receivable,-,448.16,435.84,446.76,273.17,402.1,299.36,265.47,222.96,171.31,119.75,151.69,247.86,228.02,154.73,-,163.78,79.41
6,Other Receivables,-,14.69,14.18,20.28,15.43,0.91,4.63,0.74,0.7,0.59,0.66,0.93,0.44,0.36,1.07,-,6.81,0.55
7,Receivables,-,462.85,450.02,467.04,288.6,403.01,303.98,266.21,223.66,171.9,120.41,152.62,248.3,228.38,155.8,-,170.59,79.96
8,Inventory,-,1291,1289,1365,1480,1401,1292,1247,1183,1092,961.57,882.41,854.48,830.68,648.42,-,510.36,588.8
9,Other Current Assets,-,315.19,282.78,190.15,175.25,168.67,125.35,121.6,115.88,150.63,317.38,209.74,200.76,199.15,215.11,-,141.72,114.9
10,Total Current Assets,-,5610,5725,6264,6397,6567,6926,7506,7670,7812,7901,8171,1822,1600,1475,-,1801,1881
11,"Property, Plant & Equipment",-,157.24,166.66,158.26,171.64,177.88,184.78,176.91,182.35,170.95,166.17,164.05,164.51,159.9,160.03,-,82.7,78.28
12,Long-Term Investments,-,237.22,622.65,136.56,152.39,366.55,234.08,101.91,22.91,6,-,-,-,-,-,-,-,-
13,Goodwill,-,16.24,16.24,16.24,16.24,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,-,17.11,17.11
14,Other Intangible Assets,-,320.13,363.23,250.46,261.03,274.22,298.96,314.69,314.68,340.18,330.99,344.97,368.36,356.74,373.11,-,389.24,401.59
15,Long-Term Accounts Receivable,-,-,1.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Long-Term Deferred Tax Assets,-,1.7,1.66,2.62,2.62,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Long-Term Deferred Charges,-,16.85,19,21.31,19.81,21.39,22.22,24.72,21.1,21.67,14.6,13.58,14.39,13.6,13.28,-,4.81,4.04
18,Other Long-Term Assets,-,410.88,20.9,283.36,277.75,20.37,23.13,19.45,94.79,29.08,19.59,34.14,35.27,89.84,28.98,-,29.64,26.54
19,Total Assets,-,6771,6937,7133,7299,7445,7706,8161,8323,8397,8449,8745,2422,2237,2067,-,2324,2408
20,Accounts Payable,-,179.89,153.78,130.83,65.39,183.21,49.3,112.15,29.92,154.67,70.01,167.95,72.1,107.58,52.15,-,37.39,25.32
21,Accrued Expenses,-,99.81,219.17,204.87,418.65,146.9,286.27,211.19,335.65,134.59,309.55,226.22,395.44,244.7,240.99,-,270.78,175.08
22,Short-Term Debt,-,100.68,197.39,97.35,-,-,-,-,-,33.02,49.95,250.16,446.65,295.23,31.5,-,-,-
23,Current Portion of Leases,-,25.92,25.97,27.64,27.91,27.83,27.74,21.72,22.16,20.81,21.56,21.21,21.43,18.87,18.8,-,-,-
24,Current Income Taxes Payable,-,45.86,20,15.92,1.17,39.79,18.45,15.83,6.47,10.75,0.44,6.56,0.64,0.08,0.11,-,0.04,-
25,Current Unearned Revenue,-,112.73,106.26,130.99,219.51,217.88,203.27,236.44,192.36,238.29,153.69,143.56,137.57,119.88,131.08,-,110.2,99
26,Other Current Liabilities,-,205,49.78,183.99,64.81,200.84,59.02,148.4,90.87,135.5,74.29,139.2,64.33,56.43,110.6,-,81.74,75.95
27,Total Current Liabilities,-,769.88,772.36,791.59,797.44,816.44,644.05,745.73,677.43,727.63,679.5,954.87,1138,842.77,585.23,-,500.14,375.36
28,Long-Term Leases,-,19.55,15.64,13.23,19.7,23.77,27.94,26.55,31.98,19.92,27.21,23.7,27.91,37.41,35.18,-,-,-
29,Long-Term Unearned Revenue,-,89.93,87.88,88.93,104.54,100.94,101.33,101.58,106.05,75.33,98.55,89.79,90.51,76.67,76.34,-,75.13,75.32
30,Long-Term Deferred Tax Liabilities,-,14.97,16.69,21.03,20.13,21.85,23.57,25.29,27.01,28.73,30.45,32.18,33.92,36.17,37.95,-,41.49,43.27
31,Other Long-Term Liabilities,-,1.49,0.64,0.86,1.18,0.56,8.6,8.38,8.36,0.29,-,0.22,0.17,-,-,-,0.06,-
