,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Operating Revenue,846.1,884.66,824.85,830.13,755.24,787.84,648,408.25,556.98,502.87,522.68,557.47,703.23,553.11,455.46,424,374.23,249.38
1,Other Revenue,-,-0.21,0.21,-,0.58,-0.56,0.56,-,0.19,-0.04,0.04,-,1.1,-,-,-,-,-
2,Revenue,846.1,884.45,825.05,830.13,755.82,787.28,648.56,408.25,557.17,502.83,522.72,557.47,704.33,553.11,455.46,424,374.23,249.38
3,Revenue Growth (YoY),11.94%,12.34%,27.21%,103.34%,35.65%,56.57%,24.07%,-26.77%,-20.89%,-9.09%,14.77%,31.48%,88.21%,121.79%,-,-,-,-
4,Cost of Revenue,-1944,659.5,651.72,632.64,616.12,561.84,519.41,308.07,400.09,290.7,358.48,345.68,480.99,359.86,367,354.93,315.61,166.23
5,Gross Profit,2790,224.95,173.33,197.49,139.7,225.45,129.15,100.18,157.08,212.14,164.24,211.79,223.34,193.24,88.45,69.07,58.61,83.16
6,"Selling, General & Admin",-122.53,38.3,43.22,41.02,31.04,43.06,43.67,41.47,47.4,41.96,33.02,35.77,45.21,33.06,28.33,29.61,26.06,427.21
7,Research & Development,-904.54,309.57,278.49,316.48,264.35,258.28,297.7,295.45,263.54,265.87,253.48,222.75,299.42,272.84,227.99,228.18,243.44,1535
8,Other Operating Expenses,2763,-31.35,-1.5,0.51,17.03,-4.33,-4.38,-5.22,8.44,-1.23,-4.44,-1.71,8.34,-4.26,-0.56,-3.09,0.82,0.18
9,Operating Expenses,1736,316.46,320.24,358.58,312.96,296.54,335.36,333.73,319.76,306.79,282.02,256.31,352.8,302.18,255.52,254.97,270.74,1962
10,Operating Income,1054,-91.51,-146.9,-161.08,-173.26,-71.09,-206.21,-233.55,-162.68,-94.65,-117.78,-44.52,-129.46,-108.93,-167.07,-185.9,-212.13,-1879
11,Interest Expense,-53.33,-2.08,-1.55,-0.49,-0.47,-0.62,-0.28,-1.01,-0.86,-0.83,-0.86,-5.25,-3.42,-1.56,-0.66,-0.75,-,-
12,Interest & Investment Income,4.12,21.81,12.97,18.54,18.9,20.83,28.32,27.23,40.47,38.07,42.41,21.08,2.16,0.74,1.77,4.27,2.69,3.5
13,Currency Exchange Gain (Loss),-,-3.3,3.3,-,2.98,-13.08,13.08,-,3.72,-5.26,5.26,-,-4.58,1.77,-1.77,-,-3.65,1.44
14,Other Non Operating Income (Expenses),-1302,-7.51,-1.66,1.54,-9.15,32.99,2.42,-1.1,-9.11,8.8,1.06,-1.05,25.9,-25.69,0.05,-0.46,-0.19,0.06
15,EBT Excluding Unusual Items,-296.39,-82.58,-133.84,-141.49,-161.01,-30.97,-162.67,-208.42,-128.48,-53.87,-69.9,-29.74,-109.4,-133.68,-167.67,-182.84,-213.27,-1874
16,Impairment of Goodwill,-,-,-,-,-0.87,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-15.33,3.8,2.22,9.32,15.67,7.54,5.63,11.6,4.63,4.89,8.01,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0.05,-0.08,0.04,-,-0.83,0.08,-,-,-0.07,-,-0.25,0.25,-0.67,-,-0.09,-,-0.01,-
19,Asset Writedown,41.63,-41.63,2.04,-2.04,32.36,-32.58,-2.35,2.35,50.49,-50.52,4.52,-4.52,4.22,-4.72,1.53,-1.53,-,-
20,Legal Settlements,-,-,-,-,24.41,-24.41,24.41,-,-,-,-,-,-24.41,24.41,-24.41,-,-,-
21,Other Unusual Items,-0.45,-16.14,-0.61,17.2,13.4,-,-,-,16.25,-,-,-,24.03,-,-,-,1.35,6.85
22,Pretax Income,-270.49,-136.65,-130.16,-117.01,-76.86,-80.34,-134.98,-194.47,-57.17,-99.5,-57.62,-34.02,-106.23,-113.99,-190.63,-184.37,-211.93,-1867
23,Income Tax Expense,3.81,11.11,9.26,8.28,2.63,10.01,5.27,1.25,8.25,-1.54,-1.79,-1.73,-0.81,-1.56,-1.85,-1.62,-1.06,-2.19
