,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q3 2019,Q4 2018,Q3 2018,+5 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+5 Quarters
0,Cash & Equivalents,24354,24354,22987,3641,3595,3738,7899,-,4650,-,15949,73038,29872,29872,-,-,42424,32662,47009,-,Upgrade
1,Short-Term Investments,75734,75734,61285,46780,107680,91680,74530,-,49685,-,35935,61329,61921,61921,-,-,46830,46830,43185,-,Upgrade
2,Cash & Short-Term Investments,100088,100088,84271,50421,111275,95418,82429,-,54335,-,51884,134367,91793,91793,-,-,89254,79492,90194,-,Upgrade
3,Cash Growth,-10.05%,4.89%,2.23%,-,104.79%,-,58.87%,-,-40.81%,-,-,-,2.84%,15.47%,-,-,499.57%,265.11%,-,-,Upgrade
4,Accounts Receivable,325827,325827,107797,70291,126505,91417,88326,-,125465,-,89220,73444,99323,99323,-,-,160144,102337,114816,-,Upgrade
5,Other Receivables,4506,4506,13859,7639,6773,9011,7630,-,4737,-,6515,6604,2965,2965,-,-,33835,18960,6467,-,Upgrade
6,Receivables,330334,330334,121655,77930,133277,100428,95956,-,130202,-,95734,80048,102288,102288,-,-,193979,121297,121283,-,Upgrade
7,Inventory,122317,122317,146706,108020,88578,197477,242459,-,235466,-,425202,397990,344969,344969,-,-,109570,146206,110083,-,Upgrade
8,Prepaid Expenses,1172,1172,512.5,424.45,320.14,660.54,586.38,-,1214,-,2058,2891,3772,3772,-,-,2436,2622,1690,-,Upgrade
9,Other Current Assets,25083,25083,50982,18125,28646,40173,108314,-,156491,-,141671,85889,76488,76488,-,-,18873,42752,54319,-,Upgrade
10,Total Current Assets,578994,578994,404127,254919,362096,434157,529745,-,577707,-,716550,701185,619309,619309,-,-,414112,392368,377569,-,Upgrade
11,"Property, Plant & Equipment",117355,117355,90353,89194,82141,83308,72665,-,75954,-,79618,81371,83421,83421,-,-,79861,62762,54362,-,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,-,-,1000,-,1000,1000,1000,1000,-,-,1000,1000,1000,-,Upgrade
13,Other Intangible Assets,97.05,97.05,137.3,157.42,177.55,197.67,266.44,-,137.56,-,273.34,341.22,409.11,409.11,-,-,681.05,726.62,1317,-,Upgrade
14,Long-Term Accounts Receivable,4943,4943,93354,98274,129514,120659,241506,-,217755,-,-,-,14826,14826,-,-,-,67.81,-,-,Upgrade
15,Long-Term Deferred Tax Assets,2724,2724,1031,1031,1350,1280,1149,-,1355,-,482.54,482.54,482.54,482.54,-,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,5117,5117,5839,6386,6793,4293,5077,-,6880,-,37554,23892,8446,8446,-,-,19414,13866,14080,-,Upgrade
17,Total Assets,709230,709230,594842,449962,582071,643895,850408,-,880790,-,835477,808272,727894,727894,-,-,515067,470791,448329,-,Upgrade
18,Accounts Payable,207689,207689,68333,56841,178536,185613,202549,-,229649,-,177356,130766,115335,115335,-,-,99896,98570,99200,-,Upgrade
19,Accrued Expenses,30995,30995,9759,14768,29417,8293,8204,-,25223,-,8302,7501,17592,17592,-,-,26672,4107,15044,-,Upgrade
20,Short-Term Debt,66288,66288,55524,39207,30515,93018,209661,-,181138,-,248991,204436,87458,87458,-,-,77991,43197,87218,-,Upgrade
21,Current Income Taxes Payable,10979,10979,1530,761.09,16565,15255,3547,-,9660,-,3429,649.34,4012,4012,-,-,6226,2785,7664,-,Upgrade
22,Other Current Liabilities,70794,70794,159957,39252,28815,37555,87646,-,78200,-,85734,99109,81850,81850,-,-,39385,85454,75761,-,Upgrade
23,Total Current Liabilities,386746,386746,295104,150829,283847,339734,511608,-,523871,-,523813,442462,306247,306247,-,-,250171,234113,284888,-,Upgrade
24,Other Long-Term Liabilities,18199,18199,9665,9665,11819,34666,69826,-,97635,-,67922,131212,188885,188885,-,-,41918,28942,25355,-,Upgrade
25,Total Liabilities,404945,404945,304769,160495,295666,374400,581434,-,621505,-,591735,573674,495132,495132,-,-,292089,263055,310243,-,Upgrade
26,Common Stock,136800,136800,136800,136800,136800,136800,136800,-,136800,-,136800,136800,136800,136800,-,-,136800,136800,86000,-,Upgrade
27,Additional Paid-In Capital,31380,31380,31380,31380,31380,31380,31380,-,31380,-,31380,31380,31380,31380,-,-,31380,31545,18583,-,Upgrade
28,Retained Earnings,136105,136105,121893,121287,118224,101314,100793,-,89995,-,75238,64126,62130,62130,-,-,53394,39175,33511,-,Upgrade
29,Comprehensive Income & Other,-,-,-,-,-,-,-,-,1109,-,323.45,2292,2452,2452,-,-,1404,216.53,-8.07,-,Upgrade
30,Shareholders' Equity,304285,304285,290073,289467,286405,269494,268974,-,259284,-,243742,234598,232762,232762,-,-,222978,207737,138086,-,Upgrade
31,Total Liabilities & Equity,709230,709230,594842,449962,582071,643895,850408,-,880790,-,835477,808272,727894,727894,-,-,515067,470791,448329,-,Upgrade
32,Total Debt,66288,66288,55524,39207,30515,93018,209661,-,181138,-,248991,204436,87458,87458,-,-,77991,43197,87218,-,Upgrade
33,Net Cash (Debt),33800,33800,28747,11214,80760,2400,-127232,-,-126802,-,-197107,-70069,4335,4335,-,-,11263,36295,2976,-,Upgrade
34,Net Cash Growth,-58.15%,1308.11%,-,-,-,-,-,-,-,-,-,-,-61.51%,-88.06%,-,-,-,-,-,-,Upgrade
35,Net Cash Per Share,2470.75,2470.75,2099.77,820.26,5905.57,175.46,-9297.12,-,-9268.23,-,-14402.77,-5127.37,284.21,284.21,-,-,822.10,2711.60,346.03,-,Upgrade
36,Filing Date Shares Outstanding,13.68,13.68,13.69,13.67,13.68,13.68,13.69,13.72,13.68,13.68,13.69,13.67,15.25,15.25,13.69,13.61,13.7,13.38,8.6,8.6,Upgrade
37,Total Common Shares Outstanding,13.68,13.68,13.69,13.67,13.68,13.68,13.69,13.72,13.68,13.68,13.69,13.67,15.25,15.25,13.69,13.61,13.7,13.38,8.6,8.6,Upgrade
38,Working Capital,192248,192248,109024,104090,78249,94423,18136,-,53836,-,192737,258723,313062,313062,-,-,163941,158255,92682,-,Upgrade
39,Book Value Per Share,22243.06,22243.06,21187.88,21174.08,20943.31,19698.91,19654.54,-,18951.05,-,17810.38,17166.87,15260.00,15260.00,-,-,16275.73,15520.15,16055.18,-,Upgrade
40,Tangible Book Value,304188,304188,289936,289310,286227,269297,268707,-,259147,-,243469,234257,232353,232353,-,-,222297,207010,136769,-,Upgrade
41,Tangible Book Value Per Share,22235.97,22235.97,21177.85,21162.56,20930.33,19684.46,19635.07,-,18940.99,-,17790.41,17141.90,15233.17,15233.17,-,-,16226.02,15465.87,15902.09,-,Upgrade
42,Buildings,142323,142323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
43,Machinery,116309,116309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
44,Construction In Progress,104.98,104.98,84,9406,15496,14406,1423,-,597.1,-,96.4,-,149.15,149.15,-,-,17237,698.68,1555,-,Upgrade
