,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2019,Q3 2019,Q4 2018,Q3 2018,+5 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+5 Quarters
0,Market Capitalization,351576,265392,287280,307800,313272,253080,291384,290016,259920,192888,266760,337896,342000,361152,417240,424080,415872,451440,437760,283800,266600,Upgrade
1,Market Cap Growth,4.86%,4.86%,-1.41%,6.13%,20.53%,31.21%,9.23%,-14.17%,-24.00%,-46.59%,-36.07%,-20.32%,-17.76%,-20.00%,-4.69%,49.43%,55.99%,395.89%,666.59%,599.83%,507.80%,Upgrade
2,Enterprise Value,317776,236645,258533,296586,232512,250680,418616,460293,386722,437718,463867,407965,330737,349889,405977,412817,404609,415145,497532,343572,326372,Upgrade
3,Last Close Price,25700.00,19400.00,21000.00,20560.34,20925.86,16905.17,19463.79,17995.23,16127.80,11968.52,16552.21,19666.58,19905.45,21020.15,24284.65,23448.62,22994.78,24129.39,22689.16,18968.64,16887.72,Upgrade
4,PE Ratio,7.43,5.61,6.60,7.04,5.98,4.98,4.82,6.03,5.28,3.87,8.01,9.64,12.81,14.04,14.06,15.26,12.43,10.18,13.47,11.06,14.84,Upgrade
5,PS Ratio,0.51,0.39,0.39,0.38,0.33,0.26,0.26,0.31,0.28,0.19,0.34,0.39,0.46,0.59,0.63,0.70,0.57,0.40,0.48,0.36,0.44,Upgrade
6,PB Ratio,1.16,0.87,0.94,1.06,1.08,0.88,1.08,1.08,-,0.74,-,1.39,1.46,1.55,1.79,-,-,2.02,2.11,2.06,-,Upgrade
7,P/TBV Ratio,0.87,0.87,0.94,1.06,1.08,0.88,1.08,1.08,-,0.74,-,1.39,1.46,1.55,1.80,-,-,2.03,2.11,2.08,-,Upgrade
8,P/FCF Ratio,-,-10.78,7.33,1.78,-,1.39,1.31,-,-,-1.69,-,-,-,27.09,-4.16,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,10.77,10.77,3.51,1.51,-,1.32,1.27,-,-,-1.79,-,-,-,14.42,-4.88,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,0.46,0.35,0.35,0.36,0.24,0.25,0.37,0.50,0.41,0.43,0.59,0.47,0.44,0.57,0.62,0.69,0.55,0.37,0.55,0.44,0.54,Upgrade
11,EV/EBITDA Ratio,4.52,3.37,3.82,4.13,2.70,2.89,4.17,5.49,4.61,5.33,7.80,6.80,6.66,6.79,7.54,8.67,7.63,9.15,19.11,22.51,-,Upgrade
12,EV/EBIT Ratio,5.39,4.02,4.53,4.81,3.04,3.27,4.65,6.26,5.27,6.11,9.49,8.25,8.43,8.48,9.19,10.77,9.14,7.42,11.64,9.25,11.76,Upgrade
13,EV/FCF Ratio,-12.91,-9.61,6.60,1.72,-,1.38,1.89,-,-,-3.84,-,-,-,26.25,-4.05,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.22,0.22,0.22,0.19,0.14,0.11,0.35,0.78,-,0.70,-,1.02,0.87,0.38,0.38,-,-,0.35,0.21,0.63,-,Upgrade
15,Debt / EBITDA Ratio,0.94,0.58,0.58,2.41,1.38,0.29,0.71,2.60,-,1.14,-,3.08,8.76,1.29,1.29,-,-,1.01,1.00,1.43,-,Upgrade
16,Debt / FCF Ratio,-,-2.69,1.69,0.32,-,0.17,0.42,-,-,-1.59,-,-,-,6.56,-0.87,-,-,-,-,-,-,Upgrade
