,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,7049,4840,4977,4311,5858,8365,7923,7991,-,-,-,-,-
1,Market Cap Growth,-42.14%,-42.14%,-37.18%,-46.06%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5123,2914,2977,2187,3599,6107,5637,7987,-,-,-,-,-
3,Last Close Price,79.66,54.70,56.14,48.55,65.20,93.10,88.17,88.94,-,-,-,-,-
4,PE Ratio,169.49,116.44,-,-,-,145.54,-,-,-,-,-,-,-
5,Forward PE,70.19,51.78,56.62,50.93,60.99,95.41,95.93,-,-,-,-,-,-
6,PS Ratio,18.48,12.70,14.18,12.29,16.97,26.11,28.09,29.20,-,-,-,-,-
7,PB Ratio,2.56,1.75,1.79,1.55,2.04,2.86,2.83,2.85,-,-,-,-,-
8,P/TBV Ratio,1.82,1.82,1.88,1.62,2.13,3.00,2.87,2.89,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-90.97,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-146.36,-229.43,-,-,-,-,-,-
11,EV/Sales Ratio,13.44,7.64,8.48,6.24,10.43,19.06,19.99,29.18,-,-,-,-,-
12,EV/EBITDA Ratio,100.25,56.40,-,-,-,157.58,-,-,-,-,-,-,-
13,EV/EBIT Ratio,111.08,63.19,-,-,-,247.14,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-66.40,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.15,0.16,-,0.11,0.13
16,Debt / EBITDA Ratio,0.44,0.03,-,-,-,0.04,-,-,-,0.23,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-0.16,-,-,-,-2.74,-,-,-
18,Asset Turnover,-,0.04,0.03,0.04,0.36,0.04,0.03,0.04,-,-,-,-,
19,Inventory Turnover,-,-,8.17,9.42,9.58,42.41,7.28,4.90,4.72,-,-,-,-
20,Quick Ratio,-,-,23.72,24.30,22.44,17.59,48.20,56.07,4.58,3.27,-,4.44,-
21,Current Ratio,-,-,24.01,24.44,22.64,17.68,48.75,56.43,4.86,3.37,-,4.68,-
22,Return on Equity (ROE),16.70%,-0.74%,-6.65%,-3.04%,13.31%,-0.73%,-3.03%,-15.10%,-,-,-18.95%,-,
23,Return on Assets (ROA),-,-2.26%,-4.90%,-2.60%,7.26%,-1.23%,-3.43%,-8.69%,-,-,-,-,
24,Return on Capital (ROIC),14.45%,-2.33%,-5.08%,-2.72%,7.52%,-1.25%,-3.54%,-9.94%,-,-,-12.12%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,0.84%,-,-,-,5.15%,-,-,-
26,Earnings Yield,0.59%,0.86%,0.48%,0.54%,0.95%,0.69%,0.82%,0.73%,-,-,-,-,-
27,FCF Yield,-,-2.20%,-1.84%,-0.87%,-1.10%,-0.85%,-1.16%,-,-,-,-,-,
28,Dividend Yield,0.15%,-,-,0.67%,-,0.28%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,0.79%,-,-,-
30,Buyback Yield / Dilution,-7.50%,1.21%,0.23%,-6.80%,-33.92%,32.38%,-9296.36%,-22.08%,0.58%,-,-,-,-
31,Total Shareholder Return,-7.35%,1.21%,0.23%,-6.13%,-33.92%,32.66%,-9296.36%,-22.08%,0.58%,-,-,-,-
