,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,298.37,31.1,19.89,31.86,266.63,30.87,14.35,7.14,229.68,22.49,8.72,7.14
1,Other Revenue,-,-,-,-,1.39,-,-,-,0.02,-0.02,0.02,-
2,Revenue,298.37,31.1,19.89,31.86,268.02,30.87,14.35,7.14,229.7,22.47,8.74,7.14
3,Revenue Growth (YoY),11.32%,0.75%,38.56%,346.22%,16.68%,37.38%,64.21%,0.04%,-,-,-,-
4,Cost of Revenue,-47.53,15.44,14.17,17.92,80.18,8,5.02,4.71,71.05,17.33,4.73,4.97
5,Gross Profit,345.9,15.66,5.72,13.94,187.83,22.87,9.33,2.43,158.65,5.15,4.01,2.17
6,"Selling, General & Admin",-70.51,23.83,23.9,22.78,17.44,16.32,14.06,10.45,9.93,11.7,9.43,9.26
7,Research & Development,-89.58,21.04,36.8,31.74,44.39,22.05,20.34,18.48,28.75,19.36,26.41,13.08
8,Other Operating Expenses,340.62,-5.47,5.15,-5.2,-3.41,-2.14,-1.43,-1.7,18.62,-12.1,-3.09,-3.72
9,Operating Expenses,184.23,41.76,63.54,45.57,101.4,36.9,33.33,26.12,73.51,18.69,28.73,19.99
10,Operating Income,161.66,-26.1,-57.82,-31.62,86.43,-14.03,-24,-23.69,85.14,-13.54,-24.72,-17.82
11,Interest Expense,-24.37,-0.08,-0.11,-0.13,-0.09,-0.12,-0.49,-0.79,-0.85,-0.6,-0.51,-0.62
12,Interest & Investment Income,0.32,9.69,5.03,9.66,15.6,7.28,8.83,0.28,0.03,0.09,0.14,0.33
13,Earnings From Equity Investments,-1.46,-0.1,1.16,0.39,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-,-0,0,-,0.01,-0.02,0.02,-,0.03,-0.01,0.01,-
15,Other Non Operating Income (Expenses),-0.61,0.08,-0.18,-0.01,0.08,0.27,-0.27,-0.01,1.68,-0.08,0.05,-0.02
16,EBT Excluding Unusual Items,135.54,-16.53,-51.91,-21.71,102.03,-6.62,-15.91,-24.2,86.03,-14.14,-25.02,-18.12
17,Gain (Loss) on Sale of Investments,-,-,-,-,-0.67,-,-,-,0.02,-,-0.02,-
18,Gain (Loss) on Sale of Assets,-0.04,0.04,-,-,0.04,-,-,-,-,-,-,-
19,Asset Writedown,-0.38,0.38,0.1,-0.1,1.95,-1.95,-0.07,0.07,0.89,-0.89,-0.15,0.15
20,Other Unusual Items,0.28,-5.12,4.84,0,1.24,-,-,-,29.15,-,-,-
21,Pretax Income,135.4,-21.22,-46.97,-21.81,104.59,-8.57,-15.98,-24.13,116.08,-15.04,-25.19,-17.97
22,Income Tax Expense,19.61,-16.1,0.12,0.19,9.41,-3.48,-3.45,-4.62,14.09,-3.19,-3.62,-3.17
23,Earnings From Continuing Operations,115.78,-5.12,-47.09,-22.01,95.19,-5.09,-12.53,-19.51,101.99,-11.85,-21.58,-14.8
24,Minority Interest in Earnings,-3.57,0.9,1.93,0.74,-0.57,-,-,-,-,-,-,-
25,Net Income,112.22,-4.22,-45.16,-21.27,94.61,-5.09,-12.53,-19.51,101.99,-11.85,-21.58,-14.8
26,Net Income to Common,112.22,-4.22,-45.16,-21.27,94.61,-5.09,-12.53,-19.51,101.99,-11.85,-21.58,-14.8
27,Net Income Growth,18.61%,-,-,-,-7.24%,-,-,-,-,-,-,-
28,Shares Outstanding (Basic),89,88,88,89,90,88,83,66,133,1,68,67
