,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,1951,2034,2162,2227,2273,2292,79.3,169.46,-,128.78,-
1,Trading Asset Securities,-,20,-,-,-,-,-,-,-,-,5,-
2,Cash & Short-Term Investments,1971,1971,2034,2162,2227,2273,2292,79.3,169.46,-,133.79,189.46
3,Cash Growth,-11.49%,-13.26%,-11.24%,2625.75%,1214.16%,-,1613.07%,-58.14%,-,-,-,-
4,Accounts Receivable,-,472.52,490.05,503.95,518.92,344.25,347.59,340.54,342.72,-,221.44,-
5,Other Receivables,-,4.79,21.56,6.06,20.07,16.74,15.14,6.66,14.44,-,10.51,-
6,Receivables,-,477.31,511.61,510.01,538.99,360.98,362.73,347.2,357.16,-,231.95,-
7,Inventory,-,7.52,7.61,4.43,10.53,4.59,4.2,3.99,3.99,-,16.49,-
8,Prepaid Expenses,-,-,0.84,-,1.79,-,0.09,-,4.48,-,1.61,-
9,Other Current Assets,-,22.23,6.25,19.13,0.46,25.34,12.52,22.21,7.81,-,2.2,-
10,Total Current Assets,-,2478,2561,2695,2779,2664,2671,452.7,542.9,-,386.03,-
11,"Property, Plant & Equipment",-,141.19,129.94,124.73,127.18,126.05,112.62,110.93,109.49,-,95.78,-
12,Long-Term Investments,-,81.23,81.33,50.16,49.77,-,-,-,-,-,-,-
13,Goodwill,-,40.72,40.72,40.72,40.72,-,-,-,-,-,-,-
14,Other Intangible Assets,-,55.68,57.86,58.02,61.62,38.31,41.66,44.14,45.48,-,51.91,-
15,Long-Term Accounts Receivable,-,-,8.09,-,8.12,-,11.16,-,14.81,-,13.43,-
16,Long-Term Deferred Tax Assets,-,31.79,15.78,15.89,16.4,19.97,16.35,12.86,8.21,-,13.4,-
17,Long-Term Deferred Charges,-,1.47,1.08,1.14,1.17,0.64,0.09,0.11,0.09,-,0.16,-
18,Other Long-Term Assets,-,48.66,1.59,13.39,3.63,14.19,4.11,17.38,4,-,0.63,-
19,Total Assets,-,2879,2897,2999,3087,2863,2857,638.12,724.98,-,561.36,-
20,Accounts Payable,-,48.16,58.59,81.44,96.91,37.48,32.53,30.49,79.66,-,30.62,-
21,Accrued Expenses,-,7.19,18.69,8.64,30.13,7.15,9.91,8.04,27.48,-,15.98,-
22,Short-Term Debt,-,15.01,-,-,-,-,-,27.38,37.29,-,10.21,-
23,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,10.73,8.2,-,15.17,-
24,Current Portion of Leases,-,6.69,7.69,8.65,8.4,7.05,2.89,-,1.84,-,0.83,-
25,Current Income Taxes Payable,-,6.66,-,11.69,3.96,2.35,-,16.35,5.97,-,0.18,-
26,Current Unearned Revenue,-,11.1,17.69,5.83,10.93,0.55,1.15,0.09,0.09,-,8.09,-
27,Other Current Liabilities,-,8.41,2.1,2.77,6.89,0.05,0.87,0.01,0.68,-,1.32,-
28,Total Current Liabilities,-,103.23,104.75,119.03,157.21,54.64,47.34,93.09,161.21,-,82.4,-
29,Long-Term Debt,-,-,-,-,-,-,-,33.59,33.59,-,22.4,-
30,Long-Term Leases,-,0.98,2.59,3.68,5.96,6.77,3.64,3.25,2.02,-,0.13,-
31,Long-Term Unearned Revenue,-,-,-,-,2.11,2.11,2.16,1.27,1.57,-,19.14,-
32,Long-Term Deferred Tax Liabilities,-,1.48,1.57,1.66,1.98,-,-,-,-,-,-,-
33,Total Liabilities,-,105.69,108.92,124.37,167.25,63.52,53.15,131.19,198.39,-,124.06,-
34,Common Stock,-,89.11,89.11,61.17,61.17,61.17,61.17,31,31,-,31,-
35,Additional Paid-In Capital,-,2585,2584,2611,2610,2609,2609,323.61,323.61,-,323.61,-
36,Retained Earnings,-,125.89,135.77,204.01,225.28,130.68,135.77,154.49,174,-,83.85,-
37,Treasury Stock,-,-45.93,-41.3,-25,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,-2.89,-3.09,-1.93,-2.74,-2.14,-1.88,-2.17,-2.02,-,-1.17,-
39,Total Common Equity,2751,2751,2765,2849,2894,2799,2804,506.93,526.59,-,437.29,473.47
40,Minority Interest,-,22.65,23.55,25.48,26.22,-,-,-,-,-,-,-
41,Shareholders' Equity,2773,2773,2788,2875,2920,2799,2804,506.93,526.59,-,437.29,473.47
42,Total Liabilities & Equity,-,2879,2897,2999,3087,2863,2857,638.12,724.98,-,561.36,-
43,Total Debt,22.68,22.68,10.28,12.33,14.35,13.83,6.53,74.95,82.94,-,48.73,60.35
44,Net Cash (Debt),1949,1949,2024,2149,2213,2259,2285,4.35,86.52,-,85.06,129.1
45,Net Cash Growth,-11.94%,-13.74%,-11.43%,49300.30%,2457.33%,-,2586.82%,-96.63%,-,-,-,-
46,Net Cash Per Share,21.93,22.20,22.89,24.22,24.60,25.67,27.60,0.07,0.65,-,1.25,1.94
47,Filing Date Shares Outstanding,88.85,88.48,88.56,88.9,89.31,89.31,89.31,66.98,89.31,0.94,66.98,66.64
48,Total Common Shares Outstanding,88.48,88.48,88.59,88.9,89.31,89.31,89.31,66.98,66.98,0.94,66.98,66.64
49,Working Capital,-,2375,2456,2576,2622,2609,2624,359.61,381.69,-,303.63,-
50,Book Value Per Share,31.09,31.09,31.20,32.05,32.40,31.34,31.40,7.57,7.86,-,6.53,7.07
51,Tangible Book Value,2654,2654,2666,2751,2792,2761,2763,462.79,481.11,-,385.38,418.18
