,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,2.82,34.85,78.3,128.11,52.63,81.06,53.8,297.04,402.63,331.04
1,Short-Term Investments,-,-,2.28,-,3.35,0.64,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,5.13,15.49,-,-
3,Cash & Short-Term Investments,2.82,34.85,80.58,128.11,55.98,81.71,58.93,312.53,402.63,331.04
4,Cash Growth,-96.50%,-72.80%,43.95%,56.79%,-5.01%,-73.86%,-85.36%,-5.59%,25.52%,-41.00%
5,Accounts Receivable,155.75,183.48,214.73,247.19,152.88,157.58,159.29,183.93,133.63,170.16
6,Other Receivables,151.91,119.64,-,66.85,-,103.61,-,56.41,-,30.35
7,Receivables,307.66,303.12,214.73,314.04,152.88,261.19,159.29,240.34,133.63,200.52
8,Inventory,165.86,184.2,96.9,123.49,114.22,128.97,121.33,107.5,93.37,93.05
9,Other Current Assets,27.85,44.63,121.63,48.43,175.06,37.35,121.19,-,62.42,49.79
10,Total Current Assets,504.19,566.8,513.83,614.06,498.14,509.22,460.74,660.37,692.05,674.4
11,"Property, Plant & Equipment",630.77,562.18,562.5,529.75,499.83,506.03,567.29,485.93,421.05,378.66
12,Long-Term Investments,145.99,148.97,176.59,178.31,194.58,198.06,230.46,67.65,55.63,72.1
13,Goodwill,-,-,-,-,-,-,-,-,7.05,7.05
14,Other Intangible Assets,28.38,22.55,0.38,0.48,0.58,0.68,0.78,0.88,16.97,16.67
15,Long-Term Deferred Tax Assets,13.21,5.02,6.93,5.08,6.67,5.63,5.32,5.71,5.47,5.41
16,Other Long-Term Assets,14.83,38.22,52.16,22.6,19.15,19.7,20.26,20.81,24.5,21.95
17,Total Assets,1337,1344,1312,1350,1219,1239,1285,1241,1223,1176
18,Accounts Payable,133.6,167.55,105.84,163.61,120.8,102.12,117.01,108.59,75.58,68.9
19,Accrued Expenses,308.27,147.32,259.34,157.57,150.87,143.76,293.2,164.73,219.93,145.12
20,Short-Term Debt,-,4.61,290.51,230.45,207.34,150.52,134.11,178.5,209.29,100
21,Current Portion of Long-Term Debt,240.64,236.56,-,-,-,20,-,-,-,90
22,Current Portion of Leases,1.63,1.09,1.79,2.11,2.08,1.83,0.84,-,-,-
23,Current Income Taxes Payable,5.17,6.09,7.26,7.15,-,-,0.14,1.67,1.99,3.5
24,Current Unearned Revenue,1.49,3.9,11.68,67.55,6.79,4.62,5.5,13.58,5.12,3.8
25,Other Current Liabilities,-,97.43,-,93.65,-,66.42,0.08,80.54,-,49.49
26,Total Current Liabilities,690.81,664.52,676.42,722.08,487.89,489.27,550.86,547.61,511.91,460.81
27,Long-Term Debt,107.3,105.7,-,-,74,76,20,20,20,20
28,Long-Term Leases,1.06,0.77,1.2,0.43,1.39,1.94,1.29,-,-,-
29,Long-Term Unearned Revenue,18.94,10.23,10.78,11.32,10.53,10.51,7.85,8.36,7.82,6.75
30,Long-Term Deferred Tax Liabilities,0.11,0.3,3.05,3.54,5.03,4.68,8.9,7.13,9.1,7.13
31,Total Liabilities,818.21,781.52,691.45,737.38,578.84,582.39,588.89,583.1,548.83,494.69
32,Common Stock,6.31,6.31,6.38,6.38,6.34,6.48,6.48,6.51,6.61,6.73
33,Additional Paid-In Capital,224.36,230.78,237.09,246.73,246.73,259.46,269.21,274.78,316.75,375.94
34,Retained Earnings,255.67,292.61,345.34,328.88,356.45,363.49,390.76,346.84,311.65,276.71
35,Treasury Stock,-0.13,-0.08,-0.11,-0.05,-0,-0.04,-,-0.03,-0.04,-
36,Comprehensive Income & Other,34.26,33.91,33.54,32.22,31.87,28.79,30.81,31.33,34.14,14.06
37,Total Common Equity,520.46,563.52,622.24,614.17,641.38,658.17,697.26,659.44,669.12,673.45
38,Minority Interest,-1.3,-1.29,-1.28,-1.27,-1.27,-1.23,-1.3,-1.19,4.77,8.1
39,Shareholders' Equity,519.16,562.23,620.96,612.89,640.12,656.94,695.96,658.25,673.89,681.54
40,Total Liabilities & Equity,1337,1344,1312,1350,1219,1239,1285,1241,1223,1176
41,Total Debt,350.63,348.72,293.5,232.99,284.82,250.29,156.24,198.5,229.29,210
42,Net Cash (Debt),-347.81,-313.87,-212.92,-104.88,-228.84,-168.59,-97.31,114.03,173.34,121.04
43,Net Cash Growth,-,-,-,-,-,-,-,-5.80%,14.98%,-67.38%
44,Net Cash Per Share,-0.47,-0.42,-0.28,-0.14,-0.30,-0.22,-0.13,0.15,0.22,0.15
45,Filing Date Shares Outstanding,739.3,745.04,749.98,758.21,753.21,764.82,769.93,770.43,781.88,800
46,Total Common Shares Outstanding,739.3,745.04,749.98,758.21,753.21,764.82,769.93,770.43,781.88,800
47,Working Capital,-186.61,-97.72,-162.59,-108.03,10.25,19.96,-90.12,112.76,180.14,213.59
48,Book Value Per Share,0.70,0.76,0.83,0.81,0.85,0.86,0.91,0.86,0.86,0.84
49,Tangible Book Value,492.08,540.97,621.86,613.68,640.8,657.49,696.48,658.56,645.1,649.73
50,Tangible Book Value Per Share,0.67,0.73,0.83,0.81,0.85,0.86,0.90,0.85,0.83,0.81
51,Buildings,-,278.2,-,278.02,-,220.23,-,152.95,-,151.95
52,Machinery,-,204.33,-,144.85,-,142.73,-,100.05,-,96.94
53,Construction In Progress,-,3.46,-,0.58,-,4.79,-,124.5,-,4.15
