,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Market Capitalization,2415,2524,3106,2659,3477,2533,3441,5927,8938,6212,5112
1,Market Cap Growth,-5.07%,-5.07%,-10.68%,4.99%,1.06%,-57.27%,-61.50%,-4.58%,74.83%,115.55%,-
2,Enterprise Value,2472,3440,3549,4111,4285,4091,4301,7175,8377,5633,3963
3,Last Close Price,2.05,2.11,2.51,2.15,2.78,2.01,2.67,4.48,6.72,4.88,3.98
4,PE Ratio,2.98,3.21,4.34,3.98,5.00,3.92,5.55,11.90,24.13,18.83,31.16
5,Forward PE,2.94,2.91,3.68,3.39,4.56,3.54,4.47,8.37,14.95,14.86,13.43
6,PS Ratio,0.92,0.99,1.32,1.25,1.67,1.32,1.83,3.93,7.97,6.86,10.96
7,PB Ratio,0.52,0.47,0.63,0.58,0.79,0.62,0.85,1.62,2.67,2.99,2.64
8,P/TBV Ratio,0.61,0.61,0.83,0.77,1.05,0.84,1.16,2.09,3.47,3.01,2.65
9,P/FCF Ratio,3.65,-,-,4.28,-,7.42,-,22.28,-,-23.43,-
10,P/OCF Ratio,2.22,-,-,1.83,2.75,2.35,-,5.15,13.76,18.00,-
11,PEG Ratio,0.55,0.55,0.68,1.00,0.44,0.17,0.23,0.30,0.40,0.60,0.61
12,EV/Sales Ratio,0.97,1.35,1.51,1.93,2.06,2.13,2.28,4.76,7.47,6.22,8.50
13,EV/EBITDA Ratio,2.39,3.41,3.82,4.57,4.84,5.09,5.56,10.80,17.46,14.77,20.95
14,EV/EBIT Ratio,3.16,4.40,4.74,5.70,6.05,6.35,6.93,13.13,21.03,17.87,25.32
15,EV/FCF Ratio,3.73,-,-,6.62,-,11.98,-,26.97,-,-21.25,-
16,Debt / Equity Ratio,0.35,0.35,0.38,0.43,0.42,0.47,0.50,0.45,0.52,0.43,0.21
17,Debt / FCF Ratio,2.85,-,-,3.18,-,5.61,-,6.18,-,-3.33,-
18,Return on Capital Employed (ROCE),11.14%,11.14%,11.44%,11.27%,11.76%,11.21%,10.54%,10.32%,8.44%,11.43%,6.51%
19,Earnings Yield,32.55%,31.14%,23.07%,25.13%,20.02%,25.52%,18.00%,8.40%,4.14%,5.31%,3.21%
20,FCF Yield,27.41%,-,-,23.36%,6.71%,13.48%,4.90%,4.49%,-0.26%,-4.27%,-10.80%
21,Dividend Yield,4.68%,-,7.61%,8.38%,6.79%,8.63%,6.15%,2.99%,1.53%,1.94%,1.19%
22,Buyback Yield / Dilution,-3.68%,-5.67%,-1.74%,2.17%,-1.13%,0.60%,-3.30%,-5.77%,-1.38%,-,-35.78%
23,Total Shareholder Return,1.01%,-5.67%,5.87%,10.54%,5.66%,9.23%,2.86%,-2.77%,0.15%,1.94%,-34.60%
