,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Cash & Equivalents,2122,1379,2003,750.13,1318,538.53,795.34,476.3,1186,742.32
1,Short-Term Investments,111.21,105.08,95.26,103.14,106.53,12.59,141.01,38.42,1.33,32.5
2,Trading Asset Securities,213.71,112.28,12.42,163.1,140.05,375.38,366.99,357.07,88.12,104.43
3,Cash & Short-Term Investments,2447,1596,2110,1016,1565,926.5,1303,871.79,1275,879.25
4,Cash Growth,15.95%,57.04%,34.89%,9.70%,20.05%,6.28%,2.21%,-0.85%,-20.57%,38.17%
5,Accounts Receivable,5.5,20.84,3.98,35.93,1.06,9.88,0.92,4.66,3.32,7.18
6,Other Receivables,-,-,-,-,-,14.61,-,12.14,7.3,0.34
7,Receivables,5.5,20.84,3.98,35.93,1.06,24.49,0.92,16.8,10.61,7.51
8,Inventory,10.51,7.71,9.86,16.14,9.42,12.94,2.53,2.28,0.93,0.52
9,Prepaid Expenses,-,-,-,-,-,33.18,-,42.65,-,37.8
10,Other Current Assets,-,-,-,-,-,156.91,-,73.18,48.89,70
11,Total Current Assets,2463,1625,2124,1068,1575,1154,1307,1007,1336,995.08
12,"Property, Plant & Equipment",6028,5869,5703,5401,4954,4691,4401,3995,2119,1647
13,Goodwill,135.54,135.49,135.52,135.45,135.38,135.29,105.53,105.61,1.55,1.55
14,Other Intangible Assets,196.29,196.04,196.17,195.84,195.5,195.3,76.37,76.73,7.63,7.59
15,Long-Term Deferred Tax Assets,27.12,24.13,24.49,16.5,16.78,11.54,10.48,6.45,4.93,4.39
16,Other Long-Term Assets,251.2,302.14,312.06,423.45,341.8,241.35,265.73,197.81,59.62,115.28
17,Total Assets,9102,8152,8495,7240,7218,6428,6166,5389,3528,2771
18,Accounts Payable,54.62,35.05,53.3,43.94,26.14,14.29,10.68,19.83,4.61,8.03
19,Accrued Expenses,2.78,2.71,2.64,3.06,2.99,0.54,1.15,-,22.66,-
20,Short-Term Debt,36.47,-,-,-,-,-,-,-,-,-
21,Current Portion of Long-Term Debt,419.27,452.32,478.03,528.31,492.08,418.68,281.84,509.02,290.43,49.4
22,Current Portion of Leases,1.91,4.62,5.99,5.8,6.66,7.39,5.82,6.2,6.92,4.8
23,Current Income Taxes Payable,100.19,103.84,97.93,96.77,88.79,84.24,75.67,67.37,48.17,42.45
24,Current Unearned Revenue,1615,1083,1560,923.88,1286,824.21,1167,648.33,636.43,424.73
25,Other Current Liabilities,497.97,460,374.61,313.45,267.78,325.73,227.79,197.57,82.99,83.82
26,Total Current Liabilities,2728,2142,2572,1915,2171,1675,1770,1448,1092,613.23
27,Long-Term Debt,1253,1242,1337,1108,1171,1195,1062,907.1,456.67,280.4
28,Long-Term Leases,5.36,5.07,6.74,9.98,12.07,15.65,16.16,22.84,25.93,25.28
29,Long-Term Unearned Revenue,71.07,72.57,74.12,76.81,76.81,65.96,65.96,57.27,-,-
30,Long-Term Deferred Tax Liabilities,151.97,152.42,153.03,153.81,153.99,154.35,154.61,154.93,118.65,115.06
31,Other Long-Term Liabilities,44,19,116.14,66,66,51.5,51.5,-,-,-
32,Total Liabilities,4254,3633,4260,3330,3650,3158,3120,2590,1693,1034
33,Common Stock,78.42,78.38,78.35,76.93,74.2,73.49,73.49,73.48,70.01,70.01
34,Additional Paid-In Capital,628.79,-,819.62,864.86,882.93,938.53,938.53,937.42,556.11,556.11
