,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,5303547,4950957,4796699,5061141,4333924,3716891,3423065,3423065,3628743,3320226,3680162,3452448,3378991,3342263,2820723,2798686,2732576,2908871,2835414,2640302,2439334,Upgrade
1,Market Cap Growth,33.20%,33.20%,40.13%,47.85%,19.43%,11.95%,-6.99%,-0.85%,7.39%,-0.66%,30.47%,23.36%,23.66%,14.90%,-0.52%,6.00%,12.02%,4.42%,-0.21%,-15.52%,-20.72%,Upgrade
2,Enterprise Value,5681234,5387241,5186202,5533751,4995061,4317520,3955295,4094190,4370671,4190371,4649710,4347786,4549933,4688112,4027622,3979276,3974394,4293617,4167445,4014618,3870862,Upgrade
3,PE Ratio,16.91,15.78,15.52,18.66,16.66,11.03,10.25,8.34,6.89,6.69,6.89,7.03,9.07,14.44,11.88,11.44,-,10.71,13.76,-,-,Upgrade
4,PS Ratio,6.52,6.08,5.84,6.49,5.57,4.22,3.82,3.44,3.20,3.02,3.22,3.18,3.56,4.24,3.58,3.50,3.56,3.50,3.82,3.95,3.66,Upgrade
5,PB Ratio,2.67,2.49,2.66,2.54,2.21,1.92,1.83,1.84,1.72,1.66,1.86,1.83,1.72,1.76,1.69,1.51,1.50,1.54,1.70,1.51,1.39,Upgrade
6,P/FCF Ratio,8.24,7.69,8.54,10.04,7.64,8.07,6.02,5.59,5.97,4.84,5.29,5.04,6.55,11.06,8.66,-,7.69,8.29,5.93,6.85,31.60,Upgrade
7,P/OCF Ratio,7.53,7.53,8.31,9.91,7.58,7.98,5.99,5.57,5.94,4.82,5.25,5.00,6.45,10.75,6.11,-,5.37,5.78,2.84,8.23,2.67,Upgrade
8,EV/Sales Ratio,6.98,6.62,6.32,7.09,6.42,4.90,4.41,4.11,3.85,3.81,4.07,4.00,4.79,5.95,5.11,4.97,5.18,5.17,5.62,6.01,5.80,Upgrade
9,EV/EBITDA Ratio,9.40,8.91,8.54,9.64,8.78,6.59,6.00,5.49,5.02,4.97,5.19,5.10,6.21,7.92,6.80,6.60,6.90,6.77,7.28,7.91,7.62,Upgrade
10,EV/EBIT Ratio,14.95,14.17,13.55,15.85,14.51,10.04,9.11,7.87,6.78,6.78,6.94,6.94,9.00,12.79,10.88,10.37,-,10.22,11.33,13.48,12.99,Upgrade
11,EV/FCF Ratio,8.82,8.37,9.23,10.98,8.80,9.37,6.95,6.68,7.19,6.11,6.68,6.34,8.82,15.51,12.36,-,11.19,12.24,8.72,10.41,50.15,Upgrade
12,Debt / Equity Ratio,0.30,0.30,0.36,0.35,0.38,0.41,0.46,0.49,0.46,0.51,0.56,0.61,0.62,0.67,0.82,0.74,0.79,0.80,0.88,0.87,0.88,Upgrade
13,Debt / EBITDA Ratio,0.99,0.56,1.29,1.57,1.81,0.75,2.34,2.14,1.27,0.93,1.56,1.25,1.86,0.97,2.52,3.09,16.19,1.16,2.53,4.54,4.78,Upgrade
14,Debt / FCF Ratio,0.92,0.92,1.15,1.39,1.33,1.75,1.51,1.48,1.58,1.48,1.59,1.69,2.34,4.18,4.17,-,4.07,4.31,3.06,3.92,20.04,Upgrade
15,Quick Ratio,1.62,1.62,1.02,1.71,1.60,1.30,1.14,1.06,1.91,1.33,1.57,1.26,1.46,1.19,0.51,1.03,0.99,1.18,0.48,0.69,0.65,Upgrade
16,Current Ratio,1.63,1.63,1.04,1.75,1.64,1.32,1.18,1.10,1.97,1.37,1.61,1.30,1.49,1.22,0.54,1.06,1.02,1.21,0.51,0.72,0.70,Upgrade
17,Asset Turnover,0.53,0.26,0.21,0.19,0.49,0.18,0.19,0.30,0.47,0.29,0.36,0.26,0.52,0.22,0.18,0.05,0.49,0.22,0.13,0.12,Upgrade,
18,Return on Equity (ROE),39.50%,11.66%,8.15%,6.36%,38.25%,3.78%,5.91%,21.02%,38.78%,19.51%,30.17%,16.20%,50.99%,11.74%,5.78%,-13.58%,51.48%,13.82%,-1.01%,-1.17%,Upgrade,
19,Return on Assets (ROA),19.55%,6.39%,4.97%,4.11%,17.88%,2.94%,4.02%,10.37%,16.74%,9.61%,13.68%,8.08%,20.94%,6.05%,4.05%,-2.43%,19.72%,6.70%,2.16%,1.92%,Upgrade,
20,Return on Capital (ROIC),20.70%,6.72%,5.11%,4.34%,19.29%,3.23%,4.32%,10.94%,17.67%,9.90%,14.08%,8.35%,21.69%,6.23%,4.15%,-2.51%,20.82%,7.14%,2.28%,2.04%,Upgrade,
21,Return on Capital Employed (ROCE),16.01%,16.01%,17.09%,14.04%,13.73%,16.97%,17.22%,20.35%,22.57%,22.05%,23.29%,22.11%,17.06%,12.43%,13.35%,12.75%,-,13.32%,12.69%,9.79%,9.64%,Upgrade
22,Earnings Yield,5.92%,6.34%,6.44%,5.36%,6.00%,9.07%,10.15%,12.39%,14.88%,15.37%,14.79%,14.54%,11.34%,7.24%,8.65%,8.98%,8.07%,9.57%,7.63%,5.64%,6.18%,Upgrade
23,Earnings Yield,5.92%,6.34%,6.44%,5.36%,6.00%,9.07%,10.15%,12.39%,14.88%,15.37%,14.79%,14.54%,11.34%,7.24%,8.65%,8.98%,8.07%,9.57%,7.63%,5.64%,6.18%,Upgrade
24,FCF Yield,12.14%,13.01%,11.71%,9.96%,13.09%,12.39%,16.62%,17.89%,16.75%,20.65%,18.91%,19.86%,15.27%,9.04%,11.55%,9.22%,13.00%,12.06%,16.86%,14.60%,3.16%,Upgrade
25,Dividend Yield,6.94%,-,-,-,-,10.39%,12.11%,-,-,15.51%,-,14.14%,-,8.61%,-,-,-,11.48%,-,-,-,Upgrade
26,Payout Ratio,116.81%,46.30%,294.38%,1.83%,374.74%,68.99%,712.46%,38.55%,119.44%,23.42%,0.18%,150.07%,0.33%,2.82%,441.41%,1.20%,-,27.06%,127.39%,-,-,Upgrade
27,Buyback Yield / Dilution,-0.03%,0.02%,0.13%,0.11%,-0.15%,-0.05%,-0.06%,-0.04%,0.14%,0.00%,0.16%,-0.06%,0.06%,0.02%,-0.13%,0.15%,-0.15%,-3.14%,0.07%,0.95%,-0.97%,Upgrade
28,Total Shareholder Return,6.91%,0.02%,0.13%,0.11%,-0.15%,10.34%,12.05%,-0.04%,0.14%,15.51%,0.16%,14.08%,0.06%,8.63%,-0.13%,0.15%,-0.15%,8.34%,0.07%,0.95%,-0.97%,Upgrade
