,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,353857,173113,148226,139003,360408,132542,146357,242071,375825,231223,284755,208731,417015,175900,147789,46744,418232,187951,114357,109985,Upgrade
1,Revenue Growth (YoY),-1.82%,30.61%,1.28%,-42.58%,-4.10%,-42.68%,-48.60%,15.97%,-9.88%,31.45%,92.68%,346.54%,-0.29%,-6.41%,29.23%,-57.50%,26.90%,63.97%,1.05%,-29.57%,Upgrade
2,"Selling, General & Admin",15911,8938,-3356,7757,-14127,8678,8227,9280,-13397,9343,-2426,7818,10500,7314,8103,7808,16607,7403,7185,6253,Upgrade
3,Depreciation & Amortization,-,-,361.84,-,739.92,-,-,-,401.28,-,186.97,-,-,-,-,-,-,-,-,-,Upgrade
4,Other Operating Expenses,129607,95061,95945,83900,162659,88400,87777,99809,173306,100535,111906,95255,138330,90738,85806,72398,129606,89431,77301,76476,Upgrade
5,Total Operating Expenses,145518,103999,92951,91657,149272,97078,96003,109089,160311,109879,109667,103073,148830,98052,93908,80205,146213,96834,84487,82729,Upgrade
6,Operating Income,208339,69114,55275,47346,211136,35464,50354,132982,215514,121344,175088,105658,268185,77848,53880,-33461,272019,91117,29870,27257,Upgrade
7,Interest Expense,-11521,-12919,-14148,-15660,-20292,-19602,-23711,-22048,-23240,-24124,-24704,-25303,-29045,-26772,-29829,-30253,-34548,-32258,-35919,-34138,Upgrade
8,Interest Income,1159,2408,1575,1098,1674,2855,3917,2394,2159,1784,1890,1305,278.95,451.86,2556,628.46,954.29,300.55,1894,1692,Upgrade
9,Net Interest Expense,-10362,-10512,-12573,-14562,-18618,-16746,-19794,-19653,-21080,-22340,-22814,-23998,-28766,-26320,-27273,-29624,-33594,-31958,-34026,-32446,Upgrade
10,Currency Exchange Gain (Loss),-,-,36.48,-4.1,-4.6,-,11.93,-,-0.3,-,-0.04,-,-0.09,-,-0.05,-,2779,-,-148.89,-20.76,Upgrade
11,Other Non-Operating Income (Expenses),-1.14,-123.9,-13.79,-,-377.62,-60.95,283.03,91.03,1238,255.66,-35.78,-21.39,-74.53,112.75,-32.71,-33.26,110.28,-17.4,-32.16,1.06,Upgrade
