,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,197905.0,211608,280638,249655,113251,256184,376708,289936,251256,185466,128186,314514,91039,13558,159631,264564,269708,78877,179796,42517,Upgrade
1,Short-Term Investments,20000.0,125,30000,30000,30000,-,-,-,20000,50000,60000,-,-,-,-,-,-,-,-,130000,Upgrade
2,Accounts Receivable,301657.0,187943,178896,163854,419444,215825,201501,274766,337087,233997,187195,126715,296194,169359,140633,41098,175910,144018,90537,75866,Upgrade
3,Other Receivables,835.42,234.6,1266,959.85,852.36,1239,1316,3689,3071,1370,805.32,815.43,205.91,415.34,909.4,47.32,453.1,364.91,2780,2096,Upgrade
4,Inventory,4208.0,5019,5065,5261,4980,14543,14034,13641,13611,7829,7335,7005,6619,8628,8372,7581,7450,10847,9630,8869,Upgrade
5,Prepaid Expenses,358.69,509.29,773.19,664.6,665.9,1075,1092,1120,805.32,1044,1441,1087,710.15,755.58,1150,360.47,169.55,254.42,341.82,-,Upgrade
6,Other Current Assets,515.44,3436,4433,4044,3372,3369,3031,3250,2398,3545,2848,812.41,591.64,813.71,819.52,3290,747.66,1207,2173,9495,Upgrade
7,Total Current Assets,525478.0,408875,501070,454438,572564,492235,597681,586401,628228,483249,387810,450949,395360,193529,311515,316940,454439,235567,285257,268842,Upgrade
8,"Property, Plant & Equipment",2137004.0,2191686,2238302,2292065,2348188,2402602,2458350,2514270,2570066,2624371,2680705,2736865,2793264,2849321,2905372,2968446,3017281,3073136,3092401,3145883,Upgrade
9,Other Intangible Assets,254.57,318.36,241.53,293.69,345.86,398.03,450.19,502.36,554.53,257.74,282.71,307.68,134.81,154.64,188.63,239.85,291.07,163.89,210,264.81,Upgrade
10,Long-Term Investments,125.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,Other Long-Term Assets,33380.0,31565,33783,38776,46133,42624,45219,52968,60852,69682,65520,77074,83945,86997,84377,58666,60753,53774,56012,61437,Upgrade
12,Total Assets,2696242.0,2632445,2773397,2785573,2967231,2937859,3101700,3154141,3259700,3177559,3134317,3265195,3272703,3130001,3301452,3344292,3532765,3362641,3433880,3476427,Upgrade
13,Accounts Payable,23596.0,29442,22154,21756,24940,23787,21720,22774,26934,24933,25143,30243,32428,29114,30894,26015,32574,148449,137935,141783,Upgrade
14,Accrued Expenses,31349.0,28562,21426,11528,37301,22534,28031,27671,51106,32163,29296,34767,52445,45986,29370,23325,56800,27005,15237,14238,Upgrade
15,Current Portion of Long-Term Debt,208802.0,208796,208796,208796,208796,208796,208796,208796,208796,208796,208796,208796,208796,253796,208796,235296,249546,229813,216028,204778,Upgrade
16,Current Income Taxes Payable,11617.0,3816,2741,1750,11797,2430,2748,5707,9832,7102,7828,3560,6316,3.02,-,-,12234,226.65,-,-,Upgrade
17,Other Current Liabilities,46198.0,121787,31691,33184,150287,158539,284143,31971,161466,27083,27941,25146,25340,28279,24022,25057,25768,58478,24340,24615,Upgrade
18,Total Current Liabilities,321562.0,392403,286808,277014,433121,416085,545438,296920,458135,300076,299004,302513,325325,357178,293083,309693,376923,463971,393540,385415,Upgrade
19,Long-Term Debt,386790.0,439221,491345,543468,595591,648018,700141,752264,804388,896814,948937,1001057,1053184,1105610,1157734,1209857,1261980,1233811,1295798,1342055,Upgrade
20,Total Liabilities,708351.0,831624,778153,820482,1028713,1064103,1245579,1049184,1262523,1196890,1247941,1303569,1378509,1462788,1450817,1519550,1638903,1697781,1689338,1727470,Upgrade
21,Common Stock,1469127.0,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1469127,1385985,1385985,Upgrade
22,Retained Earnings,518764.0,331694,526118,495963,469392,404630,386995,635830,528051,511542,417249,492499,425067,198086,381509,355616,424735,195733,358557,362971,Upgrade
23,Shareholders' Equity,1987891.0,1800821,1995244,1965090,1938518,1873756,1856122,2104957,1997177,1980669,1886376,1961625,1894194,1667213,1850635,1824743,1893862,1664859,1744542,1748956,Upgrade
24,Total Liabilities & Equity,2696242.0,2632445,2773397,2785573,2967231,2937859,3101700,3154141,3259700,3177559,3134317,3265195,3272703,3130001,3301452,3344292,3532765,3362641,3433880,3476427,Upgrade
25,Total Debt,595591.0,648018,700141,752264,804388,856814,908937,961061,1013184,1105610,1157734,1209853,1261980,1359407,1366530,1445153,1511526,1463623,1511827,1546833,Upgrade
26,Net Cash (Debt),-377687.0,-436284,-389503,-472610,-661137,-600630,-532230,-671125,-741928,-870144,-969548,-895339,-1170942,-1345849,-1206899,-1180589,-1241819,-1384746,-1332030,-1374316,Upgrade
27,Net Cash Per Share,-2570.11,-2972.80,-2655.60,-3213.68,-4497.91,-4087.14,-3624.55,-4570.50,-5050.01,-5924.42,-6605.27,-6089.03,-7969.80,-9148.18,-8227.30,-8024.07,-8450.58,-9425.07,-9066.71,-9354.54,Upgrade
28,Filing Date Shares Outstanding,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,Upgrade
29,Total Common Shares Outstanding,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,146.91,Upgrade
