,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,72.05,34.15,76.52,83.25,107.74,134.24,102.53,90.95,121.74,518.46,5.29,3.85,-,-,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-
2,Cash & Short-Term Investments,72.05,34.15,76.52,83.25,107.74,134.24,102.53,90.95,171.74,518.46,5.29,3.85,-,-,8.27
3,Cash Growth,-33.13%,-74.56%,-25.37%,-8.47%,-37.26%,-74.11%,1839.31%,2260.11%,-,-,-36.06%,-,-,-,-
4,Accounts Receivable,440.85,489.37,426.57,435.46,435.21,416.75,451.33,434.93,407.55,323.3,278.94,279.97,-,-,-
5,Other Receivables,0.86,0.72,0.61,0.65,0.84,0.83,0.85,0.84,1,0.88,0.87,0.81,-,-,-
6,Receivables,441.71,490.09,427.18,436.11,436.05,417.58,452.17,435.77,408.55,324.18,279.81,280.78,-,-,-
7,Inventory,60.32,62.48,60.2,62.45,61.13,60.15,66.31,81.07,73.14,73.47,89.67,83.24,-,-,-
8,Other Current Assets,4.27,2.29,6.47,7.82,4.53,1.86,11.18,12.66,4.71,2.17,22.42,25.83,-,-,-
9,Total Current Assets,578.34,589.01,570.37,589.62,609.45,613.83,632.19,620.45,658.14,918.27,397.18,393.7,-,-,-
10,"Property, Plant & Equipment",618.92,585.89,556.61,567.14,559.42,545.98,545.37,536.4,517.72,508.93,469.12,472.33,-,-,-
11,Other Intangible Assets,40.65,40.96,41.3,41.61,41.92,42.24,42.57,42.89,43.17,34,33.98,34.19,-,-,-
12,Long-Term Deferred Tax Assets,4.57,4.49,4.21,4.13,4.53,4.37,4.41,4.46,4.65,3.94,3.29,2.89,-,-,-
13,Long-Term Deferred Charges,0.63,0.69,0.75,0.59,0.39,0.4,0.4,0.41,0.41,0.42,0.42,0.43,-,-,-
14,Other Long-Term Assets,12.84,15.3,9.54,10.19,10.54,5.28,2.57,12.77,10.39,9.49,12.61,7.36,-,-,-
15,Total Assets,1256,1236,1183,1213,1226,1212,1228,1217,1234,1475,916.61,910.9,-,-,-
16,Accounts Payable,137.95,144.96,109.42,123.31,116.57,103.13,111.49,111.59,155.86,173.68,151.32,173.12,-,-,-
17,Accrued Expenses,14.86,16.04,11.43,16.74,12.88,13.89,11.68,19.89,10.74,13.8,13.16,17.46,-,-,-
18,Short-Term Debt,36.86,12.49,13.17,40.82,68,92.8,114.24,109.09,92.85,260.33,230.2,205.51,-,-,-
19,Current Portion of Long-Term Debt,21.32,2,3.35,5.7,5.7,5,2.15,8.6,9,19.5,19.5,12.9,-,-,-
20,Current Portion of Leases,-,-,-,-,-,-,-,-,-,0.79,1.18,1.56,-,-,-
21,Current Income Taxes Payable,4.18,2.14,6.2,2.04,4.63,1.47,4.8,1.13,16.86,8.22,4.8,5.13,-,-,-
22,Current Unearned Revenue,0.06,0.04,0.19,0.15,0.34,0.33,1,0.26,0.25,0.18,0.04,0.05,-,-,-
23,Other Current Liabilities,25.04,38.83,3.52,4.6,12.33,10.87,10.94,10.36,4.35,36.48,11.83,27.62,-,-,-
24,Total Current Liabilities,240.27,216.5,147.27,193.37,220.45,227.49,256.3,260.92,289.92,512.99,432.03,443.37,-,-,-
25,Long-Term Debt,6.68,16.5,17.5,17.5,18,9,1.85,3.7,3.7,4,4,12.3,-,-,-
26,Long-Term Unearned Revenue,11.06,11.37,11.68,11.99,12.29,12.61,12.49,13.27,14.25,14.67,15.1,13.13,-,-,-
27,Long-Term Deferred Tax Liabilities,3.24,3.35,3.45,3.52,3.59,3.64,3.67,3.67,-,-,-,-,-,-,-
28,Other Long-Term Liabilities,-,-,-,-,0.82,0.87,1.3,-,-,-,-,-,-,-,-
29,Total Liabilities,261.26,247.72,179.9,226.38,255.15,253.61,275.61,281.57,307.87,531.65,451.13,468.8,-,-,-
30,Common Stock,107.93,107.93,107.93,107.93,107.93,107.93,107.93,107.93,107.93,107.93,80.95,80.95,-,-,-
31,Additional Paid-In Capital,595.72,595.72,595.72,595.72,595.72,595.72,595.72,595.72,595.72,595.72,173.91,173.91,-,-,-
32,Retained Earnings,306.55,289.96,299.23,283.24,267.45,254.84,248.25,232.17,222.05,238.33,209.79,186.15,-,-,-
33,Treasury Stock,-15.5,-4.98,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,-,-,-,-,-,-,-,0.91,1.43,0.82,1.09,-,-,-
35,Shareholders' Equity,994.7,988.63,1003,986.89,971.1,958.49,951.9,935.82,926.61,943.4,465.48,442.11,-,-,378.15
36,Total Liabilities & Equity,1256,1236,1183,1213,1226,1212,1228,1217,1234,1475,916.61,910.9,-,-,-
37,Total Debt,64.86,30.99,34.02,64.02,91.7,106.8,118.24,121.39,105.55,284.62,254.88,232.27,-,-,157.2
38,Net Cash (Debt),7.18,3.17,42.5,19.23,16.04,27.43,-15.71,-30.43,66.2,233.84,-249.59,-228.42,-,-,-148.93
39,Net Cash Growth,-55.23%,-88.46%,-,-,-75.76%,-88.27%,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,0.07,0.03,0.40,0.17,0.15,0.25,-0.15,-0.28,0.62,2.87,-3.06,-2.76,-,-,-1.72
41,Filing Date Shares Outstanding,106.96,107.62,107.93,107.93,107.93,107.93,107.93,107.93,107.93,107.93,80.95,80.95,81.1,80.67,80.05
42,Total Common Shares Outstanding,106.96,107.62,107.93,107.93,107.93,107.93,107.93,107.93,107.93,107.93,80.95,80.95,81.1,80.67,80.05
43,Working Capital,338.07,372.51,423.1,396.25,389,386.34,375.89,359.53,368.22,405.29,-34.85,-49.66,-,-,-
44,Book Value Per Share,9.30,9.19,9.29,9.14,9.00,8.88,8.82,8.67,8.59,8.74,5.75,5.46,-,-,4.70
45,Tangible Book Value,954.05,947.67,961.58,945.28,929.18,916.25,909.33,892.93,883.44,909.4,431.5,407.92,-,-,349
46,Tangible Book Value Per Share,8.92,8.81,8.91,8.76,8.61,8.49,8.42,8.27,8.19,8.43,5.33,5.04,-,-,4.34
47,Buildings,-,204.52,-,203.98,-,161.29,-,161.29,-,160.96,160.96,160.96,-,-,-
48,Machinery,-,633.35,-,565.38,-,518.84,-,502.07,-,397.31,371.6,368.2,-,-,-
49,Construction In Progress,-,23.35,-,38.91,-,83.3,-,61.59,-,113.05,87.64,82.56,-,-,-
