,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,175.13,192.91,173.21,158.53,163.31,169.46,168.68,143.78,153.71,187.43,175.12,177.67,142.82,169.61,162.01
1,Other Revenue,-0.06,0.06,-,0.26,-0.11,0.11,-,0.13,-0.06,0.06,-,0.13,-0.04,0.04,-
2,Revenue,175.07,192.97,173.21,158.79,163.2,169.57,168.68,143.91,153.65,187.49,175.12,177.8,142.78,169.65,162.01
3,Revenue Growth (YoY),7.27%,13.80%,2.69%,10.34%,6.22%,-9.56%,-3.68%,-19.06%,7.61%,10.52%,8.09%,-,-,-,-
4,Cost of Revenue,134.17,153.67,137.54,128.9,126.19,131.4,133.97,117.24,114.41,130.04,124.43,129.78,99.26,114.3,112.61
5,Gross Profit,40.9,39.31,35.67,29.89,37.01,38.17,34.71,26.67,39.23,57.45,50.69,48.02,43.52,55.35,49.4
6,"Selling, General & Admin",9.91,9.95,10.81,13.59,9.15,10.15,9.53,16.93,12.33,8.61,8.2,8.89,9.31,8.02,8.45
7,Research & Development,6.72,7.01,6.29,5.59,6.98,7.02,6.29,7.02,7.45,7.53,6.73,7.78,7.38,8.01,6.96
8,Other Operating Expenses,0.86,0.71,0.01,-2.36,0.51,1.36,0.01,3.47,0.4,-0.13,0.43,3.13,0.77,0.62,-0.51
9,Operating Expenses,15.62,20.55,17.03,17.24,18.08,16.51,15.74,29.64,22.73,18.34,16.22,21.03,17.25,15.91,18.85
10,Operating Income,25.28,18.76,18.64,12.65,18.93,21.66,18.97,-2.97,16.51,39.11,34.46,26.99,26.27,39.43,30.55
11,Interest Expense,-1.03,-0.26,-0.35,-0.6,-1.26,-0.99,-1.37,-1.17,-2.68,-4.28,-5.6,-4.77,-4.61,-3.35,-5.46
12,Interest & Investment Income,0.2,0.17,0.25,0.33,0.54,0.37,0.36,0.74,1.31,0.01,0,0.01,0,0.01,0
13,Other Non Operating Income (Expenses),-0.07,-0.01,-0.01,-0.01,-0.83,-0.03,-0.05,0.63,-0.55,-0.02,-0.34,1.09,-0.04,-1.16,0.05
14,EBT Excluding Unusual Items,24.37,18.66,18.52,12.37,17.38,21.01,17.91,-2.77,14.59,34.82,28.53,23.31,21.63,34.93,25.15
15,Gain (Loss) on Sale of Assets,0.08,-0.35,-,-,0.66,-0.66,-,-0.22,0.29,-,-,-,-,-,-
16,Asset Writedown,-5.58,0.63,-0.63,0.56,-2.42,-0.27,0.27,1.25,-1.25,0.21,-0.21,1.21,-1.44,-,-
17,Other Unusual Items,0.24,1.06,-0.02,3.97,-,-,-,3,-,-,-,1.8,-,-,-
18,Pretax Income,19.11,20,17.87,16.9,15.62,20.08,18.18,1.27,13.62,35.03,28.32,26.32,20.19,34.93,25.15
19,Income Tax Expense,2.52,2.36,1.88,1.11,3,2.7,2.1,-8.85,2.92,6.5,4.68,3.98,1.49,5.91,3.53
20,Net Income,16.59,17.63,15.99,15.79,12.61,17.38,16.08,10.12,10.7,28.53,23.64,22.34,18.7,29.01,21.61
21,Net Income to Common,16.59,17.63,15.99,15.79,12.61,17.38,16.08,10.12,10.7,28.53,23.64,22.34,18.7,29.01,21.61
22,Net Income Growth,31.51%,1.46%,-0.54%,55.90%,17.84%,-39.09%,-31.99%,-54.67%,-42.74%,-1.66%,9.38%,-,-,-,-
23,Shares Outstanding (Basic),104,110,107,113,106,109,107,110,106,82,82,83,81,81,80
24,Shares Outstanding (Diluted),104,110,107,113,106,109,107,110,106,82,82,83,81,81,86
25,Shares Change (YoY),-1.89%,1.53%,-0.54%,2.64%,-0.80%,33.31%,31.49%,32.83%,31.23%,1.05%,-5.71%,-,-,-,-
